model,source,T,score,mean,median,min,max
mb_bpu,train,49920,-66.384991,-67.09357059999999,-66.384991,-148.871451,81.989124
rnn_param_matched,train,49920,-72.8202285,-71.53856581999999,-72.8202285,-154.947798,78.425187
mb_bpu,eval,48768,-78.03,-78.03,,,
rnn_param_matched,eval,48768,-36.38,-36.38,,,
