region,task,src,n,handicap_x,depth_hops,vs_degree,p_degree,vs_degree_sm,p_degree_sm,ctl_shift,p_shift,shift_neg_seeds,verdict_move
MB,flow,fleet,6,83.75,1.9,-0.040271666666666664,0.84375,-0.037851666666666665,0.4375,-0.0024200000000000007,0.4375,5,0.0024199999999999985
MB,mqar,local,6,83.75,1.9,0.010316666666666663,0.03125,0.0031000000000000008,0.09375,0.007216666666666663,0.3125,2,0.007216666666666663
MB,path,fleet,6,83.75,1.9,-0.02668333333333332,0.03125,-0.00541999999999998,0.3125,-0.02126333333333334,0.03125,6,0.02126333333333334
CX,flow,fleet,6,21.698924731182796,1.81,-0.01353666666666666,0.5625,0.004986666666666663,0.84375,-0.018523333333333322,0.03125,6,0.018523333333333322
CX,mqar,fleet,6,21.698924731182796,1.81,-0.00039500000000000646,1.0,0.00043833333333332763,1.0,-0.000833333333333334,0.6875,4,0.0008333333333333341
CX,path,local,6,21.698924731182796,1.81,-0.02056666666666666,0.03125,-0.0048666666666666485,0.5625,-0.01570000000000001,0.03125,6,0.015700000000000013
AL,flow,local,6,1.1892245814236273,1.02,0.01983333333333334,0.03125,0.018866666666666674,0.03125,0.0009666666666666666,0.5625,3,0.0009666666666666678
AL,mqar,fleet,6,1.1892245814236273,1.02,0.0006050000000000083,1.0,0.0023966666666666767,0.5625,-0.0017916666666666682,0.84375,3,0.0017916666666666684
AL,path,fleet,6,1.1892245814236273,1.02,0.00033166666666667455,0.5625,1.6666666667145928e-06,1.0,0.00032999999999995994,0.84375,2,0.00032999999999995994
