task,region,n_seeds,connectome,degree,degree_sm,vs_degree,p_degree,vs_degree_sm,p_degree_sm,ctl_shift,handicap_x
mqar,MB,6,0.1919666666666667,0.18165,0.18886666666666665,0.010316666666666663,0.03125,0.0031000000000000008,0.09375,0.007216666666666663,83.75
flow,AL,6,0.28613333333333335,0.2663,0.2672666666666667,0.01983333333333334,0.03125,0.018866666666666674,0.03125,0.0009666666666666666,1.1892245814236273
