task,region,arm,seed,native,score,val_score,N,edges,n_out,epochs,wall_s
mqar,OL,degree,4,0,0.1935,0.18563,3499,60742,22,40,77.5
path,MB,connectome,1,0,0.87996,0.88296,3499,218164,96,30,161.8
path,CX,degree,4,1,0.90109,0.89976,3499,466370,327,30,290.2
flow,AL,connectome,1,0,0.25705,0.29315,3499,258882,685,30,39.3
flow,MB,degree,4,0,0.23427,0.24366,3499,218164,96,30,35.0
flow,OL,connectome,1,1,-0.002,-0.00013,3499,60742,22,10,9.4
mqar,AL,random,5,0,0.19725,0.20063,3499,258882,685,32,91.5
mqar,CX,degree,2,0,0.19637,0.20604,3499,466370,327,39,176.6
mqar,OL,random,5,0,0.195,0.19667,3499,60742,22,39,77.9
path,MB,degree,2,0,0.90451,0.89903,3499,218164,96,30,164.1
path,CX,random,5,1,0.89649,0.89783,3499,466370,327,30,291.5
flow,AL,degree,2,0,0.26945,0.2602,3499,258882,685,30,40.5
flow,MB,random,5,0,0.28314,0.24229,3499,218164,96,30,36.2
flow,OL,degree,2,1,0.20842,0.19892,3499,60742,22,30,28.8
mqar,MB,connectome,1,1,0.1895,0.195,3499,218164,96,33,80.5
mqar,CX,degree,4,0,0.18763,0.19229,3499,466370,327,36,160.5
path,AL,connectome,1,0,0.89749,0.9009,3499,258882,685,30,179.0
path,MB,degree,4,0,0.90464,0.90419,3499,218164,96,30,158.8
path,OL,connectome,1,0,0.72443,0.73481,3499,60742,22,30,116.9
flow,AL,degree,4,0,0.25949,0.27433,3499,258882,685,30,38.7
flow,CX,connectome,1,0,0.24886,0.27751,3499,466370,327,30,60.8
flow,OL,degree,4,1,0.12315,0.11029,3499,60742,22,30,27.1
mqar,AL,connectome,2,0,0.17462,0.18333,3499,258882,685,39,109.5
mqar,MB,degree,5,1,0.1825,0.18604,3499,218164,96,33,84.4
mqar,OL,connectome,2,0,0.0315,0.03604,3499,60742,22,8,15.9
path,AL,degree,5,0,0.90095,0.90377,3499,258882,685,30,179.7
path,CX,connectome,2,1,0.88873,0.88502,3499,466370,327,30,280.0
path,OL,degree,5,0,0.88464,0.88462,3499,60742,22,30,119.5
flow,MB,connectome,2,0,-0.0036,-0.00189,3499,218164,96,10,11.7
flow,CX,degree,5,0,0.29482,0.25199,3499,466370,327,30,60.9
mqar,MB,connectome,2,1,0.18837,0.2025,3499,218164,96,37,91.6
mqar,CX,degree,5,0,0.19437,0.19458,3499,466370,327,36,161.4
path,AL,connectome,2,0,0.90457,0.89986,3499,258882,685,30,181.3
path,MB,degree,5,0,0.89872,0.90092,3499,218164,96,30,161.0
path,OL,connectome,2,0,0.73386,0.72438,3499,60742,22,30,121.7
flow,AL,degree,5,0,0.2743,0.23534,3499,258882,685,30,38.8
flow,CX,connectome,2,0,0.29497,0.27915,3499,466370,327,30,59.2
flow,OL,degree,5,1,0.19332,0.15302,3499,60742,22,30,28.1
mqar,AL,connectome,4,0,0.158,0.16583,3499,258882,685,26,72.3
mqar,MB,random,1,1,0.19725,0.20687,3499,218164,96,40,100.7
mqar,OL,connectome,4,0,0.03525,0.03083,3499,60742,22,10,19.8
path,AL,random,1,0,0.89718,0.9006,3499,258882,685,30,180.5
path,CX,connectome,4,1,0.89032,0.88948,3499,466370,327,30,276.4
path,OL,random,1,0,0.8952,0.89891,3499,60742,22,30,121.4
flow,MB,connectome,4,0,0.24383,0.2583,3499,218164,96,30,34.8
flow,CX,random,1,0,0.26889,0.30644,3499,466370,327,30,59.8
mqar,AL,connectome,3,0,0.16637,0.17333,3499,258882,685,38,105.9
mqar,MB,random,0,1,0.195,0.19917,3499,218164,96,40,100.8
mqar,OL,connectome,3,0,0.03263,0.03479,3499,60742,22,7,13.5
path,AL,random,0,0,0.89945,0.90247,3499,258882,685,30,181.6
path,CX,connectome,3,1,0.89349,0.89121,3499,466370,327,30,282.9
path,OL,random,0,0,0.89237,0.89483,3499,60742,22,30,120.2
flow,MB,connectome,3,0,0.26207,0.25952,3499,218164,96,30,34.6
flow,CX,random,0,0,0.30322,0.28483,3499,466370,327,30,61.0
mqar,AL,degree,0,0,0.16387,0.16542,3499,258882,685,33,92.3
mqar,MB,random,3,1,0.186,0.19771,3499,218164,96,40,101.1
mqar,OL,degree,0,0,0.19087,0.1925,3499,60742,22,40,79.2
path,AL,random,3,0,0.90185,0.89923,3499,258882,685,30,180.2
path,CX,degree,0,1,0.89531,0.89837,3499,466370,327,30,280.5
path,OL,random,3,0,0.89825,0.89637,3499,60742,22,30,121.3
flow,MB,degree,0,0,0.25283,0.22868,3499,218164,96,30,34.6
flow,CX,random,3,0,0.28251,0.2759,3499,466370,327,30,61.2
mqar,AL,connectome,5,0,0.17675,0.17646,3499,258882,685,30,84.0
mqar,MB,random,2,1,0.1985,0.19958,3499,218164,96,33,83.8
mqar,OL,connectome,5,0,0.03263,0.03292,3499,60742,22,8,15.5
path,AL,random,2,0,0.9036,0.89859,3499,258882,685,30,183.2
path,CX,connectome,5,1,0.88624,0.88667,3499,466370,327,30,282.3
path,OL,random,2,0,0.89625,0.89174,3499,60742,22,30,117.6
flow,MB,connectome,5,0,0.25923,0.21529,3499,218164,96,30,35.1
flow,CX,random,2,0,0.28246,0.26906,3499,466370,327,30,61.3
mqar,MB,degree,2,1,0.18888,0.20292,3499,218164,96,40,97.3
mqar,CX,random,5,0,0.19187,0.19417,3499,466370,327,31,136.8
path,AL,degree,2,0,0.90519,0.90014,3499,258882,685,30,177.5
path,MB,random,5,0,0.89518,0.89525,3499,218164,96,30,159.0
path,OL,degree,2,0,0.87771,0.87149,3499,60742,22,30,119.4
flow,AL,random,5,0,0.2859,0.24471,3499,258882,685,30,38.8
flow,CX,degree,2,0,0.284,0.2705,3499,466370,327,30,60.2
flow,OL,random,5,1,0.25411,0.21692,3499,60742,22,30,27.7
mqar,AL,degree,1,0,0.172,0.17562,3499,258882,685,35,96.4
mqar,MB,random,4,1,0.19412,0.19417,3499,218164,96,35,87.4
mqar,OL,degree,1,0,0.1815,0.19,3499,60742,22,35,67.9
path,AL,random,4,0,0.90268,0.90116,3499,258882,685,30,180.2
path,CX,degree,1,1,0.89608,0.89956,3499,466370,327,30,282.6
path,OL,random,4,0,0.8991,0.89862,3499,60742,22,30,120.4
flow,MB,degree,1,0,0.23021,0.26467,3499,218164,96,30,34.7
flow,CX,random,4,0,0.27237,0.28103,3499,466370,327,30,59.8
mqar,AL,degree,3,0,0.17437,0.18146,3499,258882,685,40,112.4
mqar,CX,connectome,0,0,0.20163,0.19896,3499,466370,327,31,139.1
mqar,OL,degree,3,0,0.17312,0.17687,3499,60742,22,40,77.3
path,MB,connectome,0,0,0.87268,0.87528,3499,218164,96,30,160.1
