model,seed,epoch,train_loss,val_loss,val_overall_rmse,val_yaw_rmse,val_translation_rmse,val_yaw_r2,best_val_loss,patience_wait,train_data_gen_seconds,train_step_seconds
optic_lobe_seeded,1,1,4.08990419868912,0.035940649236241975,0.18958018720149994,0.1467115879058838,0.20772293210029602,-0.025096654891967773,0.035940649236241975,0,44.19599252595799,114.7271411123802
optic_lobe_seeded,1,2,0.03572331037638443,0.03431374654173851,0.18523970246315002,0.14750173687934875,0.2014751434326172,-0.032222628593444824,0.03431374654173851,0,44.8250288644922,114.22977993852692
optic_lobe_seeded,1,3,0.032586357995335546,0.029938786911467712,0.17302829027175903,0.14517931640148163,0.18539053201675415,0.003036797046661377,0.029938786911467712,0,43.95945837011095,114.23548824770842
optic_lobe_seeded,1,4,0.029368277492799928,0.02721387774993976,0.16496630012989044,0.1355171948671341,0.17787177860736847,0.1218615174293518,0.02721387774993976,0,44.02047326188767,114.22085617244011
optic_lobe_seeded,1,5,0.02702490458531039,0.027838216349482536,0.16684786975383759,0.12361282855272293,0.18470852077007294,0.253562867641449,0.02721387774993976,1,43.955129605019465,114.1996986392187
optic_lobe_seeded,1,6,0.025849343676652228,0.02475876659154892,0.15734918415546417,0.12055868655443192,0.17283214628696442,0.30286234617233276,0.02475876659154892,0,45.06913583521964,114.11264706397196
optic_lobe_seeded,1,7,0.023773983693016427,0.025272275259097417,0.15897256135940552,0.11271829158067703,0.1776392161846161,0.37721115350723267,0.02475876659154892,1,44.95448280905839,114.16253085975768
optic_lobe_seeded,1,8,0.02267141400703362,0.02650042964766423,0.16278953850269318,0.11139647662639618,0.18315576016902924,0.40679478645324707,0.02475876659154892,2,44.239716571290046,114.12869960116223
optic_lobe_seeded,1,9,0.02208367290773562,0.02268578689545393,0.15061801671981812,0.1047041043639183,0.1689591407775879,0.47728097438812256,0.02268578689545393,0,44.33560726873111,114.26757419941714
optic_lobe_seeded,1,10,0.020859543606638907,0.022705916253228983,0.15068481862545013,0.12214422971010208,0.16309276223182678,0.3086320757865906,0.02268578689545393,1,45.060149774188176,114.30468503147131
optic_lobe_seeded,1,11,0.01999157134975706,0.018790248036384582,0.13707752525806427,0.0987585186958313,0.1526719182729721,0.5181673765182495,0.018790248036384582,0,44.189632638241164,114.19201589294244
optic_lobe_seeded,1,12,0.01917081412726215,0.020423651797076066,0.14291134476661682,0.1114247590303421,0.15629373490810394,0.41499024629592896,0.018790248036384582,1,45.16534622153267,114.14467066375073
