model,best_val_loss_mean,best_val_loss_std,test_overall_rmse_mean,test_overall_rmse_std,test_yaw_rmse_mean,test_translation_rmse_mean,test_yaw_r2_mean,trainable_params,recurrent_params,N
random_weight_topology,0.013347153231087658,0.0002577549675148728,0.11639957875013351,0.0008916577523840781,0.08104550093412399,0.1305327812830607,0.6844740112622579,15050231,8757188,96816
optic_lobe_seeded,0.013627471184978882,9.590616881825479e-05,0.116759958366553,0.0009914292934383856,0.0802154615521431,0.13126948972543082,0.6910170118014017,15050231,8757188,96816
shuffled_topology,0.021176459536784226,0.0001418417267367605,0.14561101297537485,0.0013016481791208764,0.10962557047605515,0.1606044421593348,0.4223196506500244,15050231,8757188,96816
random_sparse,0.021108473423454496,9.887605398491554e-05,0.14658454060554504,0.0018954112334925643,0.11102864891290665,0.16145081321398416,0.40776628255844116,15050231,8757188,96816
