seed,model,epoch,train_mse,val_mse,best_val_mse,patience_wait
0,connectome_bpu,1,0.5654345003864433,0.3747260123491287,0.3747260123491287,0
0,connectome_bpu,2,0.28278258933296685,0.2469253884628415,0.2469253884628415,0
0,connectome_bpu,3,0.16575232261343847,0.15807855501770973,0.15807855501770973,0
0,connectome_bpu,4,0.11438187258907512,0.1088306219317019,0.1088306219317019,0
0,connectome_bpu,5,0.08784795099798637,0.08699727617204189,0.08699727617204189,0
0,connectome_bpu,6,0.0777071188145046,0.07193736033514142,0.07193736033514142,0
0,connectome_bpu,7,0.07795156953455526,0.0789004024118185,0.07193736033514142,1
0,connectome_bpu,8,0.0719655099548871,0.07262524170801044,0.07193736033514142,2
0,connectome_bpu,9,0.0652132354959657,0.07152596302330494,0.07152596302330494,0
0,connectome_bpu,10,0.06279179076605206,0.05980372452177107,0.05980372452177107,0
0,connectome_bpu,11,0.061946938686733004,0.07188647566363215,0.05980372452177107,1
0,connectome_bpu,12,0.05924660193769238,0.05673136212863028,0.05673136212863028,0
0,connectome_bpu,13,0.056733469844241685,0.0571866303216666,0.05673136212863028,1
0,connectome_bpu,14,0.05622038023569916,0.054444275330752134,0.054444275330752134,0
0,connectome_bpu,15,0.05342347203176233,0.05430572386831045,0.05430572386831045,0
0,connectome_bpu,16,0.05303842263131202,0.05743026756681502,0.05430572386831045,1
0,connectome_bpu,17,0.0503389335508588,0.0555935965385288,0.05430572386831045,2
0,connectome_bpu,18,0.05061347697731815,0.04805744648911059,0.04805744648911059,0
0,connectome_bpu,19,0.0472409960967076,0.060969298239797354,0.04805744648911059,1
0,connectome_bpu,20,0.048557201612599285,0.044958562357351184,0.044958562357351184,0
1,connectome_bpu,1,0.4636418246015718,0.29625571705400944,0.29625571705400944,0
1,connectome_bpu,2,0.2504189695361294,0.195832883939147,0.195832883939147,0
1,connectome_bpu,3,0.16943983960000775,0.15431343019008636,0.15431343019008636,0
1,connectome_bpu,4,0.12980932798943942,0.16614405997097492,0.15431343019008636,1
1,connectome_bpu,5,0.10876826357237901,0.12074063159525394,0.12074063159525394,0
1,connectome_bpu,6,0.08879857548052751,0.07405812479555607,0.07405812479555607,0
1,connectome_bpu,7,0.07368445721796796,0.06552883656695485,0.06552883656695485,0
1,connectome_bpu,8,0.07191522924017303,0.07261125324293971,0.06552883656695485,1
1,connectome_bpu,9,0.06636499429616748,0.06956607569009066,0.06552883656695485,2
1,connectome_bpu,10,0.06110736411772197,0.07973428117111325,0.06552883656695485,3
1,connectome_bpu,11,0.0598833370435087,0.05599575745873153,0.05599575745873153,0
1,connectome_bpu,12,0.05538585131304174,0.05791241000406444,0.05599575745873153,1
1,connectome_bpu,13,0.05487726152509074,0.05522295134142041,0.05522295134142041,0
1,connectome_bpu,14,0.052857208761233315,0.05328343575820327,0.05328343575820327,0
1,connectome_bpu,15,0.05495068449762803,0.05225015408359468,0.05225015408359468,0
1,connectome_bpu,16,0.05279741624865351,0.056592918233945966,0.05225015408359468,1
1,connectome_bpu,17,0.05188603392696079,0.06011474854312837,0.05225015408359468,2
1,connectome_bpu,18,0.05048424340312994,0.05218059429898858,0.05218059429898858,0
1,connectome_bpu,19,0.04828230362338356,0.05012480169534683,0.05012480169534683,0
1,connectome_bpu,20,0.04829436347265787,0.04761867178604007,0.04761867178604007,0
2,connectome_bpu,1,0.474539748852766,0.43709850683808327,0.43709850683808327,0
2,connectome_bpu,2,0.27607823285875444,0.20532308146357536,0.20532308146357536,0
2,connectome_bpu,3,0.17739753670330288,0.1354838479310274,0.1354838479310274,0
2,connectome_bpu,4,0.12578153148104873,0.13792331889271736,0.1354838479310274,1
2,connectome_bpu,5,0.10124635564375527,0.09454895416274667,0.09454895416274667,0
2,connectome_bpu,6,0.08307458988473385,0.08512433525174856,0.08512433525174856,0
2,connectome_bpu,7,0.07684290526977068,0.07191204698756337,0.07191204698756337,0
2,connectome_bpu,8,0.0696020627134963,0.06809531711041927,0.06809531711041927,0
2,connectome_bpu,9,0.06691334476765198,0.07449971418827772,0.06809531711041927,1
2,connectome_bpu,10,0.0642166673854182,0.06374460272490978,0.06374460272490978,0
2,connectome_bpu,11,0.05912409831262842,0.06385898450389504,0.06374460272490978,1
2,connectome_bpu,12,0.05818108591852309,0.0637742723338306,0.06374460272490978,2
2,connectome_bpu,13,0.05738856681162798,0.06257024453952909,0.06257024453952909,0
2,connectome_bpu,14,0.056235771862011924,0.0682701738551259,0.06257024453952909,1
2,connectome_bpu,15,0.055043921629084815,0.053872809978201985,0.053872809978201985,0
2,connectome_bpu,16,0.05548237900756582,0.056722331792116165,0.053872809978201985,1
2,connectome_bpu,17,0.052463809004690075,0.055305551970377564,0.053872809978201985,2
2,connectome_bpu,18,0.049525053252147726,0.04846610804088414,0.04846610804088414,0
2,connectome_bpu,19,0.05070189292295069,0.049707137048244476,0.04846610804088414,1
2,connectome_bpu,20,0.046777620345731324,0.04174199886620045,0.04174199886620045,0
