bodyId,instance,type,pre,post,downstream,upstream,mito,size,status,cropped,statusLabel,cellBodyFiber,somaRadius,somaLocation,roiInfo,notes,inputRois,outputRois
1349775916,,,0,10,0,10,0,222371,Orphan,,Orphan,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl3': {'post': 2}, 'FBl2': {'post': 8}}",,"['CX', 'FB', 'FBl2', 'FBl3']",[]
1349792325,,,0,10,0,10,0,283754,Assign,,0.5assign,,,,"{'CX': {'post': 10}, 'FB': {'post': 10}, 'FBl4': {'post': 10}}",,"['CX', 'FB', 'FBl4']",[]
1349792802,,,0,11,0,11,0,111639,Assign,,0.5assign,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl4': {'post': 11}}",,"['CX', 'FB', 'FBl4']",[]
1349796922,,,0,11,0,11,0,105456,Orphan,,Orphan,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl4': {'post': 11}}",,"['CX', 'FB', 'FBl4']",[]
1350060485,,,0,13,0,13,0,196270,Orphan,,Orphan hotknife,,,,"{'CX': {'post': 13}, 'FB': {'post': 13}, 'FBl4': {'post': 13}, 'FB-column3': {'post': 13}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350060541,,,0,16,0,16,0,207777,Orphan,,Orphan,,,,"{'CX': {'post': 16}, 'FB': {'post': 16}, 'FBl4': {'post': 16}, 'FB-column3': {'post': 16}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350064700,,,0,11,0,11,0,197439,Orphan,,Orphan,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl4': {'post': 11}, 'FB-column3': {'post': 11}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350064715,,,0,14,0,14,0,376028,Orphan,,Orphan,,,,"{'CX': {'post': 14}, 'FB': {'post': 14}, 'FBl4': {'post': 14}, 'FB-column3': {'post': 14}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350064880,,,0,17,0,17,0,290993,Orphan,,Orphan,,,,"{'CX': {'post': 17}, 'FB': {'post': 17}, 'FBl4': {'post': 17}, 'FB-column3': {'post': 17}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350069194,,,0,11,0,11,0,159171,Orphan,,Orphan,,,,"{'CX': {'post': 11}, 'FB': {'post': 11}, 'FBl4': {'post': 11}, 'FB-column3': {'post': 11}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350069271,,,0,13,0,13,0,185991,Orphan,,Orphan,,,,"{'CX': {'post': 13}, 'FB': {'post': 13}, 'FBl4': {'post': 13}, 'FB-column3': {'post': 13}}",,"['CX', 'FB', 'FB-column3', 'FBl4']",[]
1350077133,,,2,0,12,0,0,11839,Assign,,0.5assign,,,,"{'CX': {'pre': 2, 'downstream': 12}, 'FB': {'pre': 2, 'downstream': 12}, 'FBl3': {'pre': 2, 'downstream': 12}}",,[],"['CX', 'FB', 'FBl3']"
