seed,model,task,split,T,noise_std,epochs_ran,final_train_loss,best_val_loss,trainable_parameter_count,frozen_edge_count,recurrent_parameter_count,trainable_recurrent_parameter_count,recurrent_train_mode,K,latency_ms_per_sequence,mse,heading_angular_error,position_rmse,final_home_vector_cosine,final_displacement_error,bump_mse,heading_bump_angular_error,home_bearing_angular_error,home_distance_rmse,final_home_bearing_angular_error,final_home_distance_error,drift_slope_vs_T
0,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,0.04387696785852313,0.3758171498775482,1.1265010833740234,0.9981817007064819,0.7925501465797424,0.034296583384275436,0.3758171498775482,0.07431049644947052,1.1265010833740234,0.04665089398622513,0.7925501465797424,277.8092240180289
0,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,0.18752660788595676,0.7077353000640869,4.774798393249512,0.7800285220146179,9.181580543518066,0.057402122765779495,0.7077353000640869,0.16991686820983887,4.774798393249512,0.41764697432518005,9.181580543518066,277.8092240180289
0,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,512771.54296875,0.9766940474510193,14482.0244140625,0.38374587893486023,38895.76171875,0.07449255138635635,0.9766940474510193,0.5597578287124634,14482.0244140625,0.9914120435714722,38895.76171875,277.8092240180289
0,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,509409.46875,0.9841688871383667,14466.3564453125,0.36385199427604675,38961.66796875,0.07439809292554855,0.9841688871383667,0.555442750453949,14466.3564453125,1.0185285806655884,38961.66796875,277.8092240180289
0,connectome_bpu,cx_landmark_bump,test_noise,200,0.05,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,358527.4345703125,0.9897242784500122,12146.1494140625,0.4154219329357147,30848.931640625,0.07538027316331863,0.9897242784500122,0.5444238185882568,12146.1494140625,0.9438426494598389,30848.931640625,277.8092240180289
0,connectome_bpu,cx_landmark_bump,test_noise,200,0.1,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,267008.8154296875,1.0183615684509277,10485.9365234375,0.46354547142982483,24095.1796875,0.0783252865076065,1.0183615684509277,0.5683851838111877,10485.9365234375,0.8820699453353882,24095.1796875,277.8092240180289
0,connectome_bpu,cx_landmark_bump,test_noise,200,0.2,20,0.048557201612599285,0.044958562357351184,537837,0,511930,511930,observed,3,0.33756613438526983,119785.19116210938,1.1291580200195312,7002.0,0.617921769618988,12783.169921875,0.0859316810965538,1.1291580200195312,0.666136622428894,7002.0,0.6836376786231995,12783.169921875,277.8092240180289
1,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.04829436347265787,0.04761867178604007,537837,0,511930,511930,observed,3,0.33674942187644774,0.04671972035430372,0.36836203932762146,1.3591960668563843,0.9981659054756165,0.8610841035842896,0.03633081912994385,0.36836203932762146,0.07453057914972305,1.3591960668563843,0.046614401042461395,0.8610841035842896,0.004302741714886257
1,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.04829436347265787,0.04761867178604007,537837,0,511930,511930,observed,3,0.33674942187644774,0.07683105440810323,0.7025281190872192,1.5546257495880127,0.9976071715354919,0.9876653552055359,0.061999160796403885,0.7025281190872192,0.09300606697797775,1.5546257495880127,0.05129902437329292,0.9876653552055359,0.004302741714886257
1,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.04829436347265787,0.04761867178604007,537837,0,511930,511930,observed,3,0.33674942187644774,0.1068551866337657,0.9680188894271851,2.736098289489746,0.9949532747268677,1.4887841939926147,0.08037341386079788,0.9680188894271851,0.11579905450344086,2.736098289489746,0.06676793843507767,1.4887841939926147,0.004302741714886257
