seed,model,task,split,T,noise_std,epochs_ran,final_train_loss,best_val_loss,trainable_parameter_count,frozen_edge_count,recurrent_parameter_count,trainable_recurrent_parameter_count,recurrent_train_mode,K,latency_ms_per_sequence,mse,heading_angular_error,position_rmse,final_home_vector_cosine,final_displacement_error,bump_mse,heading_bump_angular_error,home_bearing_angular_error,home_distance_rmse,final_home_bearing_angular_error,final_home_distance_error,drift_slope_vs_T
0,cx_bpu,cx_polar_bump,test,50,0.0,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.38579161465168,1.0491665601730347,6.756210803985596,0.4264301061630249,8.325726509094238,0.07191571593284607,1.0491665601730347,0.6566386222839355,6.756210803985596,1.0262702703475952,8.325726509094238,0.1065091037750244
0,cx_bpu,cx_polar_bump,test,100,0.0,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.5723229646682739,1.2978037595748901,11.801834106445312,0.29880794882774353,15.162610054016113,0.07856445014476776,1.2978037595748901,0.8813915848731995,11.801834106445312,1.1883955001831055,15.162610054016113,0.1065091037750244
0,cx_bpu,cx_polar_bump,test,200,0.0,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.8650341890752316,1.4396272897720337,19.65107536315918,0.17820419371128082,24.60437774658203,0.08229830116033554,1.4396272897720337,1.0771055221557617,19.65107536315918,1.3437203168869019,24.60437774658203,0.1065091037750244
0,cx_bpu,cx_polar_bump,test_noise,200,0.0,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.8522851690649986,1.4385333061218262,19.332555770874023,0.2070535272359848,24.611698150634766,0.08214119076728821,1.4385333061218262,1.0714751482009888,19.332555770874023,1.3110251426696777,24.611698150634766,0.1065091037750244
0,cx_bpu,cx_polar_bump,test_noise,200,0.05,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.853214867413044,1.4398993253707886,19.312362670898438,0.20480743050575256,24.570972442626953,0.08212045580148697,1.4398993253707886,1.0751711130142212,19.312362670898438,1.312882661819458,24.570972442626953,0.1065091037750244
0,cx_bpu,cx_polar_bump,test_noise,200,0.1,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.8561722636222839,1.4428534507751465,19.255573272705078,0.20322345197200775,24.49717903137207,0.08208580315113068,1.4428534507751465,1.0856610536575317,19.255573272705078,1.3125202655792236,24.49717903137207,0.1065091037750244
0,cx_bpu,cx_polar_bump,test_noise,200,0.2,20,0.3848420294779765,0.38723612390458584,22943,511930,511930,0,frozen,3,0.5875467937585199,0.8689497709274292,1.4532341957092285,19.0386962890625,0.18573987483978271,24.163288116455078,0.08209982514381409,1.4532341957092285,1.1256017684936523,19.0386962890625,1.3356355428695679,24.163288116455078,0.1065091037750244
0,random,cx_polar_bump,test,50,0.0,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.39902814850211143,1.1598097085952759,6.306720733642578,0.3201981782913208,7.842977523803711,0.07115872949361801,1.1598097085952759,0.7861267328262329,6.306720733642578,1.1646078824996948,7.842977523803711,0.10079046113150461
0,random,cx_polar_bump,test,100,0.0,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.5598886571824551,1.3543050289154053,11.088494300842285,0.21779999136924744,14.175021171569824,0.07673151046037674,1.3543050289154053,1.0122957229614258,11.088494300842285,1.2911547422409058,14.175021171569824,0.10079046113150461
0,random,cx_polar_bump,test,200,0.0,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.8089070543646812,1.4673620462417603,18.67089080810547,0.13191939890384674,23.220050811767578,0.07970935851335526,1.4673620462417603,1.1785387992858887,18.67089080810547,1.39937162399292,23.220050811767578,0.10079046113150461
0,random,cx_polar_bump,test_noise,200,0.0,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.7994638383388519,1.467289686203003,18.36049461364746,0.15813259780406952,23.312925338745117,0.07965648919343948,1.467289686203003,1.1757891178131104,18.36049461364746,1.36799955368042,23.312925338745117,0.10079046113150461
0,random,cx_polar_bump,test_noise,200,0.05,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.7968266680836678,1.4673579931259155,18.245546340942383,0.1590965986251831,23.159862518310547,0.07961653172969818,1.4673579931259155,1.178733468055725,18.245546340942383,1.3653627634048462,23.159862518310547,0.10079046113150461
0,random,cx_polar_bump,test_noise,200,0.1,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.7908936627209187,1.4677873849868774,17.944841384887695,0.1495308130979538,22.7485294342041,0.07962173968553543,1.4677873849868774,1.1869570016860962,17.944841384887695,1.3755906820297241,22.7485294342041,0.10079046113150461
0,random,cx_polar_bump,test_noise,200,0.2,20,0.4046419711807106,0.4023533631116152,22943,511930,511930,0,frozen,3,0.5891738531317969,0.787066001445055,1.4702805280685425,17.11731719970703,0.13932979106903076,21.574073791503906,0.08033484220504761,1.4702805280685425,1.2294917106628418,17.11731719970703,1.3943095207214355,21.574073791503906,0.10079046113150461
0,degree_shuffle,cx_polar_bump,test,50,0.0,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.4646590296179056,1.1979206800460815,6.644327640533447,0.32480522990226746,8.150163650512695,0.07892826944589615,1.1979206800460815,0.819584846496582,6.644327640533447,1.1572041511535645,8.150163650512695,0.10376857485089983
0,degree_shuffle,cx_polar_bump,test,100,0.0,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.6041792258620262,1.372332215309143,11.522262573242188,0.21360909938812256,14.797983169555664,0.08254323899745941,1.372332215309143,1.0231332778930664,11.522262573242188,1.2991859912872314,14.797983169555664,0.10376857485089983
0,degree_shuffle,cx_polar_bump,test,200,0.0,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.8506835699081421,1.4772027730941772,19.28360366821289,0.13354316353797913,24.007328033447266,0.08470099419355392,1.4772027730941772,1.1838123798370361,19.28360366821289,1.4018934965133667,24.007328033447266,0.10376857485089983
0,degree_shuffle,cx_polar_bump,test_noise,200,0.0,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.8412459269165993,1.4762113094329834,18.958969116210938,0.1678386777639389,23.96432876586914,0.08466431498527527,1.4762113094329834,1.1831003427505493,18.958969116210938,1.356998085975647,23.96432876586914,0.10376857485089983
0,degree_shuffle,cx_polar_bump,test_noise,200,0.05,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.8414569571614265,1.4762768745422363,18.953216552734375,0.16818460822105408,23.957408905029297,0.0846625491976738,1.4762768745422363,1.183962106704712,18.953216552734375,1.3560560941696167,23.957408905029297,0.10376857485089983
0,degree_shuffle,cx_polar_bump,test_noise,200,0.1,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.8418952636420727,1.4764366149902344,18.931148529052734,0.16584958136081696,23.937894821166992,0.08466613292694092,1.4764366149902344,1.1866859197616577,18.931148529052734,1.3601120710372925,23.937894821166992,0.10376857485089983
0,degree_shuffle,cx_polar_bump,test_noise,200,0.2,20,0.47063367917567867,0.47141032107174397,22943,511930,511930,0,frozen,3,0.5882536093622548,0.8439036421477795,1.4770126342773438,18.849498748779297,0.16374444961547852,23.798988342285156,0.08470208197832108,1.4770126342773438,1.196027159690857,18.849498748779297,1.3612585067749023,23.798988342285156,0.10376857485089983
0,weight_shuffle,cx_polar_bump,test,50,0.0,20,0.36546600619448893,0.3663061149418354,22943,511930,511930,0,frozen,3,0.58781294687833,0.36312951892614365,1.0567277669906616,6.546881675720215,0.37810400128364563,8.015727996826172,0.06580662727355957,1.0567277669906616,0.7017237544059753,6.546881675720215,1.0913946628570557,8.015727996826172,0.10368571553911483
