run-start task=odor_valence_associative_reversal output_dir=/home/ec2-user/pathintegrationBPU/outputs/mb_assoc_dense_only_lr1e4_3seed_100ep matrix=/home/ec2-user/pathintegrationBPU/outputs/hemibrain_mushroom_body_plume/adjacency_unsigned.npz device=cuda
data-ready N=11690 edges=1277773 input_dim=67 timesteps=21 models=hemibrain_dense,random_dense
model-start model=hemibrain_dense seed=0 runtime=dense N=11690 recurrent_params=136656100 trainable_params=137462711 init_nonzero_edges=1277773 timesteps=21
loss model=hemibrain_dense seed=0 epoch=34/100 train_loss=0.186332 val_loss=0.181454 val_acc=0.9319 val_reversal_acc=0.9111 best_val_loss=0.174424 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=35/100 train_loss=0.186322 val_loss=0.185265 val_acc=0.9301 val_reversal_acc=0.9089 best_val_loss=0.174424 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=36/100 train_loss=0.181479 val_loss=0.172436 val_acc=0.9332 val_reversal_acc=0.9147 best_val_loss=0.172436 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=37/100 train_loss=0.173688 val_loss=0.170677 val_acc=0.9369 val_reversal_acc=0.9151 best_val_loss=0.170677 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=38/100 train_loss=0.173021 val_loss=0.171016 val_acc=0.9348 val_reversal_acc=0.9156 best_val_loss=0.170677 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=39/100 train_loss=0.168061 val_loss=0.163806 val_acc=0.9381 val_reversal_acc=0.9184 best_val_loss=0.163806 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=40/100 train_loss=0.166525 val_loss=0.15652 val_acc=0.9387 val_reversal_acc=0.9171 best_val_loss=0.15652 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=41/100 train_loss=0.161787 val_loss=0.151708 val_acc=0.9426 val_reversal_acc=0.9243 best_val_loss=0.151708 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=42/100 train_loss=0.153559 val_loss=0.150187 val_acc=0.9451 val_reversal_acc=0.9275 best_val_loss=0.150187 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=43/100 train_loss=0.155271 val_loss=0.165649 val_acc=0.9382 val_reversal_acc=0.9150 best_val_loss=0.150187 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=44/100 train_loss=0.152716 val_loss=0.132887 val_acc=0.9498 val_reversal_acc=0.9354 best_val_loss=0.132887 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=45/100 train_loss=0.141652 val_loss=0.137388 val_acc=0.9486 val_reversal_acc=0.9298 best_val_loss=0.132887 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=46/100 train_loss=0.140251 val_loss=0.129723 val_acc=0.9531 val_reversal_acc=0.9353 best_val_loss=0.129723 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=47/100 train_loss=0.139232 val_loss=0.123894 val_acc=0.9542 val_reversal_acc=0.9401 best_val_loss=0.123894 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=48/100 train_loss=0.134107 val_loss=0.13429 val_acc=0.9480 val_reversal_acc=0.9281 best_val_loss=0.123894 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=49/100 train_loss=0.130752 val_loss=0.136086 val_acc=0.9487 val_reversal_acc=0.9303 best_val_loss=0.123894 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=50/100 train_loss=0.12974 val_loss=0.120853 val_acc=0.9570 val_reversal_acc=0.9415 best_val_loss=0.120853 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=51/100 train_loss=0.126036 val_loss=0.118034 val_acc=0.9570 val_reversal_acc=0.9409 best_val_loss=0.118034 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=52/100 train_loss=0.122395 val_loss=0.129202 val_acc=0.9506 val_reversal_acc=0.9292 best_val_loss=0.118034 patience_wait=1
loss model=hemibrain_dense seed=0 epoch=53/100 train_loss=0.122981 val_loss=0.122431 val_acc=0.9567 val_reversal_acc=0.9391 best_val_loss=0.118034 patience_wait=2
loss model=hemibrain_dense seed=0 epoch=54/100 train_loss=0.118622 val_loss=0.116359 val_acc=0.9574 val_reversal_acc=0.9388 best_val_loss=0.116359 patience_wait=0
loss model=hemibrain_dense seed=0 epoch=55/100 train_loss=0.117599 val_loss=0.1148 val_acc=0.9576 val_reversal_acc=0.9428 best_val_loss=0.1148 patience_wait=0
