model,seed,runtime,N,init_nonzero_edges,recurrent_params,trainable_params,timesteps,best_val_loss,test_loss,test_query_accuracy,test_initial_probe_accuracy,test_reversal_probe_accuracy
hemibrain_dense,0,dense,11690,1277773,136656100,137462711,21,0.062252430617809294,0.06499344161711633,0.9775065104166667,0.9884765625,0.9665364583333333
hemibrain_dense,1,dense,11690,1277773,136656100,137462711,21,0.061585293244570495,0.05970184109173715,0.9803059895833334,0.9889322916666666,0.9716796875
hemibrain_dense,2,dense,11690,1277773,136656100,137462711,21,0.05537678049877286,0.05902336814906448,0.9797200520833333,0.9892578125,0.9701822916666667
random_dense,0,dense,11690,1277773,136656100,137462711,21,0.06480144774541259,0.0638937002979219,0.9767903645833333,0.9885416666666667,0.9650390625
random_dense,1,dense,11690,1277773,136656100,137462711,21,0.06259618131443859,0.058776664454489945,0.9795572916666667,0.9897786458333333,0.9693359375
random_dense,2,dense,11690,1277773,136656100,137462711,21,0.06253243992105126,0.06509445896372199,0.9770182291666667,0.9884765625,0.9655598958333333
