axis,model,seed,train_recurrent,runtime,lr,rho,wd,test_acc,val_acc,peak_val,epochs_ran,chance,N,build_s,train_s
lr,spectrum_topk,1,trainable,dense,0.0003,0.95,0.0,0.1537,0.1606,0.1606,68,0.0312,14025,3945.4,701.3
lr,spectrum_topk,0,trainable,dense,0.001,0.95,0.0,0.1543,0.1571,0.1571,71,0.0312,14025,4339.9,731.7
lr,spectrum_topk,1,trainable,dense,0.001,0.95,0.0,0.1541,0.159,0.159,74,0.0312,14025,3945.4,761.2
lr,spectrum_topk,0,trainable,dense,0.003,0.95,0.0,0.0313,0.0367,0.0367,45,0.0312,14025,4339.9,472.7
lr,spectrum_topk,1,trainable,dense,0.003,0.95,0.0,0.0288,0.0366,0.0366,72,0.0312,14025,3945.4,740.1
lr,spectrum_topk,0,trainable,dense,0.01,0.95,0.0,0.0313,0.0367,0.0367,45,0.0312,14025,4339.9,472.6
lr,spectrum_topk,1,trainable,dense,0.01,0.95,0.0,0.0288,0.0366,0.0366,72,0.0312,14025,3945.4,740.0
lr,spectrum_topk,0,trainable,dense,0.03,0.95,0.0,0.0313,0.0367,0.0367,45,0.0312,14025,4339.9,472.6
lr,spectrum_topk,1,trainable,dense,0.03,0.95,0.0,0.0288,0.0366,0.0366,72,0.0312,14025,3945.4,740.1
lr,weight_shuffle,0,trainable,sparse,0.0003,0.95,0.0,0.193,0.2053,0.2053,141,0.0312,14025,0.1,612.2
lr,weight_shuffle,1,trainable,sparse,0.0003,0.95,0.0,0.197,0.2114,0.2114,108,0.0312,14025,0.3,468.2
lr,weight_shuffle,0,trainable,sparse,0.001,0.95,0.0,0.7611,0.7714,0.7714,200,0.0312,14025,0.1,1110.0
lr,weight_shuffle,1,trainable,sparse,0.001,0.95,0.0,0.742,0.7543,0.7543,200,0.0312,14025,0.3,876.7
lr,weight_shuffle,0,trainable,sparse,0.003,0.95,0.0,0.5192,0.5328,0.5328,200,0.0312,14025,0.1,871.3
lr,weight_shuffle,1,trainable,sparse,0.003,0.95,0.0,0.3945,0.4202,0.4202,200,0.0312,14025,0.3,866.3
lr,weight_shuffle,0,trainable,sparse,0.01,0.95,0.0,0.1843,0.1904,0.1904,94,0.0312,14025,0.1,407.9
lr,weight_shuffle,1,trainable,sparse,0.01,0.95,0.0,0.1546,0.1647,0.1647,111,0.0312,14025,0.3,480.8
lr,weight_shuffle,0,trainable,sparse,0.03,0.95,0.0,0.0277,0.038,0.038,91,0.0312,14025,0.1,396.8
lr,weight_shuffle,1,trainable,sparse,0.03,0.95,0.0,0.0302,0.0378,0.0378,72,0.0312,14025,0.3,312.0
