model,seed_count,trial_count,panel_count,early_mean,early_mean_std,curve_auc,curve_auc_std,curve_mean,curve_mean_std,final_mean,final_mean_std
connectome_temporal_difference,5,40.0,42.0,0.3281302742546941,0.0009248972506727928,23.21787200040331,0.2891197996319646,0.5958115507335408,0.007472384954867491,0.7868627051609833,0.022950196328989578
degree_preserving_temporal_difference,5,40.0,42.0,0.32898439395825013,0.0006499518142925989,23.20905882927238,0.285281586687915,0.5955985501040155,0.0073583688972038925,0.7867530544926982,0.022801928850212212
random_sparse_temporal_difference,5,40.0,42.0,0.3285741859635701,0.00044661875354428727,23.247834566186988,0.2808204248876015,0.5965639943022072,0.00725809071209643,0.7870413002797589,0.022861845168722347
weight_shuffle_temporal_difference,5,40.0,42.0,0.3283371654956814,0.0011370242501870056,23.229404641469177,0.28464620293807696,0.5961003432334093,0.007357106726413476,0.7869240794185276,0.0229139942601895
