model,seed,trial_count,panel_count,early_trials,early_mean,curve_auc,curve_mean,final_mean
connectome_temporal_difference,0,40,42,5,0.32807480580091186,22.947394547405423,0.5889275932947762,0.7790298112820447
connectome_temporal_difference,1,40,42,5,0.32823969738509506,23.64468362723895,0.6069767264661531,0.8271515195111431
connectome_temporal_difference,2,40,42,5,0.32862178004609194,23.36590045688585,0.5994619582473847,0.7827087390833308
connectome_temporal_difference,3,40,42,5,0.32908562138435526,22.992192088391754,0.5900408403946124,0.774219625917344
connectome_temporal_difference,4,40,42,5,0.32662946665701637,23.139189282094577,0.5936506352647776,0.7712038300110536
degree_preserving_temporal_difference,0,40,42,5,0.32871752762614953,22.87901583479398,0.587229139003254,0.7784594035459926
degree_preserving_temporal_difference,1,40,42,5,0.3296769755672623,23.600560757131706,0.6058810684306087,0.8268075456706135
degree_preserving_temporal_difference,2,40,42,5,0.32891273989114955,23.37332116991723,0.5996488332900414,0.7827758794669665
degree_preserving_temporal_difference,3,40,42,5,0.32953915859239036,23.02243155426228,0.5907976051200251,0.7744073428914872
degree_preserving_temporal_difference,4,40,42,5,0.328075568114299,23.1699648302567,0.5944361046761483,0.7713151008884315
random_sparse_temporal_difference,0,40,42,5,0.32824787800716604,22.94458299904837,0.5888511141968159,0.7788708112294762
random_sparse_temporal_difference,1,40,42,5,0.3288873467301412,23.643080120799585,0.6069417790698381,0.8272071074804851
random_sparse_temporal_difference,2,40,42,5,0.32895173864713306,23.40486650856428,0.600437641369363,0.782950977964513
random_sparse_temporal_difference,3,40,42,5,0.32883038085877325,23.047183913723455,0.5914038038470542,0.7745940873424951
random_sparse_temporal_difference,4,40,42,5,0.32795358557463683,23.199459288799257,0.5951856330279652,0.7715835173818252
weight_shuffle_temporal_difference,0,40,42,5,0.3275279623560743,22.93835190272015,0.5886882609291698,0.7789994149625759
weight_shuffle_temporal_difference,1,40,42,5,0.32901155888288314,23.646854477167807,0.6070395757974483,0.8271665065220056
weight_shuffle_temporal_difference,2,40,42,5,0.3280675410550201,23.375212194720476,0.599664181862424,0.7827489510545492
weight_shuffle_temporal_difference,3,40,42,5,0.32993709493260165,23.034948854819703,0.5911300160135327,0.7743553694844701
weight_shuffle_temporal_difference,4,40,42,5,0.32714167025182805,23.15165577791774,0.5939796815644722,0.7713501550690373
