Unnamed: 0,update,total_updates,T,FPS,window,mean,median,min,max,model
56,60,781,7808,84,28,-78.09304882142858,-79.02061549999999,-116.810582,-33.501237,rnn_param_matched
57,61,781,7936,75,29,-78.57622089655173,-79.102333,-116.810582,-33.501237,rnn_param_matched
58,62,781,8064,76,29,-78.57622089655173,-79.102333,-116.810582,-33.501237,rnn_param_matched
59,63,781,8192,76,30,-78.6465294,-79.89390449999999,-116.810582,-33.501237,rnn_param_matched
60,64,781,8320,76,30,-78.6465294,-79.89390449999999,-116.810582,-33.501237,rnn_param_matched
61,65,781,8448,77,30,-78.6465294,-79.89390449999999,-116.810582,-33.501237,rnn_param_matched
62,66,781,8576,77,31,-78.31527767741937,-79.102333,-116.810582,-33.501237,rnn_param_matched
63,67,781,8704,78,31,-78.31527767741937,-79.102333,-116.810582,-33.501237,rnn_param_matched
64,68,781,8832,78,32,-77.83816465625,-79.02061549999999,-116.810582,-33.501237,rnn_param_matched
65,69,781,8960,78,32,-77.83816465625,-79.02061549999999,-116.810582,-33.501237,rnn_param_matched
66,70,781,9088,79,33,-77.50218145454546,-78.938898,-116.810582,-33.501237,rnn_param_matched
67,71,781,9216,79,33,-77.50218145454546,-78.938898,-116.810582,-33.501237,rnn_param_matched
68,72,781,9344,79,33,-77.50218145454546,-78.938898,-116.810582,-33.501237,rnn_param_matched
69,73,781,9472,80,34,-77.78306932352942,-79.02061549999999,-116.810582,-33.501237,rnn_param_matched
70,74,781,9600,80,34,-77.78306932352942,-79.02061549999999,-116.810582,-33.501237,rnn_param_matched
71,75,781,9728,80,35,-78.04442831428571,-79.102333,-116.810582,-33.501237,rnn_param_matched
72,76,781,9856,81,35,-78.04442831428571,-79.102333,-116.810582,-33.501237,rnn_param_matched
73,77,781,9984,81,36,-80.39831527777778,-79.89390449999999,-162.784359,-33.501237,rnn_param_matched
74,78,781,10112,81,37,-80.16657140540542,-79.102333,-162.784359,-33.501237,rnn_param_matched
75,79,781,10240,82,37,-80.16657140540542,-79.102333,-162.784359,-33.501237,rnn_param_matched
76,80,781,10368,82,38,-79.91013278947369,-79.02061549999999,-162.784359,-33.501237,rnn_param_matched
77,81,781,10496,75,38,-79.91013278947369,-79.02061549999999,-162.784359,-33.501237,rnn_param_matched
78,82,781,10624,76,38,-79.91013278947369,-79.02061549999999,-162.784359,-33.501237,rnn_param_matched
79,83,781,10752,76,39,-79.27361194871794,-78.938898,-162.784359,-33.501237,rnn_param_matched
