seed,model,epoch,train_mse,val_mse,best_val_mse,patience_wait
0,cx_bpu,1,0.5527747631827488,0.5007250607013702,0.5007250607013702,0
0,cx_bpu,2,0.48723978898193265,0.48174471221864223,0.48174471221864223,0
0,cx_bpu,3,0.46428097124341167,0.4571026675403118,0.4571026675403118,0
0,cx_bpu,4,0.4462815938116629,0.4433300029486418,0.4433300029486418,0
0,cx_bpu,5,0.43445369525800775,0.4314936250448227,0.4314936250448227,0
0,cx_bpu,6,0.42237728155111964,0.42021800577640533,0.42021800577640533,0
0,cx_bpu,7,0.4120158405998085,0.4108966886997223,0.4108966886997223,0
0,cx_bpu,8,0.40399553768242463,0.40405943617224693,0.40405943617224693,0
0,cx_bpu,9,0.3983850475353531,0.4010961316525936,0.4010961316525936,0
0,cx_bpu,10,0.39586634198321574,0.3977735675871372,0.3977735675871372,0
0,cx_bpu,11,0.3933145762244357,0.39529075659811497,0.39529075659811497,0
0,cx_bpu,12,0.39202476566350913,0.3937193974852562,0.3937193974852562,0
0,cx_bpu,13,0.3907116926923583,0.39252274855971336,0.39252274855971336,0
0,cx_bpu,14,0.3895147178746477,0.3918010275810957,0.3918010275810957,0
0,cx_bpu,15,0.3886985578868963,0.39152354560792446,0.39152354560792446,0
0,cx_bpu,16,0.3877233798745312,0.38996967300772667,0.38996967300772667,0
0,cx_bpu,17,0.3871527167060707,0.38910171762108803,0.38910171762108803,0
0,cx_bpu,18,0.38671457163895234,0.3885116931051016,0.3885116931051016,0
0,cx_bpu,19,0.38613924723637255,0.3883560709655285,0.3883560709655285,0
0,cx_bpu,20,0.38484212001667745,0.3872360344976187,0.3872360344976187,0
0,random,1,0.5450302320945112,0.5061818845570087,0.5061818845570087,0
0,random,2,0.49763193387019483,0.5008541028946638,0.5008541028946638,0
0,random,3,0.4935242326199254,0.497180936858058,0.497180936858058,0
0,random,4,0.4901774220074279,0.4935278072953224,0.4935278072953224,0
0,random,5,0.48664894360530225,0.49014090560376644,0.49014090560376644,0
0,random,6,0.48260740879215774,0.4849607180804014,0.4849607180804014,0
0,random,7,0.47782779494418376,0.4807374719530344,0.4807374719530344,0
0,random,8,0.4725182931634444,0.47528346441686153,0.47528346441686153,0
0,random,9,0.4671623103226287,0.4686805848032236,0.4686805848032236,0
0,random,10,0.4619472969936419,0.4649247024208307,0.4649247024208307,0
0,random,11,0.45624084261399284,0.4593655001372099,0.4593655001372099,0
0,random,12,0.45282734798479685,0.4539387710392475,0.4539387710392475,0
0,random,13,0.44760278546357457,0.450938506051898,0.450938506051898,0
0,random,14,0.442995277763922,0.4451009966433048,0.4451009966433048,0
0,random,15,0.4383949045139023,0.43928512558341026,0.43928512558341026,0
0,random,16,0.43318956524510926,0.432893019169569,0.432893019169569,0
0,random,17,0.42633777253235444,0.42616081610322,0.42616081610322,0
0,random,18,0.42035216923001445,0.41816701367497444,0.41816701367497444,0
0,random,19,0.4120051302487337,0.4104091599583626,0.4104091599583626,0
0,random,20,0.40464199042018456,0.4023533817380667,0.4023533817380667,0
