condition,task_family,substrate,matched_region_task,seed,model,task,split,T,noise_std,epochs_ran,final_train_loss,best_val_loss,trainable_parameter_count,frozen_edge_count,recurrent_parameter_count,trainable_recurrent_parameter_count,recurrent_train_mode,K,latency_ms_per_sequence,mse,heading_angular_error,position_rmse,final_home_vector_cosine,final_displacement_error,bump_mse,heading_bump_angular_error,home_bearing_angular_error,home_distance_rmse,final_home_bearing_angular_error,final_home_distance_error,drift_slope_vs_T
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test,50,0.0,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.0623857146129012,0.4481632113456726,1.9996416568756104,0.9478820562362672,3.388402938842773,0.0409115962684154,0.4481632113456726,0.0948453098535537,1.9996416568756104,0.1903537660837173,3.388402938842773,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test,100,0.0,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.1551267700269818,0.8026509881019592,6.5649518966674805,0.8341571092605591,10.570716857910156,0.0637256652116775,0.8026509881019592,0.1928750723600387,6.5649518966674805,0.4051217138767242,10.570716857910156,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test,200,0.0,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.4234709180891514,1.1306935548782349,15.339677810668944,0.6009255647659302,21.254785537719727,0.0816165581345558,1.1306935548782349,0.3919407427310943,15.339677810668944,0.7741283178329468,21.254785537719727,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test_noise,200,0.0,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.4145066421478987,1.1308099031448364,15.02301025390625,0.6408451795578003,21.079071044921875,0.0818630829453468,1.1308099031448364,0.3874643743038177,15.02301025390625,0.7156920433044434,21.079071044921875,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test_noise,200,0.05,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.4520593229681253,1.1573306322097778,15.186304092407228,0.5964007377624512,21.35671806335449,0.0831095427274704,1.1573306322097778,0.4715898036956787,15.186304092407228,0.7851366996765137,21.35671806335449,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test_noise,200,0.1,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.5563338547945023,1.2262283563613892,15.759419441223145,0.5091738104820251,21.59372329711914,0.0866336748003959,1.2262283563613892,0.6323674321174622,15.759419441223145,0.9183578491210938,21.59372329711914,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_polar_bump,test_noise,200,0.2,20,0.0736505511818052,0.0641745899338275,534873,0,511930,511930,observed,3,0.3372756312501224,0.7846972867846489,1.3329293727874756,17.010343551635742,0.2962778210639953,22.555578231811523,0.0920091420412063,1.3329293727874756,0.920129895210266,17.010343551635742,1.193359136581421,22.555578231811523,0.1173565701075962
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test,50,0.0,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.0842025107704103,0.5201675295829773,2.1786041259765625,0.8920662999153137,2.620367765426636,0.0483802631497383,0.5201675295829773,0.1346601694822311,2.1786041259765625,0.3035792708396911,2.620367765426636,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test,100,0.0,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.2011037738993764,0.9104436635971068,6.170673847198486,0.7087369561195374,9.894859313964844,0.0682862699031829,0.9104436635971068,0.3026164174079895,6.170673847198486,0.617106556892395,9.894859313964844,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test,200,0.0,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.4954463336616754,1.2167068719863892,14.91150951385498,0.4717816412448883,20.405941009521484,0.0820761322975158,1.2167068719863892,0.5536565184593201,14.91150951385498,0.9572961330413818,20.405941009521484,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test_noise,200,0.0,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.4870272446423769,1.2258027791976929,14.60414695739746,0.5008565187454224,20.39191627502441,0.0824648812413215,1.2258027791976929,0.5510501861572266,14.60414695739746,0.916580080986023,20.39191627502441,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test_noise,200,0.05,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.5103010144084692,1.2388612031936646,14.74598503112793,0.4807985723018646,20.575233459472656,0.0829153582453727,1.2388612031936646,0.5954852104187012,14.74598503112793,0.9466150999069214,20.575233459472656,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test_noise,200,0.1,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.5780434608459473,1.270946383476257,15.220906257629396,0.443606972694397,20.850191116333008,0.0841824412345886,1.270946383476257,0.6969267129898071,15.220906257629396,1.0007110834121704,20.850191116333008,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_polar_bump,test_noise,200,0.2,13,0.0941919601416286,0.0853854003362357,534873,0,511930,511930,observed,3,0.336518371875627,0.7534530945122242,1.337882161140442,16.350236892700195,0.3022550940513611,21.74321746826172,0.0867722332477569,1.337882161140442,0.9167336225509644,16.350236892700195,1.182681679725647,21.74321746826172,0.1166476781027657
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test,50,0.0,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.0756583558395505,0.4805896878242492,2.972749948501587,0.9370738863945008,4.295931816101074,0.0451969727873802,0.4805896878242492,0.119203545153141,2.972749948501587,0.2215355038642883,4.295931816101074,0.1177274022783552
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test,100,0.0,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.2013322617858648,0.862559974193573,8.292799949645996,0.7694371938705444,12.176681518554688,0.0680980682373046,0.862559974193573,0.2496469318866729,8.292799949645996,0.525450587272644,12.176681518554688,0.1177274022783552
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test,200,0.0,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.5175366550683975,1.188263773918152,16.868465423583984,0.5074820518493652,22.353918075561523,0.0855518579483032,1.188263773918152,0.4914974272251129,16.868465423583984,0.910672962665558,22.353918075561523,0.1177274022783552
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test_noise,200,0.0,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.5081853456795216,1.1952670812606812,16.554346084594727,0.5463666319847107,22.268035888671875,0.0857669711112976,1.1952670812606812,0.4873512089252472,16.554346084594727,0.8538979291915894,22.268035888671875,0.1177274022783552
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test_noise,200,0.05,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.5329225193709135,1.2066876888275146,16.630638122558594,0.5183907747268677,22.33920288085937,0.0862130597233772,1.2066876888275146,0.5404078960418701,16.630638122558594,0.8965536952018738,22.33920288085937,0.1177274022783552
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test_noise,200,0.1,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.5998137295246124,1.2407474517822266,16.868240356445312,0.4772057235240936,22.376813888549805,0.0878552570939064,1.2407474517822266,0.6529039144515991,16.868240356445312,0.9579474925994872,22.376813888549805,0.1177274022783552
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_polar_bump,test_noise,200,0.2,15,0.0907166846379449,0.0766964084468782,534873,0,511930,511930,observed,3,0.3364268093719147,0.7799053862690926,1.323782205581665,17.57061004638672,0.3154522478580475,23.07519149780273,0.0914363116025924,1.323782205581665,0.8968059420585632,17.57061004638672,1.166422963142395,23.07519149780273,0.1177274022783552
