model,acc_final,acc_final_se,bwt,bwt_se,forgetting,forgetting_se,learning_acc,rep_drift,w_rec_drift,trainable_params
connectome_trainable,0.6251666666666668,0.021767738615769097,-0.23362499999999997,0.025688437736330585,0.23362499999999997,0.025688437736330585,0.8120666666666666,5.076454363418151,9.022314389546713,2339799
connectome_frozen,0.6122,0.015888465417822267,-0.24050000000000002,0.021071678267285704,0.24050000000000002,0.021071678267285704,0.8046000000000001,2.0003474202979135,0.0,1932468
connectome_pruned_frozen,0.6124999999999999,0.013519245541079583,-0.24145833333333333,0.01992594797689129,0.24145833333333333,0.01992594797689129,0.8056666666666666,1.8879901631809959,0.0,1929780
weight_shuffle_frozen,0.6145999999999999,0.017057061098950593,-0.24195833333333336,0.02107740364571604,0.24195833333333336,0.02107740364571604,0.8081666666666667,1.2676343093720515,0.0,1932468
random_sparse_frozen,0.6166,0.014538225476309017,-0.24233333333333337,0.018122030408072698,0.24233333333333337,0.018122030408072698,0.8104666666666667,1.0964156066091628,0.0,1932468
connectome_pruned_trainable,0.6159333333333333,0.020620162732410945,-0.24358333333333335,0.025948098570886542,0.24358333333333335,0.025948098570886542,0.8108,5.033829940640586,6.882832368214925,2089514
dense_trainable,0.6169333333333333,0.01698355413660851,-0.25375000000000003,0.020813282017340104,0.25375000000000003,0.020813282017340104,0.8199333333333333,3.9249892075856523,5.553368250528972,26932468
mlp,0.6,0.024918266392347614,-0.2700833333333333,0.03362262486448342,0.2700833333333333,0.03362262486448342,0.8160666666666666,61.08495254516601,0.0,1931102
