model,variant,recurrent_trainable,acc_final,acc_final_se,forgetting,forgetting_se,bwt,learning_acc,w_rec_drift,trainable_params
connectome_frozen,connectome,0,0.8186666666666667,0.009809745721022035,0.22433333333333336,0.012223895087536999,-0.22433333333333336,0.9981333333333332,0.0,115258
weight_shuffle_frozen,weight_shuffle,0,0.79,0.0030746273486933887,0.25766666666666665,0.004113831682399189,-0.25766666666666665,0.9961333333333333,0.0,115258
random_frozen,random,0,0.7883999999999999,0.004649014232429604,0.2598333333333333,0.005827973728301953,-0.2598333333333333,0.9962666666666666,0.0,115258
random_trainable,random,1,0.6782666666666667,0.010927844150507295,0.39833333333333326,0.01324003818389928,-0.39833333333333326,0.9969333333333333,16.996374130249023,500226
weight_shuffle_trainable,weight_shuffle,1,0.6552666666666667,0.007609058928525775,0.4270833333333333,0.00898764584180848,-0.4270833333333333,0.9969333333333333,12.979666392008463,500226
connectome_trainable,connectome,1,0.6527999999999999,0.020302052441399446,0.4305833333333333,0.025678027788580474,-0.4305833333333333,0.9972666666666666,13.517169634501139,500226
