,update,total_updates,T,FPS,window,mean,median,min,max
69,71,390,9216,0,43,-85.86066055813954,-83.723029,-159.913368,-40.882606
70,72,390,9344,0,44,-85.96164711363636,-83.8177585,-159.913368,-40.882606
71,73,390,9472,0,44,-85.96164711363636,-83.8177585,-159.913368,-40.882606
72,74,390,9600,0,44,-85.96164711363636,-83.8177585,-159.913368,-40.882606
73,75,390,9728,0,45,-86.1268662,-83.912488,-159.913368,-40.882606
74,76,390,9856,0,46,-86.08903752173913,-84.1496175,-159.913368,-40.882606
75,77,390,9984,0,48,-84.90050318750001,-83.8177585,-159.913368,-40.882606
76,78,390,10112,0,49,-84.62476530612246,-83.723029,-159.913368,-40.882606
77,79,390,10240,0,49,-84.62476530612246,-83.723029,-159.913368,-40.882606
78,80,390,10368,0,50,-84.69814154000001,-83.8177585,-159.913368,-40.882606
79,81,390,10496,0,50,-85.15623538000001,-83.8177585,-159.913368,-40.882606
80,82,390,10624,0,50,-83.67313938000001,-82.912248,-159.913368,-38.330286
81,83,390,10752,0,50,-83.67313938000001,-82.912248,-159.913368,-38.330286
82,84,390,10880,0,50,-85.23094745999998,-83.0069775,-161.613433,-38.330286
83,85,390,11008,0,50,-85.23094745999998,-83.0069775,-161.613433,-38.330286
84,86,390,11136,0,50,-85.73255003999999,-83.0069775,-161.613433,-38.330286
85,87,390,11264,0,50,-85.73255003999999,-83.0069775,-161.613433,-38.330286
86,88,390,11392,0,50,-85.10447512,-83.0069775,-161.613433,-38.330286
87,89,390,11520,0,50,-84.90445782,-83.0069775,-161.613433,-38.330286
88,90,390,11648,0,50,-85.49907072,-83.0069775,-161.613433,-38.330286
89,91,390,11776,0,50,-85.49907072,-83.0069775,-161.613433,-38.330286
90,92,390,11904,0,50,-84.94912326000002,-83.0069775,-161.613433,-38.330286
91,93,390,12032,0,50,-84.54321788000001,-81.817325,-161.613433,-38.330286
92,94,390,12160,0,50,-84.54321788000001,-81.817325,-161.613433,-38.330286
93,95,390,12288,0,50,-84.39528124,-81.817325,-161.613433,-38.330286
94,96,390,12416,0,50,-83.38048613999999,-81.817325,-161.613433,-38.330286
95,97,390,12544,0,50,-83.38048613999999,-81.817325,-161.613433,-38.330286
96,98,390,12672,0,50,-83.38048613999999,-81.817325,-161.613433,-38.330286
97,99,390,12800,0,50,-83.39704394,-81.817325,-161.613433,-38.330286
98,100,390,12928,0,50,-82.76660076,-80.4378625,-161.613433,-38.330286
99,101,390,13056,0,50,-83.02594538,-80.4378625,-161.613433,-38.330286
100,102,390,13184,0,50,-83.02594538,-80.4378625,-161.613433,-38.330286
101,103,390,13312,0,50,-83.57076076,-81.817325,-161.613433,-38.330286
102,104,390,13440,0,50,-83.57076076,-81.817325,-161.613433,-38.330286
103,105,390,13568,0,50,-83.86908143999999,-81.817325,-161.613433,-38.330286
104,106,390,13696,0,50,-83.86908143999999,-81.817325,-161.613433,-38.330286
105,107,390,13824,0,50,-83.13209142,-81.817325,-161.613433,-38.330286
106,108,390,13952,0,50,-82.30681,-80.4378625,-161.613433,-38.330286
107,109,390,14080,0,50,-82.30681,-80.4378625,-161.613433,-38.330286
108,110,390,14208,0,50,-82.78319594,-80.7220045,-161.613433,-38.330286
109,111,390,14336,0,50,-82.78319594,-80.7220045,-161.613433,-38.330286
110,112,390,14464,0,50,-82.78319594,-80.7220045,-161.613433,-38.330286
111,113,390,14592,0,50,-81.5282246,-79.0956245,-161.613433,-38.330286
112,114,390,14720,0,50,-81.5282246,-79.0956245,-161.613433,-38.330286
113,115,390,14848,0,50,-81.10829548000001,-79.0956245,-161.613433,-38.330286
114,116,390,14976,0,50,-80.25028088,-78.7811315,-161.613433,-38.330286
115,117,390,15104,0,50,-80.25028088,-78.7811315,-161.613433,-38.330286
116,118,390,15232,0,50,-80.25028088,-78.7811315,-161.613433,-38.330286
117,119,390,15360,0,50,-80.3603799,-78.7811315,-161.613433,-38.330286
118,120,390,15488,0,50,-80.3603799,-78.7811315,-161.613433,-38.330286
119,121,390,15616,0,50,-80.96993332,-79.0956245,-161.613433,-38.330286
120,122,390,15744,0,50,-81.33621558,-79.0956245,-161.613433,-38.330286
121,123,390,15872,0,50,-81.33621558,-79.0956245,-161.613433,-38.330286
122,124,390,16000,0,50,-81.93183668000002,-79.0956245,-161.613433,-38.330286
123,125,390,16128,0,50,-82.10764022,-79.0956245,-161.613433,-38.330286
124,126,390,16256,0,50,-82.00759372,-78.7811315,-161.613433,-38.330286
125,127,390,16384,0,50,-80.96977672000001,-77.561451,-161.613433,-38.330286
126,128,390,16512,0,50,-80.74901444,-77.561451,-161.613433,-38.330286
