,update,total_updates,T,FPS,window,mean,median,min,max
348,350,390,44928,0,50,-70.34465458000001,-63.380804499999996,-157.004007,-34.126894
349,351,390,45056,0,50,-70.34465458000001,-63.380804499999996,-157.004007,-34.126894
350,352,390,45184,0,50,-70.44964682000001,-63.380804499999996,-157.004007,-34.126894
351,353,390,45312,0,50,-69.14182403999999,-59.503146,-157.004007,-34.126894
352,354,390,45440,0,50,-67.30630701999999,-56.687072,-157.004007,-34.126894
353,355,390,45568,0,50,-67.30630701999999,-56.687072,-157.004007,-34.126894
354,356,390,45696,0,50,-67.23424698000001,-56.687072,-157.004007,-34.126894
355,357,390,45824,0,50,-67.23424698000001,-56.687072,-157.004007,-34.126894
356,358,390,45952,0,50,-67.23424698000001,-56.687072,-157.004007,-34.126894
357,359,390,46080,0,50,-68.38776062,-59.503146,-157.004007,-34.126894
358,360,390,46208,0,50,-68.38776062,-59.503146,-157.004007,-34.126894
359,361,390,46336,0,50,-68.27334148,-63.380804499999996,-157.004007,-34.126894
360,362,390,46464,0,50,-67.50003382000001,-59.503146,-157.004007,-34.126894
361,363,390,46592,0,50,-67.38510424,-59.503146,-157.004007,-34.126894
362,364,390,46720,0,50,-66.2318024,-55.496604500000004,-157.004007,-34.126894
363,365,390,46848,0,50,-64.6930141,-55.496604500000004,-129.119361,-34.126894
364,366,390,46976,0,50,-63.801620500000006,-55.496604500000004,-129.119361,-34.126894
365,367,390,47104,0,50,-64.11650037999999,-55.496604500000004,-129.119361,-34.126894
366,368,390,47232,0,50,-64.11650037999999,-55.496604500000004,-129.119361,-34.126894
367,369,390,47360,0,50,-64.88967284,-56.687072,-129.119361,-34.126894
368,370,390,47488,0,50,-64.97587612,-56.687072,-129.119361,-34.126894
369,371,390,47616,0,50,-64.97587612,-56.687072,-129.119361,-34.126894
370,372,390,47744,0,50,-66.45309028000001,-60.6178225,-129.119361,-34.126894
371,373,390,47872,0,50,-66.52323352,-60.6178225,-129.119361,-34.126894
372,374,390,48000,0,50,-65.23145077999999,-56.687072,-129.119361,-34.126894
373,375,390,48128,0,50,-62.6429373,-56.687072,-129.119361,81.989124
374,376,390,48256,0,50,-63.121797019999995,-57.047658999999996,-129.119361,81.989124
375,377,390,48384,0,50,-64.7727624,-60.9253175,-139.182249,81.989124
376,378,390,48512,0,50,-64.02245228,-57.047658999999996,-139.182249,81.989124
377,379,390,48640,0,50,-63.056266459999996,-55.549696499999996,-139.182249,81.989124
378,380,390,48768,0,50,-63.056266459999996,-55.549696499999996,-139.182249,81.989124
379,381,390,48896,0,50,-64.95173674,-57.047658999999996,-148.871451,81.989124
380,382,390,49024,0,50,-65.3586558,-60.9253175,-148.871451,81.989124
381,383,390,49152,0,50,-66.18828574,-64.5566195,-148.871451,81.989124
382,384,390,49280,0,50,-65.94135385999999,-64.5566195,-148.871451,81.989124
383,385,390,49408,0,50,-66.36908764,-65.06643249999999,-148.871451,81.989124
384,386,390,49536,0,50,-67.05294572,-66.384991,-148.871451,81.989124
385,387,390,49664,0,50,-67.05294572,-66.384991,-148.871451,81.989124
386,388,390,49792,0,50,-67.09357059999999,-66.384991,-148.871451,81.989124
387,389,390,49920,0,50,-67.09357059999999,-66.384991,-148.871451,81.989124
