model,best_val_loss_mean,best_val_loss_std,test_query_accuracy_mean,test_query_accuracy_std,test_initial_probe_accuracy_mean,test_reversal_probe_accuracy_mean,test_loss_mean,runtime,init_nonzero_edges,trainable_params,recurrent_params,N
hemibrain_dense,0.09830754082649946,,0.9643229166666667,,0.9802734375,0.9483723958333333,0.10109404674731196,dense,1277773,137462711,136656100,11690
random_dense,0.10492714997380972,,0.9616861979166667,,0.977734375,0.9456380208333334,0.10784481056034564,dense,1277773,137462711,136656100,11690
