model,seed,runtime,N,init_nonzero_edges,recurrent_params,trainable_params,timesteps,best_val_loss,test_loss,test_query_accuracy,test_initial_probe_accuracy,test_reversal_probe_accuracy
hemibrain_dense,0,dense,11690,1277773,136656100,137462711,21,0.09830754082649946,0.10109404674731196,0.9643229166666667,0.9802734375,0.9483723958333333
random_dense,0,dense,11690,1277773,136656100,137462711,21,0.10492714997380972,0.10784481056034564,0.9616861979166667,0.977734375,0.9456380208333334
