model,seed,common_epochs,common_mean,common_auc,final_common_val,epoch1,epoch3,epoch5,epoch10
conv_protonet,0,14,0.978848353794643,12.72845703125,0.968095703125,0.982744140625,0.984775390625,0.98234375,0.976513671875
conv_protonet,1,14,0.9748221261160716,12.676855468749999,0.962841796875,0.978466796875,0.98232421875,0.9811328125,0.97271484375
conv_protonet,2,14,0.9779499162946429,12.7160498046875,0.969853515625,0.98064453125,0.983720703125,0.982001953125,0.9765625
conv_protonet,3,14,0.9764376395089288,12.696796875,0.965869140625,0.980791015625,0.9835546875,0.98087890625,0.974072265625
conv_protonet,4,14,0.9742717633928571,12.671704101562499,0.957353515625,0.97884765625,0.983759765625,0.98115234375,0.971796875
hemibrain_conv_fast_memory,0,14,0.9801541573660714,12.7428369140625,0.977626953125,0.981015625,0.98244140625,0.981767578125,0.97828125
hemibrain_conv_fast_memory,1,14,0.9849323381696429,12.805043945312502,0.986728515625,0.9812890625,0.98376953125,0.985732421875,0.985400390625
hemibrain_conv_fast_memory,2,14,0.9851548549107142,12.808496093749998,0.985400390625,0.981943359375,0.985478515625,0.98583984375,0.986083984375
hemibrain_conv_fast_memory,3,14,0.9855831473214286,12.8147705078125,0.9859375,0.980849609375,0.98615234375,0.98595703125,0.98587890625
hemibrain_conv_fast_memory,4,14,0.9792536272321429,12.7307373046875,0.97724609375,0.980380859375,0.982861328125,0.98142578125,0.9762109375
random_sparse_conv_fast_memory,0,14,0.9815304129464286,12.761767578125001,0.9772265625,0.98208984375,0.98396484375,0.984404296875,0.97802734375
random_sparse_conv_fast_memory,1,14,0.9808014787946429,12.7508642578125,0.97998046875,0.980732421875,0.98279296875,0.983701171875,0.97923828125
random_sparse_conv_fast_memory,2,14,0.9816510881696429,12.764374999999998,0.97759765625,0.9798828125,0.985244140625,0.984697265625,0.980986328125
random_sparse_conv_fast_memory,3,14,0.9822726004464285,12.771215820312502,0.98044921875,0.980751953125,0.984921875,0.986376953125,0.97966796875
random_sparse_conv_fast_memory,4,14,0.9810037667410713,12.754628906249998,0.97953125,0.97931640625,0.983720703125,0.98416015625,0.97966796875
weight_shuffle_conv_fast_memory,0,14,0.9796616908482144,12.737099609375,0.9756640625,0.9806640625,0.980654296875,0.98009765625,0.977314453125
weight_shuffle_conv_fast_memory,1,14,0.9795047433035714,12.735058593749999,0.97556640625,0.98044921875,0.98158203125,0.981083984375,0.978046875
weight_shuffle_conv_fast_memory,2,14,0.9790555245535714,12.729726562500002,0.973935546875,0.980166015625,0.982861328125,0.981005859375,0.977724609375
weight_shuffle_conv_fast_memory,3,14,0.9800292968750001,12.741059570312501,0.97818359375,0.980517578125,0.983212890625,0.980771484375,0.97828125
weight_shuffle_conv_fast_memory,4,14,0.9787723214285716,12.724033203125,0.97880859375,0.97875,0.982451171875,0.979765625,0.97828125
