rank,model,best_val_loss_mean,best_val_loss_std,test_loss_mean,test_loss_std,test_query_accuracy_mean,test_query_accuracy_std,test_initial_query_accuracy_mean,test_initial_query_accuracy_std,test_reversal_query_accuracy_mean,test_reversal_query_accuracy_std,runtime,init_nonzero_edges,trainable_params,recurrent_params,N,timesteps,freeze_recurrent,recurrent_prior_l2,delta_vs_nearest_support,delta_vs_random_sparse_conv_fast_memory,delta_vs_weight_shuffle_conv_fast_memory
1,random_sparse_conv_fast_memory,0.06422471659258004,0.0026225980471195004,0.12925868786871428,0.0038285120489097435,0.964548828125,0.0014889480018426611,0.9656074218749999,0.001662386484501275,0.9634902343749999,0.0015158219356992669,sparse_conv_fast_memory_proto_residual_prior_l2,574660,1602509,574660,14025,50,0,0.001,0.5846708984375,0.0,0.0038457031249999885
2,hemibrain_conv_fast_memory,0.06571382427588099,0.0028676783343051307,0.13555937029421328,0.005905716916145481,0.9625361328125001,0.002750407708896127,0.9637890625000001,0.0026318585849558736,0.961283203125,0.002960181469380742,sparse_conv_fast_memory_proto_residual_prior_l2,574660,1602509,574660,14025,50,0,0.001,0.582658203125,-0.0020126953124999236,0.0018330078125000648
3,weight_shuffle_conv_fast_memory,0.0692274449486285,0.0023495796663050984,0.13894500189460812,0.00298706065345437,0.960703125,0.000756481456804137,0.96202734375,0.0006859821557040416,0.9593789062500001,0.000898294188638024,sparse_conv_fast_memory_proto_residual_prior_l2,574660,1602509,574660,14025,50,0,0.001,0.5808251953125,-0.0038457031249999885,0.0
4,conv_protonet,0.1720828310027718,0.004770098273913343,0.26756352894008156,0.0020614526163992915,0.956146484375,0.0016812176499214882,0.957638671875,0.001363317625768286,0.954654296875,0.002034587758741916,metric_protonet_conv4,0,116096,0,0,50,0,0.001,0.5762685546875,-0.00840234374999993,-0.004556640624999941
5,nearest_support,88.7174220275879,0.6210102982562279,88.52696688652038,0.2655158703732767,0.3798779296875,0.0003603204646557716,0.4370234375,0.0007574940435093433,0.32273242187499995,0.0011289628486568764,none,0,0,0,0,50,0,0.001,0.0,-0.5846708984375,-0.5808251953125
