arm,rho,microsteps,out_tstd
control,0.5,1,0.00048627189244143665
control,0.5,3,0.0004097765195183456
control,0.7,1,0.0008070716285146773
control,0.7,3,0.0006564402137883008
control,0.9,1,0.001544116996228695
control,0.9,3,0.001285279169678688
control,0.95,1,0.001960559282451868
control,0.95,3,0.001933366758748889
control,1.05,1,0.0037306812591850758
control,1.05,3,0.020290831103920937
