model,best_val_loss_mean,best_val_loss_std,test_overall_rmse_mean,test_overall_rmse_std,test_yaw_rmse_mean,test_translation_rmse_mean,test_yaw_r2_mean,trainable_params,recurrent_params,N
optic_lobe_seeded,0.013752905869235594,,0.1177678033709526,,0.08067966252565384,0.13247352838516235,0.6848268508911133,15050231,8757188,96816
random_sparse,0.020868467229108015,,0.14545230567455292,,0.11142215877771378,0.1597718894481659,0.3988758325576782,15050231,8757188,96816
shuffled_topology,0.020609229616820813,,0.14561685919761658,,0.10796260833740234,0.16117824614048004,0.43562495708465576,15050231,8757188,96816
