model,seed,epoch,train_loss,val_loss,val_overall_rmse,val_yaw_rmse,val_translation_rmse,val_yaw_r2,best_val_loss,patience_wait,train_data_gen_seconds,train_step_seconds
optic_lobe_seeded,0,1,3.4766735669225453,0.03861340805888176,0.1965029388666153,0.1464083343744278,0.21726131439208984,-0.05327498912811279,0.03861340805888176,0,44.09225936856819,114.79352859919891
optic_lobe_seeded,0,2,0.034918387859527555,0.032695016264915465,0.1808176338672638,0.14525113999843597,0.19619782269001007,-0.004789471626281738,0.032695016264915465,0,44.14492187072756,113.6998021559557
optic_lobe_seeded,0,3,0.032567908854356835,0.029845998746653397,0.17275993525981903,0.13962723314762115,0.18713925778865814,0.07504767179489136,0.029845998746653397,0,43.93095017113956,113.68033209536225
optic_lobe_seeded,0,4,0.029851701323475158,0.026871070762475333,0.163923978805542,0.13030007481575012,0.17837479710578918,0.19691967964172363,0.026871070762475333,0,44.107495579111855,113.62615214107791
optic_lobe_seeded,0,5,0.02686645600146481,0.02709907672057549,0.16461797058582306,0.1387917697429657,0.176116481423378,0.07891100645065308,0.026871070762475333,1,44.00587553327205,113.653140226088
optic_lobe_seeded,0,6,0.025258039975804943,0.022044228514035542,0.14847297966480255,0.1106257513165474,0.16415639221668243,0.40216881036758423,0.022044228514035542,0,44.062731483078096,113.6718036592356
optic_lobe_seeded,0,7,0.02320723912811705,0.022304847401877246,0.14934808015823364,0.11087992787361145,0.16525761783123016,0.41030508279800415,0.022044228514035542,1,44.75458063883707,113.66038745915284
optic_lobe_seeded,0,8,0.021726469748786517,0.02244081050157547,0.149802565574646,0.108011893928051,0.16681697964668274,0.4281327724456787,0.022044228514035542,2,44.05867452832172,113.62500328355236
optic_lobe_seeded,0,9,0.021196056210568973,0.01993097228308519,0.14117708802223206,0.10337616503238678,0.15669435262680054,0.4891388416290283,0.01993097228308519,0,44.01096710009733,113.65726282080868
optic_lobe_seeded,0,10,0.02101643903713141,0.020634072087705135,0.14364564418792725,0.10570138692855835,0.1592629998922348,0.4672759771347046,0.01993097228308519,1,44.0179377606255,113.58443127659848
optic_lobe_seeded,0,11,0.02007419117061155,0.019773311354219912,0.14061760902404785,0.09861922264099121,0.15747082233428955,0.5493010878562927,0.019773311354219912,0,44.23621038394049,113.63664329313906
optic_lobe_seeded,0,12,0.019147280803216354,0.01839913142224153,0.1356433928012848,0.09928327053785324,0.15056583285331726,0.5130333304405212,0.01839913142224153,0,45.04128084331751,113.66434957832098
optic_lobe_seeded,0,13,0.018949709253917847,0.01829973372320334,0.13527649641036987,0.1013614684343338,0.14937376976013184,0.5158884525299072,0.01829973372320334,0,44.70472644671099,113.6152644882095
optic_lobe_seeded,0,14,0.018265103828161953,0.017418678229053814,0.131979838013649,0.0967041626572609,0.14646553993225098,0.5465761423110962,0.017418678229053814,0,44.00946055300301,113.63124125695322
optic_lobe_seeded,0,15,0.01758840319567493,0.016441834811121225,0.12822571396827698,0.09166683256626129,0.14304308593273163,0.5910073518753052,0.016441834811121225,0,44.26451882492984,113.62303279695334
optic_lobe_seeded,0,16,0.0171729148032942,0.01670848550274968,0.129261314868927,0.09708596765995026,0.1426529884338379,0.5430344343185425,0.016441834811121225,1,44.95543103595264,113.66675004916033
optic_lobe_seeded,0,17,0.01689714675636164,0.0190212261552612,0.13791745901107788,0.09000982344150543,0.15646390616893768,0.6034469604492188,0.016441834811121225,2,44.20903473556973,113.61633801221615
optic_lobe_seeded,0,18,0.016640357886041915,0.01537156884248058,0.12398213148117065,0.08703765273094177,0.13881486654281616,0.6221458911895752,0.01537156884248058,0,45.08838101528818,113.65256069711177
optic_lobe_seeded,0,19,0.01613456501093294,0.016640474336842695,0.12899795174598694,0.08589769154787064,0.14584754407405853,0.6398274302482605,0.01537156884248058,1,44.10816993098706,113.63730851694709
optic_lobe_seeded,0,20,0.01598200969664114,0.016599491517990828,0.12883901596069336,0.08902017027139664,0.1446959674358368,0.6262589693069458,0.01537156884248058,2,44.33657803630922,113.62483772652922
optic_lobe_seeded,0,21,0.015690194156819156,0.015421237951765457,0.12418227642774582,0.09173701703548431,0.13756456971168518,0.5886658430099487,0.01537156884248058,3,44.71923222683836,113.5449916299549
optic_lobe_seeded,0,22,0.015463072866467493,0.014624015428125858,0.1209297925233841,0.08468130975961685,0.13546419143676758,0.6540845036506653,0.014624015428125858,0,44.674858526384924,113.65101253869943
optic_lobe_seeded,0,23,0.015207359208060163,0.01578653554121653,0.1256444752216339,0.09180890023708344,0.13951829075813293,0.6088442802429199,0.014624015428125858,1,44.87825014611008,113.57598519336898
optic_lobe_seeded,0,24,0.015244654107040593,0.014794773794710636,0.12163376808166504,0.0829528421163559,0.13693638145923615,0.6647707223892212,0.014624015428125858,2,43.867646548955236,113.6474715420627
optic_lobe_seeded,0,25,0.015085313861657465,0.014918443157027166,0.12214107811450958,0.08460826426744461,0.13710716366767883,0.6570776700973511,0.014624015428125858,3,43.80856771825347,113.62507760536391
optic_lobe_seeded,0,26,0.014911847920822245,0.015071963146328925,0.12276792526245117,0.08346671611070633,0.13829167187213898,0.6602879166603088,0.014624015428125858,4,44.82995427126298,113.58512736205012
optic_lobe_seeded,0,27,0.014405438769608736,0.014005536989619335,0.1183449849486351,0.08704133331775665,0.13122574985027313,0.6222274303436279,0.014005536989619335,0,43.95917112502502,113.59169300401118
optic_lobe_seeded,0,28,0.014595846292961921,0.014560526857773462,0.12066701054573059,0.08187723159790039,0.13597369194030762,0.6759836673736572,0.014005536989619335,1,43.94727766135475,113.54490578779951
optic_lobe_seeded,0,29,0.014340800811935749,0.013752905869235594,0.11727278679609299,0.07935340702533722,0.1322152018547058,0.6854825615882874,0.013752905869235594,0,44.02939536690246,113.56849687109934
optic_lobe_seeded,0,30,0.013994487268584115,0.014183937820295494,0.11909633874893188,0.08048783987760544,0.13430097699165344,0.6929243803024292,0.013752905869235594,1,44.03945765621029,113.59126196696889
shuffled_topology,0,1,3.20286547757153,0.03657841458916664,0.19125483930110931,0.14697177708148956,0.2099219113588333,-0.061397433280944824,0.03657841458916664,0,44.96711433294695,113.79246473411331
