model,seed,epoch,train_loss,val_loss,val_query_accuracy,val_initial_probe_accuracy,val_reversal_probe_accuracy,best_val_loss,patience_wait
hemibrain_seeded,0,1,0.6731762976646424,0.6532400095462799,0.6134505208333333,0.6121875,0.6147135416666667,0.6532400095462799,0
hemibrain_seeded,0,2,0.6527022891044617,0.6510740792751313,0.6144140625,0.613515625,0.6153125,0.6510740792751313,0
hemibrain_seeded,0,3,0.6511806850433349,0.6504801893234253,0.6145182291666667,0.6160677083333334,0.61296875,0.6504801893234253,0
hemibrain_seeded,0,4,0.6513259625434875,0.6501595973968506,0.614140625,0.6130729166666666,0.6152083333333334,0.6501595973968506,0
hemibrain_seeded,0,5,0.6508064060211182,0.651517219543457,0.6128125,0.6133072916666666,0.6123177083333333,0.6501595973968506,1
hemibrain_seeded,0,6,0.6509462232589722,0.6521024906635284,0.6140625,0.615078125,0.613046875,0.6501595973968506,2
hemibrain_seeded,0,7,0.6501174688339233,0.6504095256328583,0.6146744791666666,0.614453125,0.6148958333333333,0.6501595973968506,3
hemibrain_seeded,0,8,0.6506127200126648,0.6506598389148712,0.6145182291666667,0.6139322916666666,0.6151041666666667,0.6501595973968506,4
hemibrain_seeded,0,9,0.650778448343277,0.6501128673553467,0.6149088541666666,0.6147395833333333,0.615078125,0.6501128673553467,0
hemibrain_seeded,0,10,0.6507526228427887,0.6502789068222046,0.6135546875,0.6128385416666666,0.6142708333333333,0.6501128673553467,1
hemibrain_seeded,0,11,0.6501089766025543,0.6499287581443787,0.6142447916666667,0.6146875,0.6138020833333333,0.6499287581443787,0
hemibrain_seeded,0,12,0.6507303042411804,0.6509310781955719,0.6139192708333333,0.6145052083333333,0.6133333333333333,0.6499287581443787,1
hemibrain_seeded,0,13,0.6494387149810791,0.643266441822052,0.6261328125,0.6272395833333333,0.6250260416666666,0.643266441822052,0
hemibrain_seeded,0,14,0.6403528759479523,0.6341065645217896,0.6338541666666667,0.635859375,0.6318489583333333,0.6341065645217896,0
hemibrain_seeded,0,15,0.6327805609703064,0.6298505258560181,0.63640625,0.63890625,0.63390625,0.6298505258560181,0
hemibrain_seeded,0,16,0.6302941377162934,0.6272187077999115,0.6365234375,0.6389583333333333,0.6340885416666666,0.6272187077999115,0
hemibrain_seeded,0,17,0.6259321320056915,0.6229077839851379,0.6393098958333333,0.6421614583333334,0.6364583333333333,0.6229077839851379,0
hemibrain_seeded,0,18,0.6223625094890595,0.6203344988822938,0.6409765625,0.6450260416666667,0.6369270833333334,0.6203344988822938,0
hemibrain_seeded,0,19,0.618085768699646,0.6170424544811248,0.64375,0.6476041666666666,0.6398958333333333,0.6170424544811248,0
hemibrain_seeded,0,20,0.6136675639152527,0.6075050508975983,0.6527994791666667,0.6578645833333333,0.647734375,0.6075050508975983,0
hemibrain_seeded,0,21,0.6036185011863708,0.5994656622409821,0.6602604166666667,0.6651822916666666,0.6553385416666667,0.5994656622409821,0
hemibrain_seeded,0,22,0.5975373396873475,0.5915048003196717,0.6661458333333333,0.672109375,0.6601822916666666,0.5915048003196717,0
hemibrain_seeded,0,23,0.5899538187980652,0.5845771491527557,0.6710026041666667,0.676640625,0.6653645833333334,0.5845771491527557,0
hemibrain_seeded,0,24,0.5824181830883026,0.5777066731452942,0.6763411458333334,0.6828645833333333,0.6698177083333333,0.5777066731452942,0
hemibrain_seeded,0,25,0.5768033127784729,0.5754357516765595,0.6798828125,0.6897395833333333,0.6700260416666667,0.5754357516765595,0
hemibrain_seeded,0,26,0.5705611226558686,0.5636726081371307,0.6870442708333333,0.695234375,0.6788541666666666,0.5636726081371307,0
hemibrain_seeded,0,27,0.562123281955719,0.5543237018585205,0.6979947916666667,0.7061458333333334,0.68984375,0.5543237018585205,0
hemibrain_seeded,0,28,0.551826443195343,0.5467375361919403,0.7010546875,0.7109895833333333,0.6911197916666667,0.5467375361919403,0
hemibrain_seeded,0,29,0.5456190543174744,0.5398033165931702,0.7079947916666667,0.7191145833333333,0.696875,0.5398033165931702,0
hemibrain_seeded,0,30,0.5384974918365478,0.5338193011283875,0.7129947916666667,0.7236458333333333,0.70234375,0.5338193011283875,0
hemibrain_seeded,0,31,0.5341390745639801,0.5285316491127015,0.7158723958333333,0.7283854166666667,0.703359375,0.5285316491127015,0
hemibrain_seeded,0,32,0.5292029447555542,0.5241608905792237,0.7201302083333333,0.732734375,0.7075260416666667,0.5241608905792237,0
hemibrain_seeded,0,33,0.5235730431079865,0.5196048927307129,0.722421875,0.7388020833333333,0.7060416666666667,0.5196048927307129,0
hemibrain_seeded,0,34,0.518482700586319,0.5122187292575836,0.7277213541666666,0.7425,0.7129427083333333,0.5122187292575836,0
hemibrain_seeded,0,35,0.5149560482501984,0.509045552611351,0.7294401041666667,0.7428125,0.7160677083333333,0.509045552611351,0
hemibrain_seeded,0,36,0.5087235389947892,0.5083164298534393,0.7301041666666667,0.7451302083333333,0.715078125,0.5083164298534393,0
hemibrain_seeded,0,37,0.5038497729301452,0.496474506855011,0.738046875,0.755546875,0.720546875,0.496474506855011,0
hemibrain_seeded,0,38,0.49599543249607086,0.4906512784957886,0.74203125,0.7601302083333333,0.7239322916666666,0.4906512784957886,0
hemibrain_seeded,0,39,0.48998948800563813,0.4866100776195526,0.7461328125,0.762578125,0.7296875,0.4866100776195526,0
hemibrain_seeded,0,40,0.4843410564661026,0.4755360162258148,0.7525911458333333,0.7705208333333333,0.7346614583333333,0.4755360162258148,0
hemibrain_seeded,0,41,0.4763019038438797,0.4744361561536789,0.7549348958333333,0.774453125,0.7354166666666667,0.4744361561536789,0
hemibrain_seeded,0,42,0.47103201818466184,0.4664540219306946,0.7603645833333333,0.7781510416666667,0.742578125,0.4664540219306946,0
hemibrain_seeded,0,43,0.46396988892555235,0.4597469627857208,0.7635416666666667,0.7828645833333333,0.74421875,0.4597469627857208,0
hemibrain_seeded,0,44,0.45742754662036894,0.4489255881309509,0.7723958333333333,0.7903125,0.7544791666666667,0.4489255881309509,0
hemibrain_seeded,0,45,0.4487118239402771,0.44306361258029936,0.7764322916666667,0.7947135416666666,0.7581510416666667,0.44306361258029936,0
hemibrain_seeded,0,46,0.44124046695232394,0.437548052072525,0.7808333333333334,0.7974739583333333,0.7641927083333333,0.437548052072525,0
hemibrain_seeded,0,47,0.43428238570690153,0.427776660323143,0.7868489583333333,0.8066927083333333,0.7670052083333333,0.427776660323143,0
hemibrain_seeded,0,48,0.42775633549690245,0.4232166177034378,0.7903125,0.811484375,0.769140625,0.4232166177034378,0
hemibrain_seeded,0,49,0.42145213854312896,0.41783519387245177,0.7920963541666667,0.8120052083333333,0.7721875,0.41783519387245177,0
hemibrain_seeded,0,50,0.41593513083457945,0.4121798920631409,0.7965104166666667,0.8171354166666667,0.7758854166666667,0.4121798920631409,0
hemibrain_seeded,0,51,0.4067848099470139,0.39979649245738985,0.8063411458333334,0.8265364583333333,0.7861458333333333,0.39979649245738985,0
hemibrain_seeded,0,52,0.39815179896354674,0.39541793167591094,0.8104166666666667,0.8340625,0.7867708333333333,0.39541793167591094,0
hemibrain_seeded,0,53,0.38844988036155703,0.3851273423433304,0.8158984375,0.8391927083333334,0.7926041666666667,0.3851273423433304,0
hemibrain_seeded,0,54,0.3792085736989975,0.3704616767168045,0.825234375,0.84625,0.80421875,0.3704616767168045,0
hemibrain_seeded,0,55,0.37090235483646394,0.36199227690696717,0.8306901041666667,0.8512760416666667,0.8101041666666666,0.36199227690696717,0
hemibrain_seeded,0,56,0.3592326258420944,0.35197951674461364,0.8368619791666667,0.8553385416666667,0.8183854166666666,0.35197951674461364,0
hemibrain_seeded,0,57,0.35156214439868927,0.34238700807094574,0.8421223958333334,0.8627604166666667,0.821484375,0.34238700807094574,0
hemibrain_seeded,0,58,0.33931718933582306,0.3387234592437744,0.8444401041666667,0.8672395833333333,0.821640625,0.3387234592437744,0
hemibrain_seeded,0,59,0.33241500186920164,0.32481238186359407,0.8518880208333334,0.873359375,0.8304166666666667,0.32481238186359407,0
hemibrain_seeded,0,60,0.32160993361473084,0.32137659311294553,0.8551432291666666,0.875546875,0.8347395833333333,0.32137659311294553,0
hemibrain_seeded,0,61,0.31654957818984986,0.315361345410347,0.8578125,0.879140625,0.836484375,0.315361345410347,0
hemibrain_seeded,0,62,0.3093837571144104,0.3079098522663116,0.8622005208333333,0.8830729166666667,0.841328125,0.3079098522663116,0
hemibrain_seeded,0,63,0.30179343819618226,0.3003531813621521,0.866328125,0.8871875,0.84546875,0.3003531813621521,0
hemibrain_seeded,0,64,0.29567879176139833,0.2960100591182709,0.866484375,0.8887239583333333,0.8442447916666667,0.2960100591182709,0
