model,seed,runtime,N,recurrent_params,trainable_params,timesteps,best_val_loss,test_loss,test_query_accuracy,test_initial_probe_accuracy,test_reversal_probe_accuracy
hemibrain_seeded,0,sparse,11690,1277773,2832544,42,0.21090972244739534,0.21331631422042846,0.9099479166666666,0.92734375,0.8925520833333334
random_sparse,0,sparse,11690,1277773,2832544,42,0.6497864246368408,0.6496033179759979,0.6137630208333333,0.613515625,0.6140104166666667
weight_shuffle,0,sparse,11690,1277773,2832544,42,0.6499198627471924,0.6497355335950852,0.6140625,0.6152994791666667,0.6128255208333333
