family,variant,runtime,fraction,seed,n_train,N,init_nonzero_edges,recurrent_params,trainable_params,best_val_loss,test_loss,test_overall_rmse,test_yaw_rmse,test_forward_rmse,test_lateral_rmse,test_translation_rmse,test_yaw_r2,test_forward_r2,test_lateral_r2
sparse_connectome,connectome,sparse,5,0,200,5000,432873,432873,757876,0.044621627777814865,0.04435964301228523,0.2106172889471054,0.1519164890050888,0.258144736289978,0.20823414623737335,0.23452113568782806,-0.07554161548614502,0.3271494507789612,-0.10288500785827637
sparse_connectome,connectome,sparse,5,2,200,5000,432873,432873,757876,0.05793026089668274,0.057198986411094666,0.2391631007194519,0.23510150611400604,0.26776835322380066,0.21124331653118134,0.2411680817604065,-1.5758955478668213,0.2760467529296875,-0.13499069213867188
sparse_connectome,connectome,sparse,10,1,400,5000,432873,432873,757876,0.0370173379778862,0.03660019487142563,0.191311776638031,0.14885450899600983,0.22342127561569214,0.1942310482263565,0.20933574438095093,-0.03262209892272949,0.4959877133369446,0.040458858013153076
sparse_connectome,connectome,sparse,15,0,600,5000,432873,432873,757876,0.032597027719020844,0.03207696974277496,0.17910043895244598,0.14450977742671967,0.20382854342460632,0.1838524490594864,0.19409769773483276,0.026778221130371094,0.5805095434188843,0.14026391506195068
sparse_connectome,connectome,sparse,15,2,600,5000,432873,432873,757876,0.03031786158680916,0.030249645933508873,0.1739242523908615,0.13792915642261505,0.19946078956127167,0.178716778755188,0.18937323987483978,0.11339634656906128,0.5982950925827026,0.18762415647506714
sparse_connectome,connectome,sparse,20,1,800,5000,432873,432873,757876,0.028979411348700523,0.029223354533314705,0.17094840109348297,0.13695776462554932,0.19212472438812256,0.17888744175434113,0.18562403321266174,0.125840425491333,0.6273007392883301,0.18607193231582642
sparse_connectome,connectome,sparse,30,0,1200,5000,432873,432873,757876,0.025290705263614655,0.02529783733189106,0.15905293822288513,0.12387889623641968,0.17857569456100464,0.16928739845752716,0.17399363219738007,0.28482550382614136,0.6780141592025757,0.2710872292518616
sparse_connectome,connectome,sparse,30,2,1200,5000,432873,432873,757876,0.024910418316721916,0.024835698306560516,0.15759345889091492,0.12160149216651917,0.18023300170898438,0.16503362357616425,0.17280066013336182,0.3108794689178467,0.6720099449157715,0.3072584867477417
sparse_connectome,connectome,sparse,50,1,2000,5000,432873,432873,757876,0.02111651748418808,0.021749800071120262,0.1474781334400177,0.11487787216901779,0.16455507278442383,0.1580318957567215,0.16132646799087524,0.384978711605072,0.7265898585319519,0.3647921681404114
sparse_connectome,connectome,sparse,75,0,3000,5000,432873,432873,757876,0.018032655119895935,0.019022099673748016,0.13792063295841217,0.09770147502422333,0.15628501772880554,0.15197248756885529,0.15414388477802277,0.5551438331604004,0.7533808946609497,0.4125697612762451
