io,arm,variant,seed,fraction,n_train,params,epochs_ran,best_val_loss,wall_s,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,low_latency,low_worst_interferent
generic,dense,standard,1,50,2552,12284990,18,0.3238,39.4,0.95073,0.88147,0.85345,0.67816,0.87611,0.59052,0.53017,0.7658,0.86463,0.91984,0.28165,0.80564,638,464,0.96677,0.80416,0.75575,0.67816,0.94946,0.38578,0.32974,0.71695,0.8416,0.94889,0.14803,0.74713,1566,1392,"{""pre"": 0.0032, ""0-5s"": 0.1667, ""5-10s"": 0.12, ""10-30s"": 0.3333, ""30-60s"": 0.4444, "">60s"": 0.5467}","{""methane"": 0.7126, ""CO"": 0.7989, ""worst"": 0.7126}"
bio,adapter_only,standard,1,100,5104,502,30,0.2386,1.7,0.94662,0.8725,0.7694,0.75287,0.8925,0.56466,0.48276,0.76114,0.82639,0.91725,0.20453,0.76489,638,464,0.96568,0.79922,0.66451,0.75287,0.95558,0.37069,0.25718,0.70869,0.7839,0.94651,0.00234,0.67433,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1667, ""30-60s"": 0.3194, "">60s"": 0.5732}","{""methane"": 0.7313, ""CO"": 0.5977, ""worst"": 0.5977}"
bio,connectome,standard,2,100,5104,263508,18,0.1806,128.4,0.96607,0.91168,0.96983,0.59195,0.86372,0.70905,0.68103,0.78089,0.91371,0.91726,0.5381,0.86677,638,464,0.98302,0.87653,0.90948,0.59195,0.9469,0.66739,0.63721,0.75072,0.92781,0.94915,0.00126,0.8742,1566,1392,"{""pre"": 0.1511, ""0-5s"": 0.6667, ""5-10s"": 0.48, ""10-30s"": 0.6146, ""30-60s"": 0.75, "">60s"": 0.8674}","{""methane"": 0.9555, ""CO"": 0.8635, ""worst"": 0.8635}"
bio,degree,standard,0,5,255,263508,30,0.2956,19.9,0.96937,0.9202,0.94397,0.62644,0.87078,0.71552,0.66379,0.7852,0.90589,0.91282,0.47379,0.85737,638,464,0.9787,0.85381,0.84339,0.62644,0.94754,0.56034,0.52802,0.73491,0.89244,0.95205,0.00386,0.81928,1566,1392,"{""pre"": 0.1318, ""0-5s"": 0.625, ""5-10s"": 0.44, ""10-30s"": 0.5208, ""30-60s"": 0.6597, "">60s"": 0.7172}","{""methane"": 0.8175, ""CO"": 0.8693, ""worst"": 0.8175}"
bio,degree,graded_ln,0,10,510,263508,24,0.2801,24.6,0.97121,0.92749,0.88578,0.75287,0.90529,0.71983,0.65733,0.81932,0.89542,0.92683,0.39057,0.84953,638,464,0.97879,0.85635,0.71193,0.75287,0.95841,0.57615,0.52371,0.7324,0.81698,0.95727,0.01017,0.71648,1566,1392,"{""pre"": 0.1318, ""0-5s"": 0.375, ""5-10s"": 0.32, ""10-30s"": 0.5, ""30-60s"": 0.625, "">60s"": 0.7652}","{""methane"": 0.7069, ""CO"": 0.717, ""worst"": 0.7069}"
bio,random,standard,0,25,1276,263508,14,0.202,29.4,0.96335,0.90745,0.90086,0.70115,0.88936,0.66595,0.64224,0.80101,0.89507,0.91952,0.31204,0.84639,638,464,0.97967,0.86185,0.82184,0.70115,0.95652,0.57759,0.54382,0.76149,0.88408,0.95439,0.00556,0.80843,1566,1392,"{""pre"": 0.1286, ""0-5s"": 0.4167, ""5-10s"": 0.32, ""10-30s"": 0.4688, ""30-60s"": 0.6389, "">60s"": 0.7689}","{""methane"": 0.8506, ""CO"": 0.7931, ""worst"": 0.7931}"
bio,spectrum,standard,0,50,2552,12247627,25,0.6331,50.5,0.82252,0.57331,1.0,0.0,0.72727,0.24784,0.21767,0.5,0.84211,0.8444,0.51374,0.72727,638,464,0.92392,0.56726,1.0,0.0,0.88889,0.16882,0.13578,0.5,0.94118,0.94213,0.51374,0.88889,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0625, ""30-60s"": 0.1667, "">60s"": 0.2588}","{""methane"": 1.0, ""CO"": 1.0, ""worst"": 1.0}"
bio,dense,standard,0,100,5104,12247627,12,0.6488,47.8,0.86372,0.66275,0.39009,0.81034,0.84579,0.31466,0.2931,0.60022,0.53392,0.8444,0.46674,0.5047,638,464,0.9302,0.60591,0.36638,0.81034,0.93923,0.1954,0.17098,0.58836,0.52713,0.94181,0.46673,0.41571,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0833, ""30-60s"": 0.2639, "">60s"": 0.2854}","{""methane"": 0.3362, ""CO"": 0.3966, ""worst"": 0.3362}"
generic,connectome,standard,1,5,255,300871,19,0.2515,12.6,0.93405,0.85088,0.90086,0.61494,0.86186,0.47198,0.41595,0.7579,0.88093,0.90981,0.13434,0.82288,638,464,0.94802,0.74562,0.79526,0.61494,0.94293,0.1954,0.1329,0.7051,0.86282,0.94835,0.00627,0.77522,1566,1392,"{""pre"": 0.0064, ""0-5s"": 0.0417, ""5-10s"": 0.0, ""10-30s"": 0.0938, ""30-60s"": 0.2083, "">60s"": 0.2904}","{""methane"": 0.8664, ""CO"": 0.7241, ""worst"": 0.7241}"
generic,degree,standard,1,10,510,300871,19,0.2361,19.2,0.95099,0.88392,0.88793,0.67816,0.88034,0.56034,0.51509,0.78305,0.88412,0.91984,0.05566,0.83072,638,464,0.97201,0.83341,0.79167,0.67816,0.95164,0.40302,0.35417,0.73491,0.86431,0.96262,0.02668,0.77905,1566,1392,"{""pre"": 0.0225, ""0-5s"": 0.125, ""5-10s"": 0.16, ""10-30s"": 0.2812, ""30-60s"": 0.4653, "">60s"": 0.572}","{""methane"": 0.8305, ""CO"": 0.7529, ""worst"": 0.7529}"
generic,random,standard,1,25,1276,300871,12,0.2148,24.4,0.9526,0.88523,0.81681,0.7069,0.8814,0.5625,0.54957,0.76185,0.84787,0.92354,0.0586,0.78683,638,464,0.96941,0.82018,0.72917,0.7069,0.95216,0.36925,0.34411,0.71803,0.82587,0.96286,0.00844,0.72669,1566,1392,"{""pre"": 0.0161, ""0-5s"": 0.0833, ""5-10s"": 0.12, ""10-30s"": 0.2812, ""30-60s"": 0.3819, "">60s"": 0.5328}","{""methane"": 0.7313, ""CO"": 0.727, ""worst"": 0.727}"
generic,spectrum,standard,1,50,2552,12284990,7,0.5444,14.8,0.9259,0.80054,0.71983,0.75287,0.88594,0.54957,0.52802,0.73635,0.79429,0.84961,0.14395,0.72884,638,464,0.95084,0.68333,0.55747,0.75287,0.9475,0.36207,0.34411,0.65517,0.70194,0.94118,0.04354,0.57918,1566,1392,"{""pre"": 0.074, ""0-5s"": 0.4167, ""5-10s"": 0.24, ""10-30s"": 0.2708, ""30-60s"": 0.3819, "">60s"": 0.4848}","{""methane"": 0.5718, ""CO"": 0.5431, ""worst"": 0.5431}"
generic,dense,standard,1,100,5104,12284990,10,0.3641,38.9,0.93871,0.84229,0.9181,0.5,0.83041,0.57759,0.5431,0.70905,0.87206,0.88048,0.09624,0.80408,638,464,0.96563,0.7793,0.88003,0.5,0.93369,0.43822,0.39871,0.69001,0.90607,0.94336,4e-05,0.8378,1566,1392,"{""pre"": 0.0482, ""0-5s"": 0.25, ""5-10s"": 0.04, ""10-30s"": 0.3229, ""30-60s"": 0.4444, "">60s"": 0.6225}","{""methane"": 0.967, ""CO"": 0.7931, ""worst"": 0.7931}"
bio,adapter_only,standard,2,5,255,502,13,0.5519,0.1,0.87098,0.67317,0.75,0.37356,0.76149,0.38147,0.36207,0.56178,0.7557,0.84538,0.47085,0.64734,638,464,0.94159,0.64162,0.72414,0.37356,0.90242,0.32256,0.29526,0.54885,0.80351,0.94305,0.46912,0.68519,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1354, ""30-60s"": 0.3333, "">60s"": 0.4899}","{""methane"": 0.7055, ""CO"": 0.7428, ""worst"": 0.7055}"
bio,connectome,graded_ln,0,5,255,263508,26,0.27,17.1,0.96726,0.91532,0.98707,0.52874,0.84815,0.71983,0.69181,0.7579,0.91235,0.91343,0.49181,0.86207,638,464,0.97224,0.81858,0.85776,0.52874,0.93574,0.50862,0.45905,0.69325,0.89505,0.95589,0.03496,0.8212,1566,1392,"{""pre"": 0.2026, ""0-5s"": 0.5417, ""5-10s"": 0.36, ""10-30s"": 0.4792, ""30-60s"": 0.5347, "">60s"": 0.6313}","{""methane"": 0.8649, ""CO"": 0.8506, ""worst"": 0.8506}"
bio,degree,standard,0,10,510,263508,23,0.2363,22.6,0.97184,0.92687,0.95905,0.64943,0.87945,0.71983,0.68534,0.80424,0.91753,0.9176,0.41625,0.87461,638,464,0.98373,0.88522,0.88578,0.64943,0.95286,0.625,0.59698,0.7676,0.91809,0.9568,0.00581,0.85951,1566,1392,"{""pre"": 0.1158, ""0-5s"": 0.5833, ""5-10s"": 0.4, ""10-30s"": 0.5521, ""30-60s"": 0.6944, "">60s"": 0.8295}","{""methane"": 0.898, ""CO"": 0.8736, ""worst"": 0.8736}"
bio,degree,graded_ln,0,25,1276,263508,28,0.1873,57.6,0.95055,0.87391,0.94612,0.58621,0.8591,0.63578,0.58836,0.76616,0.90051,0.90619,0.32112,0.84796,638,464,0.97593,0.83316,0.84914,0.58621,0.94258,0.58621,0.55172,0.71767,0.89342,0.95047,0.00211,0.81992,1566,1392,"{""pre"": 0.0193, ""0-5s"": 0.5833, ""5-10s"": 0.32, ""10-30s"": 0.5208, ""30-60s"": 0.6944, "">60s"": 0.8056}","{""methane"": 0.8894, ""CO"": 0.8089, ""worst"": 0.8089}"
bio,random,standard,0,50,2552,263508,12,0.2133,46.0,0.97304,0.93252,0.94397,0.72414,0.90123,0.69612,0.65733,0.83405,0.92211,0.92612,0.45405,0.88401,638,464,0.98469,0.89337,0.84411,0.72414,0.96075,0.6171,0.58621,0.78412,0.89866,0.96044,0.02541,0.83078,1566,1392,"{""pre"": 0.164, ""0-5s"": 0.4167, ""5-10s"": 0.28, ""10-30s"": 0.4688, ""30-60s"": 0.6736, "">60s"": 0.8194}","{""methane"": 0.875, ""CO"": 0.8132, ""worst"": 0.8132}"
bio,spectrum,standard,0,100,5104,12247627,12,0.6267,45.7,0.92284,0.61912,1.0,0.0,0.72727,0.16164,0.16164,0.5,0.84211,0.96258,0.52403,0.72727,638,464,0.96945,0.58322,1.0,0.0,0.88889,0.06609,0.06609,0.5,0.94118,0.98723,0.52403,0.88889,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0312, ""30-60s"": 0.0625, "">60s"": 0.101}","{""methane"": 1.0, ""CO"": 1.0, ""worst"": 1.0}"
bio,dense,standard,1,5,255,12247627,11,0.67,3.5,0.78576,0.60304,0.4806,0.73563,0.829,0.16164,0.10129,0.60812,0.60846,0.84278,0.37727,0.55016,638,464,0.89022,0.5296,0.375,0.73563,0.91901,0.09842,0.0546,0.55532,0.53265,0.94118,0.37656,0.41507,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0417, ""30-60s"": 0.0625, "">60s"": 0.1566}","{""methane"": 0.3693, ""CO"": 0.3807, ""worst"": 0.3693}"
generic,connectome,standard,1,10,510,300871,16,0.2454,15.9,0.95043,0.88464,0.84483,0.71264,0.88688,0.56681,0.48491,0.77874,0.86534,0.92,0.04545,0.80878,638,464,0.97239,0.84156,0.77658,0.71264,0.95579,0.43463,0.3046,0.74461,0.85692,0.96702,0.02728,0.76948,1566,1392,"{""pre"": 0.0161, ""0-5s"": 0.0833, ""5-10s"": 0.16, ""10-30s"": 0.2812, ""30-60s"": 0.4583, "">60s"": 0.6326}","{""methane"": 0.806, ""CO"": 0.7471, ""worst"": 0.7471}"
generic,degree,standard,1,25,1276,300871,14,0.2088,28.1,0.98177,0.95145,0.92672,0.71264,0.89583,0.83621,0.75216,0.81968,0.91102,0.93333,0.2014,0.86834,638,464,0.98646,0.90368,0.80675,0.71264,0.95737,0.6954,0.63075,0.7597,0.87563,0.96752,0.02397,0.7963,1566,1392,"{""pre"": 0.4952, ""0-5s"": 0.625, ""5-10s"": 0.32, ""10-30s"": 0.5312, ""30-60s"": 0.6944, "">60s"": 0.8081}","{""methane"": 0.8233, ""CO"": 0.7902, ""worst"": 0.7902}"
generic,random,standard,1,50,2552,300871,13,0.1925,48.4,0.96457,0.90932,0.93966,0.65517,0.87903,0.69612,0.64871,0.79741,0.90833,0.92555,0.23512,0.86207,638,464,0.9757,0.84083,0.82974,0.65517,0.95062,0.53233,0.47845,0.74246,0.88608,0.95616,0.03078,0.81034,1566,1392,"{""pre"": 0.164, ""0-5s"": 0.2917, ""5-10s"": 0.2, ""10-30s"": 0.375, ""30-60s"": 0.5694, "">60s"": 0.7071}","{""methane"": 0.8851, ""CO"": 0.7744, ""worst"": 0.7744}"
generic,spectrum,standard,1,100,5104,12284990,15,0.2451,61.3,0.948,0.86121,0.85129,0.5977,0.84946,0.63362,0.63147,0.7245,0.85038,0.89246,0.15949,0.78213,638,464,0.96976,0.79413,0.75216,0.5977,0.93733,0.52802,0.52371,0.67493,0.8346,0.94118,0.0,0.73499,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.08, ""10-30s"": 0.4479, ""30-60s"": 0.5486, "">60s"": 0.7715}","{""methane"": 0.8132, ""CO"": 0.6911, ""worst"": 0.6911}"
generic,dense,standard,2,5,255,12284990,11,0.6779,3.5,0.81879,0.59955,0.57328,0.36207,0.70557,0.27155,0.20905,0.46767,0.63258,0.8685,0.44809,0.51567,638,464,0.94005,0.64824,0.64152,0.36207,0.88944,0.30819,0.2306,0.5018,0.74541,0.94118,0.43339,0.61047,1566,1392,"{""pre"": 0.4148, ""0-5s"": 0.5833, ""5-10s"": 0.36, ""10-30s"": 0.3438, ""30-60s"": 0.2847, "">60s"": 0.2563}","{""methane"": 0.6307, ""CO"": 0.6523, ""worst"": 0.6307}"
bio,adapter_only,standard,2,10,510,502,9,0.5525,0.1,0.86641,0.66529,0.83621,0.22989,0.7433,0.38362,0.34914,0.53305,0.78702,0.84538,0.47985,0.67085,638,464,0.93942,0.63284,0.86207,0.22989,0.89955,0.31394,0.28161,0.54598,0.88041,0.94269,0.47952,0.79183,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1146, ""30-60s"": 0.3264, "">60s"": 0.4785}","{""methane"": 0.8491, ""CO"": 0.875, ""worst"": 0.8491}"
bio,connectome,standard,0,25,1276,263508,12,0.2312,23.5,0.96325,0.90442,0.94397,0.62069,0.86905,0.69828,0.65086,0.78233,0.90496,0.91278,0.43681,0.8558,638,464,0.97857,0.85029,0.86351,0.62069,0.94795,0.59339,0.54885,0.7421,0.90376,0.95039,0.00179,0.83653,1566,1392,"{""pre"": 0.1061, ""0-5s"": 0.625, ""5-10s"": 0.36, ""10-30s"": 0.5312, ""30-60s"": 0.7014, "">60s"": 0.779}","{""methane"": 0.8966, ""CO"": 0.8305, ""worst"": 0.8305}"
bio,connectome,graded_ln,0,50,2552,263508,25,0.1811,92.1,0.97514,0.93516,0.96552,0.68391,0.89066,0.74569,0.72414,0.82471,0.92658,0.93033,0.39912,0.88871,638,464,0.98421,0.88746,0.88362,0.68391,0.9572,0.64871,0.63075,0.78376,0.91894,0.95865,0.00119,0.86143,1566,1392,"{""pre"": 0.209, ""0-5s"": 0.6667, ""5-10s"": 0.36, ""10-30s"": 0.5729, ""30-60s"": 0.6875, "">60s"": 0.8321}","{""methane"": 0.9555, ""CO"": 0.8118, ""worst"": 0.8118}"
bio,degree,standard,0,100,5104,263508,18,0.184,129.9,0.97077,0.92664,0.94828,0.71839,0.8998,0.69828,0.67241,0.83333,0.9234,0.93117,0.22694,0.88558,638,464,0.98652,0.90518,0.87069,0.71839,0.96114,0.65876,0.62428,0.79454,0.91368,0.96496,0.06234,0.85377,1566,1392,"{""pre"": 0.1415, ""0-5s"": 0.625, ""5-10s"": 0.44, ""10-30s"": 0.5938, ""30-60s"": 0.75, "">60s"": 0.8611}","{""methane"": 0.8966, ""CO"": 0.8448, ""worst"": 0.8448}"
bio,degree,graded_ln,1,5,255,263508,23,0.3151,15.3,0.94631,0.87037,0.78233,0.71264,0.87893,0.54957,0.47845,0.74749,0.82782,0.90258,0.34279,0.76332,638,464,0.96239,0.77246,0.62572,0.71839,0.94674,0.36207,0.28305,0.67205,0.75346,0.95153,0.09662,0.63602,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.16, ""10-30s"": 0.3333, ""30-60s"": 0.4028, "">60s"": 0.5177}","{""methane"": 0.6537, ""CO"": 0.5977, ""worst"": 0.5977}"
bio,random,standard,1,10,510,263508,20,0.1985,20.1,0.97052,0.924,0.8944,0.71264,0.89247,0.72414,0.68103,0.80352,0.89343,0.92385,0.21722,0.84483,638,464,0.98222,0.87605,0.81106,0.71264,0.95759,0.61925,0.5819,0.76185,0.87826,0.95728,0.00207,0.80013,1566,1392,"{""pre"": 0.2026, ""0-5s"": 0.5417, ""5-10s"": 0.32, ""10-30s"": 0.4688, ""30-60s"": 0.6667, "">60s"": 0.8043}","{""methane"": 0.8147, ""CO"": 0.8075, ""worst"": 0.8075}"
bio,spectrum,standard,1,25,1276,12247627,16,0.6644,18.1,0.81645,0.59919,0.4806,0.68966,0.80505,0.28448,0.2694,0.58513,0.60189,0.84211,0.12492,0.53762,638,464,0.91094,0.55225,0.39511,0.6954,0.91211,0.21695,0.17888,0.54526,0.55138,0.94118,0.11634,0.42848,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0312, ""30-60s"": 0.1944, "">60s"": 0.3422}","{""methane"": 0.3937, ""CO"": 0.3966, ""worst"": 0.3937}"
bio,dense,standard,1,50,2552,12247627,8,0.7018,16.4,0.82336,0.58771,0.40517,0.75862,0.81739,0.2694,0.24569,0.5819,0.54179,0.8444,0.38277,0.50157,638,464,0.9229,0.57094,0.36494,0.75862,0.92364,0.21624,0.1796,0.56178,0.52317,0.94233,0.38313,0.40868,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0833, ""30-60s"": 0.2083, "">60s"": 0.3321}","{""methane"": 0.3405, ""CO"": 0.3894, ""worst"": 0.3405}"
generic,connectome,standard,1,100,5104,300871,16,0.1816,113.3,0.98036,0.94769,0.98276,0.65517,0.88372,0.80603,0.76293,0.81897,0.93061,0.93253,0.25628,0.89342,638,464,0.98624,0.9027,0.91092,0.65517,0.95482,0.67601,0.61135,0.78305,0.93235,0.96679,0.03478,0.8825,1566,1392,"{""pre"": 0.2219, ""0-5s"": 0.5417, ""5-10s"": 0.36, ""10-30s"": 0.5938, ""30-60s"": 0.7569, "">60s"": 0.8636}","{""methane"": 0.9468, ""CO"": 0.875, ""worst"": 0.875}"
generic,degree,standard,2,5,255,300871,18,0.2151,11.6,0.96084,0.90104,0.95043,0.62069,0.86982,0.65733,0.59698,0.78556,0.90834,0.91335,0.40934,0.8605,638,464,0.96896,0.80507,0.8283,0.62069,0.94586,0.45546,0.40014,0.7245,0.88319,0.9511,0.04759,0.80524,1566,1392,"{""pre"": 0.2894, ""0-5s"": 0.25, ""5-10s"": 0.16, ""10-30s"": 0.3021, ""30-60s"": 0.4444, "">60s"": 0.5568}","{""methane"": 0.8693, ""CO"": 0.7874, ""worst"": 0.7874}"
generic,random,standard,2,10,510,300871,17,0.2122,16.7,0.96801,0.91366,0.85991,0.6954,0.88274,0.75862,0.70905,0.77766,0.87118,0.90625,0.06852,0.81505,638,464,0.97738,0.83954,0.74928,0.6954,0.95164,0.61207,0.56681,0.72234,0.83842,0.9474,0.01057,0.7433,1566,1392,"{""pre"": 0.2894, ""0-5s"": 0.625, ""5-10s"": 0.2, ""10-30s"": 0.5104, ""30-60s"": 0.6597, "">60s"": 0.7551}","{""methane"": 0.8017, ""CO"": 0.6968, ""worst"": 0.6968}"
generic,spectrum,standard,2,25,1276,12284990,13,0.5768,14.8,0.90458,0.77134,0.61207,0.87356,0.9281,0.61207,0.31466,0.74282,0.73766,0.84848,0.20933,0.68339,638,464,0.9482,0.69961,0.39152,0.87356,0.9612,0.38578,0.2227,0.63254,0.55641,0.94149,0.13518,0.44508,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1667, ""30-60s"": 0.3542, "">60s"": 0.5934}","{""methane"": 0.3822, ""CO"": 0.4009, ""worst"": 0.3822}"
generic,dense,standard,2,50,2552,12284990,23,0.2577,49.8,0.97311,0.93132,0.95259,0.61494,0.86837,0.76293,0.67026,0.78376,0.90853,0.92369,0.29937,0.8605,638,464,0.97636,0.84546,0.79239,0.61494,0.94274,0.55819,0.47701,0.70366,0.86105,0.95983,0.15112,0.77267,1566,1392,"{""pre"": 0.4148, ""0-5s"": 0.4583, ""5-10s"": 0.2, ""10-30s"": 0.3646, ""30-60s"": 0.5069, "">60s"": 0.6616}","{""methane"": 0.7945, ""CO"": 0.7902, ""worst"": 0.7902}"
bio,adapter_only,standard,2,100,5104,502,30,0.2436,1.7,0.94673,0.87312,0.72845,0.81034,0.91105,0.54957,0.4806,0.7694,0.80958,0.91833,0.21002,0.75078,638,464,0.96564,0.79954,0.61422,0.81034,0.96284,0.36207,0.25503,0.71228,0.75,0.94619,0.0031,0.63602,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.1562, ""30-60s"": 0.3194, "">60s"": 0.5593}","{""methane"": 0.6782, ""CO"": 0.5503, ""worst"": 0.5503}"
bio,connectome,standard,0,50,2552,263508,20,0.1824,74.8,0.97699,0.94089,0.9181,0.75287,0.90832,0.73922,0.72845,0.83549,0.91318,0.93712,0.05673,0.87304,638,464,0.98813,0.91437,0.86853,0.75287,0.96565,0.68534,0.65805,0.8107,0.91452,0.9607,0.00116,0.85568,1566,1392,"{""pre"": 0.2315, ""0-5s"": 0.6667, ""5-10s"": 0.44, ""10-30s"": 0.6354, ""30-60s"": 0.7847, "">60s"": 0.8598}","{""methane"": 0.8951, ""CO"": 0.842, ""worst"": 0.842}"
bio,connectome,graded_ln,0,100,5104,263508,20,0.1905,147.9,0.97906,0.94746,0.95474,0.75862,0.9134,0.74353,0.70474,0.85668,0.93361,0.94213,0.10464,0.90125,638,464,0.98674,0.90793,0.84124,0.75862,0.96538,0.6444,0.61063,0.79993,0.89904,0.96343,0.01635,0.83206,1566,1392,"{""pre"": 0.1961, ""0-5s"": 0.5417, ""5-10s"": 0.36, ""10-30s"": 0.5208, ""30-60s"": 0.7014, "">60s"": 0.8371}","{""methane"": 0.875, ""CO"": 0.8075, ""worst"": 0.8075}"
bio,degree,standard,1,5,255,263508,24,0.2358,16.2,0.94635,0.87101,0.89871,0.63218,0.86694,0.57974,0.50647,0.76545,0.88254,0.91019,0.38134,0.82602,638,464,0.96824,0.80646,0.80819,0.63218,0.94617,0.42529,0.33405,0.72019,0.87176,0.95231,0.03879,0.78863,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.375, ""5-10s"": 0.24, ""10-30s"": 0.3958, ""30-60s"": 0.4861, "">60s"": 0.5922}","{""methane"": 0.8103, ""CO"": 0.806, ""worst"": 0.806}"
bio,degree,graded_ln,1,10,510,263508,30,0.2043,31.1,0.96669,0.91677,0.94397,0.71839,0.89938,0.68319,0.65302,0.83118,0.92114,0.92581,0.44729,0.88245,638,464,0.98049,0.86697,0.82399,0.71264,0.95823,0.58261,0.53736,0.76832,0.88606,0.9567,0.00556,0.81162,1566,1392,"{""pre"": 0.1543, ""0-5s"": 0.5, ""5-10s"": 0.32, ""10-30s"": 0.5, ""30-60s"": 0.6528, "">60s"": 0.7588}","{""methane"": 0.8405, ""CO"": 0.8075, ""worst"": 0.8075}"
bio,random,standard,1,25,1276,263508,27,0.1923,56.9,0.97894,0.94537,0.88362,0.79885,0.92135,0.78664,0.72414,0.84124,0.90209,0.92915,0.21962,0.8605,638,464,0.98958,0.92378,0.83549,0.79885,0.97078,0.73779,0.67672,0.81717,0.89807,0.96765,0.03716,0.83142,1566,1392,"{""pre"": 0.4277, ""0-5s"": 0.5833, ""5-10s"": 0.4, ""10-30s"": 0.6146, ""30-60s"": 0.7569, "">60s"": 0.8864}","{""methane"": 0.8362, ""CO"": 0.8348, ""worst"": 0.8348}"
bio,spectrum,standard,1,50,2552,12247627,10,0.7,20.6,0.80733,0.60439,0.39871,0.72989,0.79741,0.31681,0.29526,0.5643,0.53161,0.84473,0.34894,0.48903,638,464,0.91257,0.54871,0.35345,0.72989,0.9128,0.28448,0.27443,0.54167,0.50958,0.94118,0.0144,0.39527,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0938, ""30-60s"": 0.3125, "">60s"": 0.4318}","{""methane"": 0.3506, ""CO"": 0.3563, ""worst"": 0.3506}"
bio,dense,standard,1,100,5104,12247627,24,0.627,91.0,0.84191,0.5186,1.0,0.0,0.72727,0.0431,0.0,0.5,0.84211,0.8444,0.53274,0.72727,638,464,0.94461,0.53512,1.0,0.0,0.88889,0.04598,0.0,0.5,0.94118,0.94245,0.53274,0.88889,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0, ""30-60s"": 0.0139, "">60s"": 0.0783}","{""methane"": 1.0, ""CO"": 1.0, ""worst"": 1.0}"
generic,connectome,standard,2,5,255,300871,22,0.2329,14.5,0.97545,0.9336,0.94397,0.66092,0.88129,0.80388,0.75216,0.80244,0.91155,0.91268,0.48817,0.86677,638,464,0.97714,0.83997,0.78233,0.66092,0.94861,0.59483,0.55603,0.72162,0.85748,0.94891,0.04687,0.76884,1566,1392,"{""pre"": 0.3698, ""0-5s"": 0.375, ""5-10s"": 0.2, ""10-30s"": 0.4167, ""30-60s"": 0.5903, "">60s"": 0.7247}","{""methane"": 0.8405, ""CO"": 0.7241, ""worst"": 0.7241}"
generic,degree,standard,2,10,510,300871,18,0.206,18.1,0.97356,0.93045,0.95259,0.62069,0.87008,0.76724,0.72414,0.78664,0.90947,0.92,0.25369,0.86207,638,464,0.97903,0.85397,0.83118,0.62069,0.94603,0.61207,0.55388,0.72593,0.88489,0.95472,0.01974,0.80779,1566,1392,"{""pre"": 0.4566, ""0-5s"": 0.5833, ""5-10s"": 0.36, ""10-30s"": 0.4583, ""30-60s"": 0.6111, "">60s"": 0.7008}","{""methane"": 0.8621, ""CO"": 0.8003, ""worst"": 0.8003}"
generic,random,standard,2,25,1276,300871,15,0.2184,30.8,0.97907,0.94506,0.94181,0.75287,0.91042,0.75,0.72629,0.84734,0.92585,0.93194,0.4208,0.89028,638,464,0.98602,0.90159,0.84052,0.75287,0.96455,0.64871,0.59339,0.7967,0.89827,0.95767,0.0251,0.83078,1566,1392,"{""pre"": 0.3183, ""0-5s"": 0.5833, ""5-10s"": 0.32, ""10-30s"": 0.5521, ""30-60s"": 0.6944, "">60s"": 0.7942}","{""methane"": 0.8937, ""CO"": 0.7874, ""worst"": 0.7874}"
