io,arm,variant,seed,fraction,n_train,params,epochs_ran,best_val_loss,wall_s,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,low_latency,low_worst_interferent
bio,connectome,standard,2,10,510,263508,16,0.297,15.9,0.97054,0.92334,0.95259,0.63793,0.87525,0.72629,0.68103,0.79526,0.91228,0.91947,0.45436,0.86677,638,464,0.98016,0.8615,0.82471,0.63793,0.94798,0.61351,0.56466,0.73132,0.88206,0.95255,0.03513,0.80396,1566,1392,"{""pre"": 0.1897, ""0-5s"": 0.5833, ""5-10s"": 0.4, ""10-30s"": 0.5625, ""30-60s"": 0.7431, "">60s"": 0.7702}","{""methane"": 0.7917, ""CO"": 0.8578, ""worst"": 0.7917}"
bio,connectome,graded_ln,2,25,1276,263508,21,0.2018,42.4,0.95899,0.89323,0.91595,0.62644,0.86735,0.68103,0.63578,0.77119,0.89099,0.90141,0.24858,0.83699,638,464,0.97713,0.84349,0.84483,0.62644,0.94762,0.57759,0.53305,0.73563,0.89328,0.95251,0.00296,0.82056,1566,1392,"{""pre"": 0.0547, ""0-5s"": 0.625, ""5-10s"": 0.48, ""10-30s"": 0.5521, ""30-60s"": 0.6944, "">60s"": 0.7664}","{""methane"": 0.8851, ""CO"": 0.8046, ""worst"": 0.8046}"
bio,degree,standard,2,50,2552,263508,10,0.234,37.4,0.97896,0.94602,0.88362,0.81609,0.9276,0.76078,0.71767,0.84986,0.90508,0.93194,0.35954,0.8652,638,464,0.98704,0.90587,0.78664,0.81609,0.97161,0.68463,0.65158,0.80136,0.86939,0.95477,0.0132,0.78991,1566,1392,"{""pre"": 0.4502, ""0-5s"": 0.6667, ""5-10s"": 0.4, ""10-30s"": 0.5417, ""30-60s"": 0.7083, "">60s"": 0.7992}","{""methane"": 0.7945, ""CO"": 0.7787, ""worst"": 0.7787}"
bio,degree,graded_ln,2,100,5104,263508,13,0.191,95.1,0.94919,0.86887,0.92457,0.59195,0.858,0.64655,0.62069,0.75826,0.89004,0.90387,0.08881,0.83386,638,464,0.97407,0.82336,0.84124,0.59195,0.94283,0.55172,0.52371,0.71659,0.88914,0.94991,0.00016,0.81354,1566,1392,"{""pre"": 0.0482, ""0-5s"": 0.5833, ""5-10s"": 0.32, ""10-30s"": 0.5208, ""30-60s"": 0.6736, "">60s"": 0.7374}","{""methane"": 0.9109, ""CO"": 0.7716, ""worst"": 0.7716}"
bio,spectrum,standard,0,5,255,12247627,11,0.7944,3.5,0.82844,0.54697,0.61638,0.24713,0.68585,0.39655,0.34698,0.43175,0.64926,0.84211,0.2599,0.51567,638,464,0.93414,0.55929,0.62644,0.24713,0.86939,0.4375,0.43032,0.43678,0.72818,0.94118,0.25696,0.58429,1566,1392,"{""pre"": 0.9164, ""0-5s"": 1.0, ""5-10s"": 0.96, ""10-30s"": 0.6562, ""30-60s"": 0.4653, "">60s"": 0.1843}","{""methane"": 0.6537, ""CO"": 0.5991, ""worst"": 0.5991}"
bio,dense,standard,0,10,510,12247627,7,0.6586,3.5,0.85114,0.68812,0.44612,0.82184,0.86975,0.23922,0.18319,0.63398,0.58974,0.84911,0.31509,0.54859,638,464,0.92422,0.63103,0.35345,0.82184,0.94073,0.13362,0.0819,0.58764,0.51384,0.94118,0.2663,0.40549,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.0, ""10-30s"": 0.0625, ""30-60s"": 0.1458, "">60s"": 0.2008}","{""methane"": 0.3161, ""CO"": 0.3908, ""worst"": 0.3161}"
generic,connectome,standard,0,25,1276,300871,12,0.2111,24.0,0.97214,0.92457,0.95043,0.59195,0.86133,0.77371,0.72629,0.77119,0.90369,0.91566,0.31213,0.85266,638,464,0.97504,0.82823,0.81753,0.59195,0.94127,0.5783,0.5273,0.70474,0.87505,0.95326,0.00808,0.79246,1566,1392,"{""pre"": 0.2797, ""0-5s"": 0.5417, ""5-10s"": 0.28, ""10-30s"": 0.4479, ""30-60s"": 0.6111, "">60s"": 0.7159}","{""methane"": 0.8635, ""CO"": 0.7716, ""worst"": 0.7716}"
generic,degree,standard,0,50,2552,300871,12,0.1811,44.4,0.98491,0.9611,0.96121,0.75862,0.91393,0.85129,0.80172,0.85991,0.93697,0.94363,0.4696,0.90596,638,464,0.98805,0.9116,0.84411,0.75862,0.96549,0.7421,0.70546,0.80136,0.90073,0.95413,0.01092,0.83461,1566,1392,"{""pre"": 0.6013, ""0-5s"": 0.6667, ""5-10s"": 0.44, ""10-30s"": 0.5729, ""30-60s"": 0.7361, "">60s"": 0.8308}","{""methane"": 0.8807, ""CO"": 0.8075, ""worst"": 0.8075}"
generic,random,standard,0,100,5104,300871,11,0.1921,78.4,0.96312,0.90698,0.94612,0.64368,0.87625,0.65302,0.62069,0.7949,0.90984,0.92277,0.27634,0.86364,638,464,0.97626,0.84204,0.87213,0.64368,0.95141,0.50503,0.46552,0.7579,0.91004,0.94726,0.00415,0.84674,1566,1392,"{""pre"": 0.0225, ""0-5s"": 0.2917, ""5-10s"": 0.2, ""10-30s"": 0.375, ""30-60s"": 0.5972, "">60s"": 0.7096}","{""methane"": 0.9167, ""CO"": 0.8276, ""worst"": 0.8276}"
generic,spectrum,standard,1,5,255,12284990,6,1.0,1.8,0.83376,0.60832,0.45259,0.64943,0.77491,0.26078,0.26078,0.55101,0.57143,0.84211,0.00016,0.50627,638,464,0.93449,0.6057,0.41236,0.64943,0.90394,0.29741,0.29598,0.53089,0.56635,0.94118,0.00015,0.4387,1566,1392,"{""pre"": 0.0, ""0-5s"": 0.0, ""5-10s"": 0.04, ""10-30s"": 0.0938, ""30-60s"": 0.2569, "">60s"": 0.4634}","{""methane"": 0.375, ""CO"": 0.4497, ""worst"": 0.375}"
