io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,degree,standard,0,5,8,0.254693754017353,0.9384,0.7642
bio,degree,standard,0,5,9,0.2269645631313324,0.9131,0.5012
bio,degree,standard,0,5,10,0.2829487323760986,0.9554,0.4135
bio,degree,standard,0,5,11,0.2037736624479293,0.9496,0.5833
bio,degree,standard,0,5,12,0.2039615660905838,0.9468,0.4012
bio,degree,standard,0,5,13,0.2111586555838585,0.9687,0.3714
bio,degree,standard,0,5,14,0.1813595220446586,0.9591,0.4658
bio,degree,standard,0,5,15,0.1720640733838081,0.9495,0.3489
bio,degree,standard,0,5,16,0.179158978164196,0.9621,0.4877
bio,degree,standard,0,5,17,0.1918437778949737,0.9725,0.3241
bio,degree,standard,0,5,18,0.1983586326241493,0.9568,0.3296
bio,degree,standard,0,5,19,0.1812121719121933,0.9663,0.4117
bio,degree,standard,0,5,20,0.1815353482961654,0.968,0.3582
bio,degree,standard,0,5,21,0.1584678888320922,0.9681,0.2956
bio,degree,standard,0,5,22,0.1541002914309501,0.9698,0.3933
bio,degree,standard,0,5,23,0.1645120903849601,0.9791,0.2966
bio,degree,standard,0,5,24,0.1364979892969131,0.9716,0.2956
bio,degree,standard,0,5,25,0.1355601176619529,0.977,0.3713
bio,degree,standard,0,5,26,0.1326746791601181,0.9623,0.3437
bio,degree,standard,0,5,27,0.1516583636403083,0.9725,0.3159
bio,degree,standard,4,5,1,0.8311122059822083,0.8459,2.5447
bio,degree,standard,4,5,2,1.4742081761360168,0.7403,2.3915
bio,degree,standard,4,5,3,1.2178965210914612,0.8504,2.0628
bio,degree,standard,4,5,4,0.6722376346588135,0.8506,2.1444
bio,degree,standard,4,5,5,0.5212979316711426,0.9029,0.5686
bio,degree,standard,4,5,6,0.3346799165010452,0.9446,0.5406
bio,degree,standard,4,5,7,0.3065489679574966,0.9064,0.7512
bio,degree,standard,4,5,8,0.2573071271181106,0.913,0.5738
bio,degree,standard,4,5,9,0.2421280816197395,0.9044,0.7164
bio,degree,standard,4,5,10,0.2299812287092209,0.9221,0.5244
bio,degree,standard,4,5,11,0.2191916331648826,0.916,0.7471
bio,degree,standard,4,5,12,0.2209418416023254,0.9389,0.4501
bio,degree,standard,4,5,13,0.2205106019973755,0.943,0.4892
bio,degree,standard,4,5,14,0.197885051369667,0.9506,0.4772
bio,degree,standard,4,5,15,0.1901182979345321,0.9667,0.3912
bio,degree,standard,4,5,16,0.1859141215682029,0.9588,0.4686
bio,degree,standard,4,5,17,0.221091017127037,0.9484,0.4101
bio,degree,standard,4,5,18,0.1944941282272339,0.9529,0.6114
bio,degree,standard,4,5,19,0.1961492076516151,0.9649,0.3924
bio,degree,standard,4,5,20,0.1717282757163047,0.9692,0.4
bio,degree,standard,4,5,21,0.1590351685881614,0.9687,0.4723
bio,degree,graded_ln,2,5,1,1.1132968068122864,0.8444,0.6996
bio,degree,graded_ln,2,5,2,0.664153516292572,0.866,1.5591
bio,degree,graded_ln,2,5,3,1.2598229050636292,0.7297,2.1076
bio,degree,graded_ln,2,5,4,1.029238998889923,0.8486,2.4595
bio,degree,graded_ln,2,5,5,0.8961069583892822,0.8486,2.3125
bio,degree,graded_ln,2,5,6,0.7072130590677261,0.9014,0.6735
bio,degree,graded_ln,2,5,7,0.5274425446987152,0.7412,1.2166
bio,degree,graded_ln,2,5,8,0.7767517268657684,0.9237,0.6333
bio,degree,graded_ln,2,5,9,0.4104329347610473,0.8607,1.3751
bio,degree,graded_ln,2,5,10,0.460524633526802,0.9061,0.704
bio,degree,graded_ln,2,5,11,0.3459401279687881,0.7814,0.6996
bio,degree,graded_ln,2,5,12,0.4673631936311722,0.9623,0.5191
bio,degree,graded_ln,2,5,13,0.2856142967939377,0.92,0.7284
bio,degree,graded_ln,2,5,14,0.2993656098842621,0.9706,0.4553
bio,degree,graded_ln,2,5,15,0.2651617079973221,0.9289,0.4415
bio,degree,graded_ln,2,5,16,0.2429459989070892,0.9634,0.6148
bio,degree,graded_ln,2,5,17,0.288504347205162,0.9662,0.5716
bio,degree,graded_ln,2,5,18,0.2296158969402313,0.9381,0.4112
bio,degree,graded_ln,2,5,19,0.2781195640563965,0.9652,0.3434
bio,degree,graded_ln,2,5,20,0.2128469198942184,0.9719,0.5122
bio,degree,graded_ln,2,5,21,0.2318795025348663,0.9632,0.3321
bio,degree,graded_ln,2,5,22,0.2247430831193924,0.9669,0.3246
bio,degree,graded_ln,2,5,23,0.1943444311618805,0.9776,0.4351
bio,degree,graded_ln,2,5,24,0.2025088295340538,0.9644,0.3178
bio,degree,graded_ln,2,5,25,0.2105343043804168,0.9803,0.3052
bio,degree,graded_ln,2,5,26,0.1877291277050972,0.9818,0.3111
bio,degree,graded_ln,2,5,27,0.1743763461709022,0.9754,0.2499
bio,degree,graded_ln,2,5,28,0.1790899783372879,0.9839,0.3841
bio,degree,graded_ln,2,5,29,0.1994001716375351,0.9862,0.2194
