region,arm,seed,N,edges,wall_s,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos
OL,random,3,3499,286236,86.7,0.98518,0.89388,0.8556,0.66667,0.95356,0.68894,0.64655,0.76114,0.90193,0.96208,0.08191,0.83461,1566,1392,0.9812,0.94898,0.95259,0.66667,0.884,0.82974,0.78879,0.80963,0.91701,0.92915,0.34383,0.87461,638,464
AL,connectome,4,3499,258882,76.4,0.98234,0.87733,0.7931,0.6954,0.95419,0.60991,0.59626,0.74425,0.86622,0.95905,0.02095,0.78225,1566,1392,0.97398,0.93137,0.89871,0.6954,0.88723,0.75,0.73491,0.79705,0.89293,0.92901,0.15265,0.84326,638,464
MB,connectome,2,3499,295696,118.6,0.98074,0.86762,0.88937,0.65517,0.95378,0.56609,0.55675,0.77227,0.92045,0.95274,0.00126,0.86335,1566,1392,0.97175,0.92654,0.97629,0.65517,0.88304,0.71767,0.7069,0.81573,0.92733,0.92792,0.42049,0.88871,638,464
CX,connectome,0,3499,482499,96.8,0.98747,0.90844,0.87787,0.70115,0.95918,0.7148,0.6717,0.78951,0.91673,0.95514,0.08178,0.85824,1566,1392,0.98405,0.95878,0.97845,0.70115,0.89723,0.84267,0.75862,0.8398,0.93608,0.94022,0.29329,0.90282,638,464
CX,random,4,3499,482499,121.0,0.98364,0.87908,0.85776,0.71264,0.95981,0.68175,0.61638,0.7852,0.90592,0.94329,1e-05,0.84163,1566,1392,0.98215,0.95446,0.98276,0.71264,0.90119,0.78448,0.74353,0.8477,0.94021,0.94387,0.5466,0.90909,638,464
OL,random,2,3499,286236,54.9,0.9836,0.88446,0.63075,0.94253,0.98874,0.66236,0.62284,0.78664,0.77018,0.96627,0.04522,0.66539,1566,1392,0.97599,0.93537,0.76724,0.94253,0.97268,0.78017,0.76509,0.85489,0.85783,0.92757,0.14337,0.81505,638,464
AL,random,3,3499,258882,78.2,0.98905,0.92189,0.84555,0.78736,0.96952,0.73779,0.64799,0.81645,0.9033,0.9639,0.04369,0.83908,1566,1392,0.98454,0.96032,0.94397,0.78736,0.92211,0.85776,0.75216,0.86566,0.93291,0.94093,0.30977,0.90125,638,464
MB,random,1,3499,295696,97.3,0.98086,0.86234,0.85848,0.63793,0.94992,0.64296,0.60273,0.7482,0.90189,0.94821,0.00404,0.83397,1566,1392,0.97425,0.93051,0.95043,0.63793,0.875,0.78233,0.74353,0.79418,0.91116,0.92401,0.35076,0.8652,638,464
CX,degree,5,3499,482499,150.4,0.97338,0.82308,0.81609,0.66092,0.95063,0.48491,0.4727,0.73851,0.87824,0.94486,0.00015,0.79885,1566,1392,0.96361,0.9072,0.92457,0.66092,0.8791,0.66164,0.65517,0.79274,0.90126,0.92477,0.14948,0.85266,638,464
OL,degree,3,3499,286236,89.5,0.98906,0.91815,0.87644,0.72414,0.96215,0.74066,0.71121,0.80029,0.91729,0.9571,0.05566,0.85951,1566,1392,0.98919,0.97098,0.97845,0.71839,0.90258,0.88578,0.84052,0.84842,0.93899,0.94387,0.5162,0.90752,638,464
AL,connectome,3,3499,258882,47.5,0.98439,0.88641,0.87356,0.67241,0.95522,0.70833,0.62931,0.77299,0.91257,0.94677,0.05939,0.85121,1566,1392,0.98141,0.95249,0.97845,0.67241,0.88845,0.83836,0.74138,0.82543,0.93128,0.93591,0.41543,0.89498,638,464
MB,connectome,1,3499,295696,91.9,0.97532,0.83411,0.85632,0.63218,0.94904,0.5079,0.49282,0.74425,0.9003,0.9481,0.00315,0.83142,1566,1392,0.96824,0.91684,0.96767,0.63218,0.87524,0.70474,0.69181,0.79993,0.91914,0.92041,0.47733,0.87618,638,464
MB,random,5,3499,295696,94.2,0.98254,0.87507,0.7694,0.72989,0.95796,0.65517,0.59483,0.74964,0.85339,0.94963,0.006,0.76501,1566,1392,0.97549,0.93526,0.89224,0.72989,0.89805,0.76293,0.72629,0.81106,0.89514,0.93253,0.15298,0.84796,638,464
CX,random,3,3499,482499,83.3,0.98648,0.904,0.85489,0.74713,0.96434,0.68319,0.6329,0.80101,0.90632,0.95553,0.01234,0.84291,1566,1392,0.98124,0.95195,0.95259,0.74713,0.90947,0.80603,0.73922,0.84986,0.93053,0.93608,0.25966,0.89655,638,464
OL,random,1,3499,286236,92.9,0.98352,0.88318,0.84914,0.66092,0.95246,0.65302,0.58908,0.75503,0.89784,0.95386,0.0018,0.82822,1566,1392,0.97689,0.9391,0.95259,0.66092,0.88224,0.78664,0.73276,0.80675,0.91606,0.92786,0.1167,0.87304,638,464
AL,connectome,2,3499,258882,117.4,0.9825,0.87673,0.87428,0.67816,0.95601,0.60848,0.59626,0.77622,0.91332,0.95511,0.01246,0.85249,1566,1392,0.97418,0.93092,0.94397,0.67816,0.88664,0.75,0.74784,0.81106,0.91441,0.91779,0.48169,0.87147,638,464
MB,connectome,0,3499,295696,94.4,0.9703,0.81465,0.79598,0.67816,0.95189,0.38362,0.37572,0.73707,0.86698,0.94565,1e-05,0.78289,1566,1392,0.95507,0.89041,0.88793,0.67816,0.88034,0.57974,0.56466,0.78305,0.88412,0.91777,0.14572,0.83072,638,464
MB,random,4,3499,295696,126.2,0.98665,0.90131,0.87572,0.67816,0.95608,0.71911,0.64655,0.77694,0.91414,0.95038,0.00349,0.85377,1566,1392,0.98791,0.96849,0.99353,0.67816,0.89168,0.86422,0.7931,0.83585,0.93986,0.94715,0.61737,0.90752,638,464
CX,random,2,3499,482499,190.0,0.9794,0.86097,0.89943,0.64368,0.95282,0.54095,0.49569,0.77155,0.92535,0.94833,0.01696,0.87101,1566,1392,0.96458,0.91122,0.96121,0.64368,0.87795,0.66595,0.60776,0.80244,0.9177,0.92495,0.36965,0.87461,638,464
OL,random,0,3499,286236,107.9,0.97802,0.84811,0.87859,0.63793,0.95101,0.54598,0.53161,0.75826,0.91337,0.94558,2e-05,0.85185,1566,1392,0.97173,0.92705,0.98276,0.63793,0.87861,0.70905,0.69828,0.81034,0.92777,0.92952,0.53585,0.88871,638,464
AL,degree,1,3499,258882,54.0,0.97292,0.82084,0.73635,0.65517,0.9447,0.48922,0.47055,0.69576,0.82761,0.95248,0.00821,0.72733,1566,1392,0.96525,0.90927,0.88793,0.65517,0.87288,0.69397,0.65948,0.77155,0.88034,0.91463,0.23757,0.82445,638,464
MB,connectome,5,3499,295696,85.0,0.97012,0.80501,0.84483,0.58046,0.94155,0.4533,0.41595,0.71264,0.89057,0.94881,0.00025,0.81545,1566,1392,0.96833,0.91715,0.97845,0.58046,0.86148,0.70043,0.67672,0.77945,0.91625,0.917,0.52556,0.86991,638,464
CX,connectome,3,3499,482499,143.4,0.98001,0.86179,0.82974,0.65517,0.95062,0.58908,0.53807,0.74246,0.88608,0.95255,0.00372,0.81034,1566,1392,0.97305,0.92998,0.95474,0.66092,0.88247,0.74353,0.70474,0.80783,0.91718,0.9251,0.2242,0.87461,638,464
OL,connectome,1,3499,286236,85.3,0.98165,0.86524,0.80172,0.67241,0.95141,0.68822,0.62069,0.73707,0.87018,0.94526,0.00039,0.78736,1566,1392,0.97384,0.92754,0.88793,0.67241,0.87846,0.7931,0.75,0.78017,0.88317,0.90819,0.09627,0.82915,638,464
OL,random,5,3499,286236,85.5,0.98175,0.86939,0.81537,0.65517,0.94979,0.64655,0.61351,0.73527,0.87746,0.95175,0.05186,0.79757,1566,1392,0.97836,0.94143,0.95043,0.65517,0.88024,0.79957,0.78017,0.8028,0.91399,0.92713,0.36309,0.86991,638,464
AL,degree,3,3499,258882,75.6,0.99007,0.92403,0.88578,0.77586,0.96934,0.80316,0.72055,0.83082,0.92568,0.95212,0.00423,0.87356,1566,1392,0.98394,0.95895,0.9375,0.77586,0.91772,0.82759,0.74569,0.85668,0.92751,0.94421,0.29293,0.89342,638,464
MB,degree,1,3499,295696,54.4,0.98648,0.90165,0.84698,0.74138,0.96324,0.69828,0.66882,0.79418,0.90138,0.95655,0.02676,0.83525,1566,1392,0.98318,0.95636,0.96552,0.73563,0.90688,0.82112,0.77155,0.85057,0.93528,0.93861,0.48388,0.90282,638,464
CX,connectome,5,3499,482499,191.9,0.97214,0.8309,0.84411,0.66092,0.95219,0.39943,0.35489,0.75251,0.8949,0.95355,0.01443,0.82375,1566,1392,0.96338,0.90964,0.95043,0.66092,0.882,0.63362,0.6056,0.80568,0.91494,0.93117,0.23076,0.87147,638,464
OL,connectome,3,3499,286236,70.5,0.98187,0.87457,0.78376,0.73563,0.95954,0.61207,0.57543,0.7597,0.86279,0.96033,0.01034,0.77842,1566,1392,0.97993,0.94823,0.95043,0.73563,0.90554,0.78017,0.76509,0.84303,0.92744,0.93961,0.33845,0.89185,638,464
AL,random,2,3499,258882,49.0,0.98375,0.88592,0.71049,0.81609,0.96866,0.64943,0.59339,0.76329,0.81973,0.96333,0.03274,0.72222,1566,1392,0.97485,0.93284,0.82112,0.81034,0.92029,0.78017,0.74353,0.81573,0.86788,0.92385,0.10573,0.81818,638,464
MB,random,0,3499,295696,119.0,0.97539,0.84932,0.81753,0.67241,0.9523,0.47989,0.37069,0.74497,0.87978,0.96061,0.01225,0.8014,1566,1392,0.96515,0.91383,0.92026,0.67241,0.88223,0.66379,0.60776,0.79634,0.90084,0.92901,0.21107,0.85266,638,464
CX,degree,4,3499,482499,134.1,0.98287,0.87679,0.86925,0.63793,0.95051,0.65302,0.60201,0.75359,0.90807,0.94826,0.02572,0.84355,1566,1392,0.97849,0.94253,0.97414,0.63793,0.87767,0.79095,0.75431,0.80603,0.92339,0.93023,0.39138,0.88245,638,464
OL,degree,2,3499,286236,79.0,0.98445,0.88641,0.79813,0.74713,0.9619,0.67457,0.65733,0.77263,0.8724,0.95225,0.0106,0.79246,1566,1392,0.98034,0.94779,0.92672,0.74713,0.90717,0.78879,0.75862,0.83693,0.91684,0.92864,0.1665,0.87774,638,464
AL,degree,0,3499,258882,54.9,0.97931,0.86056,0.90876,0.6092,0.94899,0.54741,0.53448,0.75898,0.92844,0.95414,0.18864,0.87548,1566,1392,0.97144,0.92527,0.97845,0.6092,0.86973,0.72198,0.71767,0.79382,0.92089,0.92864,0.36015,0.87774,638,464
MB,connectome,4,3499,295696,61.7,0.98588,0.89862,0.84411,0.71264,0.95918,0.69397,0.64296,0.77838,0.89797,0.95819,0.01784,0.8295,1566,1392,0.98262,0.95441,0.96121,0.71264,0.89919,0.82328,0.77802,0.83693,0.92917,0.94262,0.37783,0.89342,638,464
CX,connectome,2,3499,482499,118.1,0.9865,0.89604,0.87644,0.6954,0.95837,0.75359,0.71193,0.78592,0.91557,0.94429,3e-05,0.85632,1566,1392,0.98485,0.95929,0.96552,0.68966,0.89243,0.8556,0.7931,0.82759,0.92754,0.93391,0.68251,0.89028,638,464
OL,connectome,0,3499,286236,108.3,0.97561,0.8363,0.85776,0.62069,0.94762,0.51796,0.49066,0.73922,0.90045,0.94675,0.00177,0.83142,1566,1392,0.96091,0.90079,0.93966,0.62069,0.86853,0.64009,0.62716,0.78017,0.90269,0.91335,0.38196,0.85266,638,464
OL,random,4,3499,286236,62.1,0.98567,0.89697,0.82328,0.77586,0.96709,0.69971,0.61638,0.79957,0.88941,0.95589,0.00113,0.81801,1566,1392,0.98383,0.95846,0.95259,0.77586,0.91892,0.83836,0.76724,0.86422,0.93545,0.93848,0.36276,0.90439,638,464
AL,degree,2,3499,258882,89.9,0.98394,0.8866,0.88865,0.63793,0.95154,0.63218,0.61279,0.76329,0.91902,0.95938,0.05285,0.86079,1566,1392,0.97471,0.93314,0.97198,0.63793,0.87743,0.75216,0.73491,0.80496,0.92229,0.92879,0.28903,0.88088,638,464
MB,degree,0,3499,295696,86.6,0.97844,0.85524,0.84052,0.65517,0.95122,0.54239,0.52371,0.74784,0.89245,0.95531,0.01028,0.81992,1566,1392,0.96978,0.92152,0.94397,0.65517,0.87952,0.71121,0.70905,0.79957,0.9106,0.92525,0.25579,0.8652,638,464
CX,connectome,4,3499,482499,133.0,0.98528,0.89394,0.89655,0.66667,0.95559,0.67888,0.64943,0.78161,0.92513,0.95514,0.13282,0.87101,1566,1392,0.97677,0.93816,0.96767,0.66092,0.88386,0.77802,0.75647,0.8143,0.92387,0.92757,0.32655,0.88401,638,464
OL,connectome,2,3499,286236,62.8,0.98608,0.90175,0.74641,0.83333,0.97285,0.67529,0.61638,0.78987,0.84472,0.96118,0.02611,0.75607,1566,1392,0.98254,0.95427,0.87069,0.83333,0.93303,0.80603,0.78448,0.85201,0.90078,0.94057,0.27847,0.8605,638,464
