model,osc_score,osc_score_se,dom_hz,frac_locked,frac_oscillating
connectome,8.520779780195314e-30,6.817843871921333e-31,4.666666666666666,0.05494505494505495,0.0
shuffle,6.973287477211505e-30,3.9365093786468854e-30,4.3,0.05054945054945055,0.0
random,1.9663042600176302e-30,1.9663042600176302e-30,0.8,0.015384615384615385,0.0
