model,split,T,noise_std,mse_mean,mse_std,heading_angular_error_mean,heading_angular_error_std,position_rmse_mean,position_rmse_std,final_home_vector_cosine_mean,final_home_vector_cosine_std,final_displacement_error_mean,final_displacement_error_std,bump_mse_mean,bump_mse_std,heading_bump_angular_error_mean,heading_bump_angular_error_std,home_bearing_angular_error_mean,home_bearing_angular_error_std,home_distance_rmse_mean,home_distance_rmse_std,final_home_bearing_angular_error_mean,final_home_bearing_angular_error_std,final_home_distance_error_mean,final_home_distance_error_std,drift_slope_vs_T_mean,drift_slope_vs_T_std,latency_ms_per_sequence_mean,latency_ms_per_sequence_std,final_train_loss_mean,final_train_loss_std,best_val_loss_mean,best_val_loss_std,trainable_parameter_count,frozen_edge_count,K
connectome_bpu,test,50,0.0,0.4097198657989502,,1.1423972845077515,,5.658217430114746,,0.34331244230270386,,7.3888702392578125,,0.07038719952106476,,1.1423972845077515,,0.773968517780304,,5.658217430114746,,1.1343374252319336,,7.3888702392578125,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
connectome_bpu,test,100,0.0,0.5646375589370728,,1.3450382947921753,,10.450986862182617,,0.2307201623916626,,13.636051177978516,,0.07641363143920898,,1.3450382947921753,,0.9880326390266418,,10.450986862182617,,1.2762062549591064,,13.636051177978516,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
connectome_bpu,test,200,0.0,0.8106329913139343,,1.4629905223846436,,18.06890106201172,,0.14162267744541168,,22.596698760986328,,0.07970841974020004,,1.4629905223846436,,1.1586354970932007,,18.06890106201172,,1.386168360710144,,22.596698760986328,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
connectome_bpu,test_noise,200,0.0,0.8005443563461304,,1.4627352952957153,,17.78049087524414,,0.16976533830165863,,22.648855209350586,,0.07964811474084854,,1.4627352952957153,,1.1546193361282349,,17.78049087524414,,1.3531711101531982,,22.648855209350586,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
connectome_bpu,test_noise,200,0.05,0.802103630065918,,1.4632782936096191,,17.77992057800293,,0.16872744262218475,,22.640851974487305,,0.07967358827590942,,1.4632782936096191,,1.1570322513580322,,17.77992057800293,,1.3539704084396362,,22.640851974487305,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
connectome_bpu,test_noise,200,0.1,0.8066821517944336,,1.4645119905471802,,17.782499313354492,,0.16222399473190308,,22.65073013305664,,0.07974239438772202,,1.4645119905471802,,1.1638332605361938,,17.782499313354492,,1.3596651554107666,,22.65073013305664,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
connectome_bpu,test_noise,200,0.2,0.8231037855148315,,1.4692188501358032,,17.77010726928711,,0.15830451250076294,,22.609586715698242,,0.0800122395157814,,1.4692188501358032,,1.1857370138168335,,17.77010726928711,,1.3704107999801636,,22.609586715698242,,0.09970280238560267,,19.616671599942492,,0.4093858142852783,,0.41239715218544004,,264629,15091983,3
random,test,50,0.0,0.36616573309898376,,1.0667698383331299,,6.786701679229736,,0.3539557456970215,,8.420206069946289,,0.0652066245675087,,1.0667698383331299,,0.7069269418716431,,6.786701679229736,,1.117820382118225,,8.420206069946289,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
random,test,100,0.0,0.5538818354606628,,1.3230056762695312,,11.894295692443848,,0.2487000674009323,,15.233171463012695,,0.07449276000261307,,1.3230056762695312,,0.9526367783546448,,11.894295692443848,,1.249246597290039,,15.233171463012695,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
random,test,200,0.0,0.8348314714431763,,1.4457876682281494,,19.744693756103516,,0.153222918510437,,24.689571380615234,,0.0791296511888504,,1.4457876682281494,,1.1302460432052612,,19.744693756103516,,1.3748338222503662,,24.689571380615234,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
random,test_noise,200,0.0,0.8231043395996094,,1.4452112913131714,,19.421133041381836,,0.17946475744247437,,24.701457977294922,,0.07906239479780197,,1.4452112913131714,,1.128656029701233,,19.421133041381836,,1.3423303365707397,,24.701457977294922,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
random,test_noise,200,0.05,0.8191977291107178,,1.4474085569381714,,19.321271896362305,,0.17310230433940887,,24.569700241088867,,0.07899463176727295,,1.4474085569381714,,1.1339099407196045,,19.321271896362305,,1.3498718738555908,,24.569700241088867,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
random,test_noise,200,0.1,0.8184643115997314,,1.4519553184509277,,19.087879180908203,,0.16825830936431885,,24.253202438354492,,0.07963825017213821,,1.4519553184509277,,1.1539208889007568,,19.087879180908203,,1.3542805910110474,,24.253202438354492,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
random,test_noise,200,0.2,0.8679798240661621,,1.4999046325683594,,18.46957778930664,,0.10178050398826599,,23.402965545654297,,0.08253094553947449,,1.4999046325683594,,1.299532175064087,,18.46957778930664,,1.4390003681182861,,23.402965545654297,,0.1064769445146833,,19.477609387467965,,0.367600719833374,,0.36801352906227114,,264629,15091983,3
weight_shuffle,test,50,0.0,0.3445159435272217,,1.018959879875183,,6.703003406524658,,0.4072982668876648,,8.061457633972168,,0.06393413990736008,,1.018959879875183,,0.6377233862876892,,6.703003406524658,,1.053197979927063,,8.061457633972168,,0.10357541493007116,,19.56898119969992,,0.34587570691108704,,0.3471415283679962,,264629,15091983,3
weight_shuffle,test,100,0.0,0.532855150938034,,1.2976696491241455,,11.482781410217285,,0.2813102900981903,,14.614086151123047,,0.07406813651323318,,1.2976696491241455,,0.8943208456039429,,11.482781410217285,,1.2065469026565552,,14.614086151123047,,0.10357541493007116,,19.56898119969992,,0.34587570691108704,,0.3471415283679962,,264629,15091983,3
weight_shuffle,test,200,0.0,0.8107829461097718,,1.434271216392517,,19.15262222290039,,0.17243587970733643,,23.872541427612305,,0.07913811504840851,,1.434271216392517,,1.0870318412780762,,19.15262222290039,,1.3513433933258057,,23.872541427612305,,0.10357541493007116,,19.56898119969992,,0.34587570691108704,,0.3471415283679962,,264629,15091983,3
weight_shuffle,test_noise,200,0.0,0.7991513185501099,,1.4334313869476318,,18.836393356323242,,0.19785894453525543,,23.90411949157715,,0.07907108217477798,,1.4334313869476318,,1.0848551988601685,,18.836393356323242,,1.3175203800201416,,23.90411949157715,,0.10357541493007116,,19.56898119969992,,0.34587570691108704,,0.3471415283679962,,264629,15091983,3
weight_shuffle,test_noise,200,0.05,0.793572645664215,,1.4354281425476074,,18.737812042236328,,0.19497419893741608,,23.769725799560547,,0.07890915870666504,,1.4354281425476074,,1.0883744955062866,,18.737812042236328,,1.3213869333267212,,23.769725799560547,,0.10357541493007116,,19.56898119969992,,0.34587570691108704,,0.3471415283679962,,264629,15091983,3
weight_shuffle,test_noise,200,0.1,0.7862998275756836,,1.4389562606811523,,18.482013702392578,,0.19497480988502502,,23.423866271972656,,0.07931776344776154,,1.4389562606811523,,1.1023422479629517,,18.482013702392578,,1.3204368352890015,,23.423866271972656,,0.10357541493007116,,19.56898119969992,,0.34587570691108704,,0.3471415283679962,,264629,15091983,3
