seed,model,epoch,train_mse,val_mse,best_val_mse,patience_wait
0,connectome_bpu,1,0.6028995451927185,0.5122751767635345,0.5122751767635345,0
0,connectome_bpu,2,0.4949691352844238,0.4910684072971344,0.4910684072971344,0
0,connectome_bpu,3,0.47977703399658206,0.4767474293708801,0.4767474293708801,0
0,connectome_bpu,4,0.46529615416526793,0.4625849993228912,0.4625849993228912,0
0,connectome_bpu,5,0.452740966796875,0.45155486845970155,0.45155486845970155,0
0,connectome_bpu,6,0.4437640298843384,0.44400718760490415,0.44400718760490415,0
0,connectome_bpu,7,0.4372843581676483,0.4384286823272705,0.4384286823272705,0
0,connectome_bpu,8,0.43247440328598025,0.43424132323265074,0.43424132323265074,0
0,connectome_bpu,9,0.42859204020500186,0.43069301080703737,0.43069301080703737,0
0,connectome_bpu,10,0.42548167190551756,0.4282265536785126,0.4282265536785126,0
0,connectome_bpu,11,0.4229020649909973,0.42575913143157956,0.42575913143157956,0
0,connectome_bpu,12,0.4207638473033905,0.42336613631248476,0.42336613631248476,0
0,connectome_bpu,13,0.41884240555763247,0.4215239090919495,0.4215239090919495,0
0,connectome_bpu,14,0.41717556171417236,0.4203736562728882,0.4203736562728882,0
0,connectome_bpu,15,0.4156760673046112,0.4187980933189392,0.4187980933189392,0
0,connectome_bpu,16,0.4142662841320038,0.41696717715263365,0.41696717715263365,0
0,connectome_bpu,17,0.4130210948944092,0.4156254043579102,0.4156254043579102,0
0,connectome_bpu,18,0.4117283688545227,0.41492961192131045,0.41492961192131045,0
0,connectome_bpu,19,0.4105734091758728,0.41331513023376465,0.41331513023376465,0
0,connectome_bpu,20,0.4093858142852783,0.41239715218544004,0.41239715218544004,0
0,random,1,0.4849166774272919,0.46656851410865785,0.46656851410865785,0
0,random,2,0.42741486682891844,0.3887941198348999,0.3887941198348999,0
0,random,3,0.3747043391704559,0.37650941371917723,0.37650941371917723,0
0,random,4,0.3696535116672516,0.36801352906227114,0.36801352906227114,0
0,random,5,0.3686173433303833,0.37580150651931765,0.36801352906227114,1
0,random,6,0.3680971887588501,0.36900899863243103,0.36801352906227114,2
0,random,7,0.36759282598495485,0.3709079134464264,0.36801352906227114,3
0,random,8,0.367600719833374,0.3732009162902832,0.36801352906227114,4
0,weight_shuffle,1,0.5264744606018067,0.49168874526023865,0.49168874526023865,0
0,weight_shuffle,2,0.476291198015213,0.4692983882427216,0.4692983882427216,0
0,weight_shuffle,3,0.45159324078559876,0.44325340819358827,0.44325340819358827,0
0,weight_shuffle,4,0.42579385709762574,0.41697325563430787,0.41697325563430787,0
0,weight_shuffle,5,0.403093372631073,0.39507360935211183,0.39507360935211183,0
0,weight_shuffle,6,0.38503414068222047,0.37981315755844114,0.37981315755844114,0
0,weight_shuffle,7,0.3738437071800232,0.3712061982154846,0.3712061982154846,0
0,weight_shuffle,8,0.36724080152511596,0.36586489605903627,0.36586489605903627,0
0,weight_shuffle,9,0.3630581252574921,0.36291816306114194,0.36291816306114194,0
0,weight_shuffle,10,0.3604429575920105,0.36022896647453306,0.36022896647453306,0
0,weight_shuffle,11,0.35834003868103026,0.35866573786735534,0.35866573786735534,0
0,weight_shuffle,12,0.35649473938941956,0.35721387696266177,0.35721387696266177,0
0,weight_shuffle,13,0.3547698819637299,0.3556459300518036,0.3556459300518036,0
0,weight_shuffle,14,0.3533134301185608,0.35371670651435855,0.35371670651435855,0
0,weight_shuffle,15,0.35178601622581485,0.3520107250213623,0.3520107250213623,0
0,weight_shuffle,16,0.3504226049900055,0.35154416608810424,0.35154416608810424,0
0,weight_shuffle,17,0.34913280377388,0.35033298897743226,0.35033298897743226,0
0,weight_shuffle,18,0.3479882962703705,0.3484326617717743,0.3484326617717743,0
0,weight_shuffle,19,0.3469275435447693,0.34735974884033205,0.34735974884033205,0
0,weight_shuffle,20,0.34587570691108704,0.3471415283679962,0.3471415283679962,0
