model,acc_final,acc_final_se,bwt,bwt_se,forgetting,forgetting_se,learning_acc,rep_drift,w_rec_drift,trainable_params
connectome_trainable,0.6225333333333333,0.017807333071269034,-0.23483333333333334,0.022940177333907238,0.23483333333333334,0.022940177333907238,0.8104,5.351776430092468,11.748282114664713,2808490
weight_shuffle_frozen,0.5976666666666667,0.012440837771004168,-0.2370833333333333,0.015821322198574666,0.2370833333333333,0.015821322198574666,0.7873333333333333,0.48187095320317513,0.0,1793112
connectome_pruned_trainable,0.6194333333333334,0.02200714530429704,-0.24225,0.025189696967874257,0.24225,0.025189696967874257,0.8132333333333334,4.984434763035986,6.991936206817627,2075874
connectome_pruned_frozen,0.6094666666666667,0.014938801082341822,-0.24458333333333337,0.018084629369839046,0.24458333333333337,0.018084629369839046,0.8051333333333334,1.447643076070106,0.0,1789821
random_sparse_frozen,0.5947666666666667,0.013738308160436329,-0.24504166666666669,0.01779693520743889,0.24504166666666669,0.01779693520743889,0.7908,0.3638196435849456,0.0,1793112
connectome_frozen,0.6072666666666666,0.012288793449498797,-0.2469583333333333,0.01622840445364579,0.2469583333333333,0.01622840445364579,0.8048333333333334,1.5082524391917598,0.0,1793112
dense_trainable,0.6237333333333334,0.025878970441482265,-0.24966666666666668,0.029300378031311778,0.24966666666666668,0.029300378031311778,0.8234666666666667,4.5156546910603845,7.193042119344075,26793112
mlp,0.6098,0.01723407477450801,-0.25475000000000003,0.022338424481895183,0.25475000000000003,0.022338424481895183,0.8136000000000001,61.803008015950525,0.0,1792727
