model,acc_final,acc_final_se,bwt,bwt_se,forgetting,forgetting_se,learning_acc,code_overlap,code_sparsity,w_out_drift,trainable_params
random_plastic_sparse,0.6499,0.011805083650698956,-0.16679166666666667,0.014669329777161295,0.16679166666666667,0.014669329777161295,0.7833333333333332,-0.2106182873249054,0.050012457122405374,18.86549441019694,23038
mb_plastic_sparse,0.6426666666666666,0.013387722401928948,-0.169125,0.015553503088800706,0.169125,0.015553503088800706,0.7779666666666666,-0.20874901115894318,0.05004228029648463,17.651939392089844,23038
shuffle_plastic_sparse,0.6379,0.012161551436117569,-0.17675,0.01465239599291986,0.17675,0.01465239599291986,0.7793000000000001,-0.20631167789300284,0.05004184622565905,17.527055104573567,23038
mb_plastic_dense,0.6218666666666667,0.01976042622122415,-0.19166666666666665,0.02247062125185783,0.19166666666666665,0.02247062125185783,0.7751999999999999,-0.20879299938678741,0.2911618106365204,15.70954449971517,23038
mb_backprop_sparse,0.6060333333333333,0.021630713760247895,-0.23929166666666668,0.028750935975102504,0.23929166666666668,0.028750935975102504,0.7974666666666667,-0.20874901115894318,0.05004228029648463,79.6382064819336,23038
