model,best_val_loss_mean,best_val_loss_std,test_query_accuracy_mean,test_query_accuracy_std,test_initial_probe_accuracy_mean,test_reversal_probe_accuracy_mean,test_loss_mean,trainable_params,recurrent_params,N
hemibrain_seeded,0.07637354796131453,0.002966294083547691,0.9724218749999999,0.001257825305102228,0.9826171874999999,0.9622265625,0.07709006685763597,2832544,1277773,11690
random_sparse,0.2922556418180466,0.018666065032168805,0.8758658854166667,0.010685821183222597,0.8969748263888889,0.8547569444444445,0.29273485352595646,2832544,1277773,11690
weight_shuffle,0.0951233481367429,0.012059621643555125,0.9652604166666666,0.004880090387059698,0.9760329861111111,0.9544878472222221,0.09418279922256867,2832544,1277773,11690
