arm,epoch,train_loss,val_mean_r2,val_yaw_r2,val_fwd_r2,val_lat_r2
control,1,0.05409059649769296,0.006157954689115286,-0.007712125778198242,0.025869548320770264,0.00031644105911254883
control,2,0.05111227454023158,0.05223659798502922,-0.0720522403717041,0.23740577697753906,-0.008643746376037598
control,3,0.04507675838280231,0.09388897567987442,-0.027677178382873535,0.3124154210090637,-0.003071308135986328
control,4,0.043481912701687914,0.10589977353811264,-0.014475345611572266,0.332938551902771,-0.0007638931274414062
control,5,0.04258988987892232,0.11256442219018936,-0.019600272178649902,0.35660767555236816,0.0006858706474304199
control,6,0.041829202086367506,0.121426522731781,-0.007169485092163086,0.37022721767425537,0.0012218356132507324
control,7,0.04120646646999298,0.12212016433477402,-0.013062596321105957,0.38090747594833374,-0.0014843940734863281
control,8,0.040624895786985436,0.13471920788288116,-0.0016281604766845703,0.40501266717910767,0.0007731318473815918
control,9,0.03990268049404976,0.14135219156742096,-0.005246877670288086,0.4270637035369873,0.0022397637367248535
control,10,0.03950567678251165,0.1444442868232727,-0.0015170574188232422,0.4312722682952881,0.0035776495933532715
control,11,0.03875565354494338,0.15218721330165863,0.000571131706237793,0.45152634382247925,0.004464149475097656
control,12,0.038559212488062836,0.1550101786851883,-0.003052234649658203,0.461847186088562,0.006235599517822266
control,13,0.037732411651535236,0.16011355817317963,0.002376258373260498,0.4737510681152344,0.0042133331298828125
control,14,0.03736339382668759,0.16323994100093842,0.0060593485832214355,0.47964388132095337,0.004016578197479248
control,15,0.03718917801025066,0.16608113050460815,-0.001813054084777832,0.4925419092178345,0.007514536380767822
control,16,0.03676100495330831,0.16890643537044525,0.001736283302307129,0.4981076717376709,0.006875336170196533
control,17,0.03645447098669854,0.1755063682794571,0.009872078895568848,0.5089707374572754,0.007676303386688232
control,18,0.036181733170722395,0.15842856466770172,0.011024951934814453,0.4578613042831421,0.0063994526863098145
control,19,0.036275139831482096,0.17718841135501862,0.008946239948272705,0.5151815414428711,0.007437467575073242
control,20,0.035582106956776154,0.18412451446056366,0.011679887771606445,0.5297645926475525,0.01092904806137085
