condition,task_family,substrate,matched_region_task,seed,model,task,split,T,noise_std,epochs_ran,final_train_loss,best_val_loss,trainable_parameter_count,frozen_edge_count,recurrent_parameter_count,trainable_recurrent_parameter_count,recurrent_train_mode,K,latency_ms_per_sequence,mse,heading_angular_error,position_rmse,final_home_vector_cosine,final_displacement_error,bump_mse,heading_bump_angular_error,home_bearing_angular_error,home_distance_rmse,final_home_bearing_angular_error,final_home_distance_error,drift_slope_vs_T
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,0.0438769678585231,0.3758171498775482,1.1265010833740234,0.998181700706482,0.7925501465797424,0.0342965833842754,0.3758171498775482,0.0743104964494705,1.1265010833740234,0.0466508939862251,0.7925501465797424,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,0.1875266078859567,0.7077353000640869,4.774798393249512,0.7800285220146179,9.181580543518066,0.0574021227657794,0.7077353000640869,0.1699168682098388,4.774798393249512,0.41764697432518,9.181580543518066,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,512771.54296875,0.9766940474510192,14482.0244140625,0.3837458789348602,38895.76171875,0.0744925513863563,0.9766940474510192,0.5597578287124634,14482.0244140625,0.9914120435714722,38895.76171875,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,509409.46875,0.9841688871383668,14466.3564453125,0.3638519942760467,38961.66796875,0.0743980929255485,0.9841688871383668,0.555442750453949,14466.3564453125,1.0185285806655884,38961.66796875,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.05,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,358527.4345703125,0.9897242784500122,12146.1494140625,0.4154219329357147,30848.931640625,0.0753802731633186,0.9897242784500122,0.5444238185882568,12146.1494140625,0.9438426494598388,30848.931640625,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.1,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,267008.8154296875,1.0183615684509275,10485.9365234375,0.4635454714298248,24095.1796875,0.0783252865076065,1.0183615684509275,0.5683851838111877,10485.9365234375,0.8820699453353882,24095.1796875,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.2,20,0.0485572016125992,0.0449585623573511,537837,0,511930,511930,observed,3,0.3375661343852698,119785.19116210938,1.1291580200195312,7002.0,0.617921769618988,12783.169921875,0.0859316810965538,1.1291580200195312,0.666136622428894,7002.0,0.6836376786231995,12783.169921875,277.8092240180289
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.0467197203543037,0.3683620393276214,1.3591960668563845,0.9981659054756165,0.8610841035842896,0.0363308191299438,0.3683620393276214,0.074530579149723,1.3591960668563845,0.0466144010424613,0.8610841035842896,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.0768310544081032,0.7025281190872192,1.5546257495880127,0.997607171535492,0.987665355205536,0.0619991607964038,0.7025281190872192,0.0930060669779777,1.5546257495880127,0.0512990243732929,0.987665355205536,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.1068551866337657,0.9680188894271852,2.736098289489746,0.9949532747268676,1.4887841939926147,0.0803734138607978,0.9680188894271852,0.1157990545034408,2.736098289489746,0.0667679384350776,1.4887841939926147,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.1062245862558484,0.9632142782211304,2.6941795349121094,0.9947952032089232,1.5339767932891846,0.0799601450562477,0.9632142782211304,0.1159233078360557,2.6941795349121094,0.0692227929830551,1.5339767932891846,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.05,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.1162459948100149,0.9774937629699708,2.8485026359558105,0.9936622977256776,1.6825183629989624,0.0809275433421135,0.9774937629699708,0.1550246477127075,2.8485026359558105,0.0806615427136421,1.6825183629989624,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.1,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.1484308680519461,1.008373498916626,3.30609393119812,0.9894912838935852,2.042084217071533,0.0832779183983802,1.008373498916626,0.2374702543020248,3.30609393119812,0.11123788356781,2.042084217071533,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.2,20,0.0482943634726578,0.04761867178604,537837,0,511930,511930,observed,3,0.3367494218764477,0.269279858097434,1.102752447128296,4.8849921226501465,0.9728323817253112,3.1532886028289795,0.0893296301364898,1.102752447128296,0.4522668719291687,4.8849921226501465,0.1830162853002548,3.1532886028289795,0.0043027417148862
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.0405725573655217,0.2947092652320862,1.4047647714614868,0.9981287717819214,1.0756216049194336,0.0292523950338363,0.2947092652320862,0.0809389874339103,1.4047647714614868,0.0463689640164375,1.0756216049194336,0.011544337442943
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.0793213983997702,0.6453980207443237,3.199704885482788,0.9970585107803344,1.7056421041488647,0.057591650635004,0.6453980207443237,0.1002514958381652,3.199704885482788,0.0581059567630291,1.7056421041488647,0.011544337442943
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.1549507966265082,0.9471556544303894,7.331229209899902,0.9818975925445556,2.817832946777344,0.0806220397353172,0.9471556544303894,0.1414204537868499,7.331229209899902,0.1113309636712074,2.817832946777344,0.011544337442943
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.1502235122025013,0.9368975758552552,7.270063400268555,0.983428716659546,2.886826992034912,0.0797407478094101,0.9368975758552552,0.1399870365858078,7.270063400268555,0.1096316426992416,2.886826992034912,0.011544337442943
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test_noise,200,0.05,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.1632655188441276,0.9517024159431458,7.173413276672363,0.9814205169677734,2.9495503902435303,0.0811120644211769,0.9517024159431458,0.1854478120803833,7.173413276672363,0.1232083439826965,2.9495503902435303,0.011544337442943
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test_noise,200,0.1,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.198053260333836,0.983399510383606,7.347275733947754,0.975736677646637,3.1990349292755127,0.0838562920689582,0.983399510383606,0.2682855129241943,7.347275733947754,0.1500753760337829,3.1990349292755127,0.011544337442943
path_cx_seeded,path,hemibrain_cx,True,2,connectome_bpu,cx_landmark_bump,test_noise,200,0.2,20,0.0467776203457313,0.0417419988662004,537837,0,511930,511930,observed,3,0.3367556343732758,0.5064924564212561,1.085923433303833,8.421162605285645,0.9487676024436952,4.692770004272461,0.0906777754426002,1.085923433303833,0.4726918041706085,8.421162605285645,0.2285537123680114,4.692770004272461,0.011544337442943
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.027015505824238,0.1708893030881881,1.2111021280288696,0.9979361295700072,1.0237290859222412,0.0184231828898191,0.1708893030881881,0.0684522688388824,1.2111021280288696,0.0486521758139133,1.0237290859222412,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.0557551337406039,0.4197198450565338,2.1285996437072754,0.9975059628486632,1.6748478412628174,0.0422921925783157,0.4197198450565338,0.0810041800141334,2.1285996437072754,0.05412083491683,1.6748478412628174,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.1006793002597987,0.7652978897094727,4.398760795593262,0.994516909122467,3.2890830039978027,0.0742315724492073,0.7652978897094727,0.0904635936021804,4.398760795593262,0.0738607197999954,3.2890830039978027,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.0993578187189996,0.7582926750183105,4.342866897583008,0.99483722448349,3.322014331817627,0.0736513510346412,0.7582926750183105,0.0896688476204872,4.342866897583008,0.073496825993061,3.322014331817627,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.05,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.1111634541302919,0.7810900807380676,4.298039436340332,0.9926946759223938,3.288175106048584,0.075382649898529,0.7810900807380676,0.1397731900215149,4.298039436340332,0.0914644375443458,3.288175106048584,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.1,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.1483769677579403,0.8402883410453796,4.477865695953369,0.9870125651359558,3.377638578414917,0.0809890553355217,0.8402883410453796,0.2315092980861663,4.477865695953369,0.1252563446760177,3.377638578414917,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,0,connectome_bpu,cx_landmark_bump,test_noise,200,0.2,20,0.0306254347809885,0.0273203909164294,1291297,0,1277773,1277773,observed,3,0.7190876812501301,0.2717355415225029,0.9981419444084167,5.286157608032227,0.9656362533569336,3.9358818531036377,0.0929467007517814,0.9981419444084167,0.4437427818775177,5.286157608032227,0.2049014270305633,3.9358818531036377,0.0152509297643389
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.0390404188074171,0.2612387239933014,1.4939767122268677,0.997619926929474,1.0395251512527466,0.027543805539608,0.2612387239933014,0.0793623328208923,1.4939767122268677,0.0536919236183166,1.0395251512527466,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.0709748328663408,0.6033164262771606,2.4364967346191406,0.9964538812637328,1.3877819776535034,0.0532026551663875,0.6033164262771606,0.0941894724965095,2.4364967346191406,0.063937172293663,1.3877819776535034,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.1165191922336816,0.9178484082221984,5.184922695159912,0.9926379323005676,2.117915391921997,0.0755314156413078,0.9178484082221984,0.1119924634695053,5.184922695159912,0.0862169042229652,2.117915391921997,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.1151776388287544,0.9182202219963074,5.147984027862549,0.993315815925598,2.1404471397399902,0.0756241083145141,0.9182202219963074,0.1100139245390892,5.147984027862549,0.0828911364078521,2.1404471397399902,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.05,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.126637022010982,0.937861979007721,5.172078609466553,0.9918355345726012,2.2429301738739014,0.0766815692186355,0.937861979007721,0.1537977010011673,5.172078609466553,0.0950711369514465,2.2429301738739014,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.1,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.1583363329991698,0.9786473512649536,5.436007976531982,0.9873314499855042,2.576178312301636,0.0795409306883812,0.9786473512649536,0.2337787896394729,5.436007976531982,0.1207638010382652,2.576178312301636,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,1,connectome_bpu,cx_landmark_bump,test_noise,200,0.2,20,0.0413279700788516,0.0399395553395152,1291297,0,1277773,1277773,observed,3,0.7191385343730872,0.2674050163477659,1.0788724422454834,6.377538204193115,0.9708941578865052,3.626239776611328,0.0857205092906951,1.0788724422454834,0.4266302287578583,6.377538204193115,0.1872182935476303,3.626239776611328,0.0072052776813507
path_mb_seeded,path,hemibrain_mushroom_body,False,2,connectome_bpu,cx_landmark_bump,test,50,0.0,20,0.0379745702294609,0.0432296076323837,1291297,0,1277773,1277773,observed,3,0.7191540937469654,0.0429521016776561,0.2718499302864074,1.555291771888733,0.9970051050186156,1.527309775352478,0.0280491970479488,0.2718499302864074,0.0884949788451194,1.555291771888733,0.0589621886610984,1.527309775352478,471.9858806828091
path_mb_seeded,path,hemibrain_mushroom_body,False,2,connectome_bpu,cx_landmark_bump,test,100,0.0,20,0.0379745702294609,0.0432296076323837,1291297,0,1277773,1277773,observed,3,0.7191540937469654,0.0781772695481777,0.6090023517608643,2.572303533554077,0.9764057397842408,4.907095432281494,0.0547652505338192,0.6090023517608643,0.11012464761734,2.572303533554077,0.1280042082071304,4.907095432281494,471.9858806828091
path_mb_seeded,path,hemibrain_mushroom_body,False,2,connectome_bpu,cx_landmark_bump,test,200,0.0,20,0.0379745702294609,0.0432296076323837,1291297,0,1277773,1277773,observed,3,0.7191540937469654,628128.615234375,0.99275141954422,19898.916015625,0.1880595982074737,66080.2265625,0.1235169991850853,0.99275141954422,0.5023972988128662,19898.916015625,1.307436227798462,66080.2265625,471.9858806828091
path_mb_seeded,path,hemibrain_mushroom_body,False,2,connectome_bpu,cx_landmark_bump,test_noise,200,0.0,20,0.0379745702294609,0.0432296076323837,1291297,0,1277773,1277773,observed,3,0.7191540937469654,614521.6484375,0.992331087589264,19698.806640625,0.1875191926956176,66825.4296875,0.1243661642074585,0.992331087589264,0.511779248714447,19698.806640625,1.3082343339920044,66825.4296875,471.9858806828091
