seed,model,epoch,train_mse,val_mse,best_val_mse,patience_wait
0,connectome_bpu,1,3662522.4223438967,0.37370535358786583,0.37370535358786583,0
0,connectome_bpu,2,0.3074440773152098,0.24741399195045233,0.24741399195045233,0
0,connectome_bpu,3,0.23175490223154238,0.23929957579821348,0.23929957579821348,0
0,connectome_bpu,4,0.18636606388454197,0.21325524896383286,0.21325524896383286,0
0,connectome_bpu,5,0.16684603134665307,0.20473061967641115,0.20473061967641115,0
0,connectome_bpu,6,0.13852542553898656,0.10746802063658834,0.10746802063658834,0
0,connectome_bpu,7,0.12253419696530209,0.14530778490006924,0.10746802063658834,1
0,connectome_bpu,8,0.10751876923479611,0.12351558357477188,0.10746802063658834,2
0,connectome_bpu,9,0.12419833780466756,0.110278211068362,0.10746802063658834,3
0,connectome_bpu,10,0.1023122564524035,0.08579410845413804,0.08579410845413804,0
0,connectome_bpu,11,0.09270101747935332,0.08263229671865702,0.08263229671865702,0
0,connectome_bpu,12,0.10058583696431751,0.10519156651571393,0.08263229671865702,1
0,connectome_bpu,13,0.09300228877912593,0.06928638485260308,0.06928638485260308,0
0,connectome_bpu,14,0.09037503817036183,0.07881659176200628,0.06928638485260308,1
0,connectome_bpu,15,0.07645901268984698,0.0920780268497765,0.06928638485260308,2
0,connectome_bpu,16,0.08625406163591373,0.08329827431589365,0.06928638485260308,3
0,connectome_bpu,17,0.07348849001941801,0.06783596472814679,0.06783596472814679,0
0,connectome_bpu,18,0.0747664412365684,0.06417458993382752,0.06417458993382752,0
0,connectome_bpu,19,0.07657962254708327,0.07543188845738769,0.06417458993382752,1
0,connectome_bpu,20,0.07365055118180529,0.06685358681716025,0.06417458993382752,2
1,connectome_bpu,1,0.5029744007919408,0.42915813624858856,0.42915813624858856,0
1,connectome_bpu,2,0.37922911213923105,0.3056834451854229,0.3056834451854229,0
1,connectome_bpu,3,0.33764114825031427,0.27587972953915596,0.27587972953915596,0
1,connectome_bpu,4,0.26987190563467484,0.2298650937154889,0.2298650937154889,0
1,connectome_bpu,5,0.19949033969565283,0.19803160708397627,0.19803160708397627,0
1,connectome_bpu,6,0.15760920451411717,0.13081424869596958,0.13081424869596958,0
1,connectome_bpu,7,0.12909305237139326,0.14265102427452803,0.13081424869596958,1
1,connectome_bpu,8,0.14603948347930668,0.1047924323938787,0.1047924323938787,0
1,connectome_bpu,9,0.11030997005821783,0.08538540033623576,0.08538540033623576,0
1,connectome_bpu,10,0.09963805483111852,0.09769368730485439,0.08538540033623576,1
1,connectome_bpu,11,0.10384723883640917,0.08867076598107815,0.08538540033623576,2
1,connectome_bpu,12,0.09243081340306922,0.10444523952901363,0.08538540033623576,3
1,connectome_bpu,13,0.0941919601416286,0.08949177246540785,0.08538540033623576,4
2,connectome_bpu,1,513.2223101684564,0.4905945844948292,0.4905945844948292,0
2,connectome_bpu,2,0.34390216009526314,0.3295053169131279,0.3295053169131279,0
2,connectome_bpu,3,0.2564131274253507,0.3000040426850319,0.3000040426850319,0
2,connectome_bpu,4,0.2076034410090386,0.18991075735539198,0.18991075735539198,0
2,connectome_bpu,5,0.16446779291086558,0.17974300030618906,0.17974300030618906,0
2,connectome_bpu,6,0.14438622454299202,0.12719748681411147,0.12719748681411147,0
2,connectome_bpu,7,0.13721763003098814,0.152775757946074,0.12719748681411147,1
2,connectome_bpu,8,0.12706316215328023,0.13654361851513386,0.12719748681411147,2
2,connectome_bpu,9,0.11793708961598481,0.10802306421101093,0.10802306421101093,0
2,connectome_bpu,10,0.10392912052854707,0.0974388555623591,0.0974388555623591,0
2,connectome_bpu,11,0.10517104979180082,0.0766964084468782,0.0766964084468782,0
2,connectome_bpu,12,0.09484430411948433,0.08389447489753366,0.0766964084468782,1
2,connectome_bpu,13,0.09734377170665355,0.11326947342604399,0.0766964084468782,2
2,connectome_bpu,14,0.08955090893786165,0.1212607198394835,0.0766964084468782,3
2,connectome_bpu,15,0.09071668463794491,0.10533583303913474,0.0766964084468782,4
