seed,model,task,split,T,noise_std,epochs_ran,final_train_loss,best_val_loss,trainable_parameter_count,frozen_edge_count,recurrent_parameter_count,trainable_recurrent_parameter_count,recurrent_train_mode,K,latency_ms_per_sequence,mse,heading_angular_error,position_rmse,final_home_vector_cosine,final_displacement_error,bump_mse,heading_bump_angular_error,home_bearing_angular_error,home_distance_rmse,final_home_bearing_angular_error,final_home_distance_error,drift_slope_vs_T
0,connectome_bpu,cx_polar_bump,test,50,0.0,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.06238571461290121,0.4481632113456726,1.9996416568756104,0.9478820562362671,3.3884029388427734,0.04091159626841545,0.4481632113456726,0.09484530985355377,1.9996416568756104,0.19035376608371735,3.3884029388427734,0.11735657010759627
0,connectome_bpu,cx_polar_bump,test,100,0.0,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.15512677002698183,0.8026509881019592,6.5649518966674805,0.8341571092605591,10.570716857910156,0.06372566521167755,0.8026509881019592,0.19287507236003876,6.5649518966674805,0.40512171387672424,10.570716857910156,0.11735657010759627
0,connectome_bpu,cx_polar_bump,test,200,0.0,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.4234709180891514,1.1306935548782349,15.339677810668945,0.6009255647659302,21.254785537719727,0.08161655813455582,1.1306935548782349,0.39194074273109436,15.339677810668945,0.7741283178329468,21.254785537719727,0.11735657010759627
0,connectome_bpu,cx_polar_bump,test_noise,200,0.0,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.4145066421478987,1.1308099031448364,15.02301025390625,0.6408451795578003,21.079071044921875,0.08186308294534683,1.1308099031448364,0.38746437430381775,15.02301025390625,0.7156920433044434,21.079071044921875,0.11735657010759627
0,connectome_bpu,cx_polar_bump,test_noise,200,0.05,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.45205932296812534,1.1573306322097778,15.186304092407227,0.5964007377624512,21.356718063354492,0.0831095427274704,1.1573306322097778,0.4715898036956787,15.186304092407227,0.7851366996765137,21.356718063354492,0.11735657010759627
0,connectome_bpu,cx_polar_bump,test_noise,200,0.1,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.5563338547945023,1.2262283563613892,15.759419441223145,0.5091738104820251,21.59372329711914,0.08663367480039597,1.2262283563613892,0.6323674321174622,15.759419441223145,0.9183578491210938,21.59372329711914,0.11735657010759627
0,connectome_bpu,cx_polar_bump,test_noise,200,0.2,20,0.07365055118180529,0.06417458993382752,534873,0,511930,511930,observed,3,0.3372756312501224,0.7846972867846489,1.3329293727874756,17.010343551635742,0.29627782106399536,22.555578231811523,0.09200914204120636,1.3329293727874756,0.9201298952102661,17.010343551635742,1.193359136581421,22.555578231811523,0.11735657010759627
1,connectome_bpu,cx_polar_bump,test,50,0.0,13,0.0941919601416286,0.08538540033623576,534873,0,511930,511930,observed,3,0.33651837187562705,0.0842025107704103,0.5201675295829773,2.1786041259765625,0.8920662999153137,2.6203677654266357,0.04838026314973831,0.5201675295829773,0.13466016948223114,2.1786041259765625,0.30357927083969116,2.6203677654266357,0.11664767810276576
1,connectome_bpu,cx_polar_bump,test,100,0.0,13,0.0941919601416286,0.08538540033623576,534873,0,511930,511930,observed,3,0.33651837187562705,0.2011037738993764,0.9104436635971069,6.170673847198486,0.7087369561195374,9.894859313964844,0.06828626990318298,0.9104436635971069,0.3026164174079895,6.170673847198486,0.617106556892395,9.894859313964844,0.11664767810276576
1,connectome_bpu,cx_polar_bump,test,200,0.0,13,0.0941919601416286,0.08538540033623576,534873,0,511930,511930,observed,3,0.33651837187562705,0.49544633366167545,1.2167068719863892,14.91150951385498,0.4717816412448883,20.405941009521484,0.08207613229751587,1.2167068719863892,0.5536565184593201,14.91150951385498,0.9572961330413818,20.405941009521484,0.11664767810276576
