seed,model,epoch,train_mse,val_mse,best_val_mse,patience_wait
0,connectome_bpu,1,76699127.02665323,0.44122119434177876,0.44122119434177876,0
0,connectome_bpu,2,0.3264021205751202,0.29419874772429466,0.29419874772429466,0
0,connectome_bpu,3,0.24112609349474123,0.21135459560900927,0.21135459560900927,0
0,connectome_bpu,4,0.20316136071953592,0.16583544947206974,0.16583544947206974,0
0,connectome_bpu,5,0.16188039149664626,0.13061472540721297,0.13061472540721297,0
0,connectome_bpu,6,0.15701205858701392,0.12583128409460187,0.12583128409460187,0
0,connectome_bpu,7,0.1539411377869075,0.22627364937216043,0.12583128409460187,1
0,connectome_bpu,8,0.1545916774039027,0.12792458198964596,0.12583128409460187,2
0,connectome_bpu,9,0.14243179720036592,0.15528925601392984,0.12583128409460187,3
0,connectome_bpu,10,0.1282114405420762,0.12793112406507134,0.12583128409460187,4
1,connectome_bpu,1,8.071943404176567,0.47708847001194954,0.47708847001194954,0
1,connectome_bpu,2,0.4195291558398476,0.3644895777106285,0.3644895777106285,0
1,connectome_bpu,3,0.27636732406254055,0.2339816065505147,0.2339816065505147,0
1,connectome_bpu,4,0.2230278751518153,0.1831262158229947,0.1831262158229947,0
1,connectome_bpu,5,0.1724025222319591,0.22854524571448565,0.1831262158229947,1
1,connectome_bpu,6,0.1644526241889483,0.15470014605671167,0.15470014605671167,0
1,connectome_bpu,7,0.13952175584397739,0.1311085782945156,0.1311085782945156,0
1,connectome_bpu,8,0.14273735616780533,0.10695966705679893,0.10695966705679893,0
1,connectome_bpu,9,0.12038264772560023,0.11765896482393146,0.10695966705679893,1
1,connectome_bpu,10,0.1343000198278246,0.2103630555793643,0.10695966705679893,2
1,connectome_bpu,11,0.11961909741917744,0.09561212873086333,0.09561212873086333,0
1,connectome_bpu,12,0.10045119459870495,0.11611215118318796,0.09561212873086333,1
1,connectome_bpu,13,0.09939184407644634,0.078641755040735,0.078641755040735,0
1,connectome_bpu,14,0.11224859273886378,0.10789747629314661,0.078641755040735,1
1,connectome_bpu,15,0.08647606295498111,0.06915973918512464,0.06915973918512464,0
1,connectome_bpu,16,0.0809364698450022,0.07382225524634123,0.06915973918512464,1
1,connectome_bpu,17,0.07873363146864915,0.11361458711326122,0.06915973918512464,2
1,connectome_bpu,18,0.07835034563948837,0.11000738479197025,0.06915973918512464,3
1,connectome_bpu,19,0.09008346705497065,0.07085046265274286,0.06915973918512464,4
2,connectome_bpu,1,23289305.71907307,0.4000879190862179,0.4000879190862179,0
2,connectome_bpu,2,334.0090521577793,0.38210680335760117,0.38210680335760117,0
2,connectome_bpu,3,0.2612283674976494,0.24356310907751322,0.24356310907751322,0
2,connectome_bpu,4,0.20019318540639516,0.16291443444788456,0.16291443444788456,0
2,connectome_bpu,5,0.1711614905278894,0.16220131050795317,0.16220131050795317,0
2,connectome_bpu,6,0.14504744527460653,0.1331741283647716,0.1331741283647716,0
2,connectome_bpu,7,0.12151124205770372,0.16853011026978493,0.1331741283647716,1
2,connectome_bpu,8,0.12951731738410419,0.12219057511538267,0.12219057511538267,0
2,connectome_bpu,9,0.11532911092420167,0.09764155093580484,0.09764155093580484,0
2,connectome_bpu,10,0.10992930131622508,0.09804201498627663,0.09764155093580484,1
2,connectome_bpu,11,0.0918435123336466,0.10410692123696208,0.09764155093580484,2
2,connectome_bpu,12,0.10892692255445674,0.10662559513002634,0.09764155093580484,3
2,connectome_bpu,13,0.09961256262245058,0.07338411035016179,0.07338411035016179,0
2,connectome_bpu,14,0.09417223939790001,0.10555513296276331,0.07338411035016179,1
2,connectome_bpu,15,0.08886300451770614,0.09807987418025732,0.07338411035016179,2
2,connectome_bpu,16,0.09029938469204722,0.08474315982311964,0.07338411035016179,3
2,connectome_bpu,17,0.08223396916932697,0.08437963714823127,0.07338411035016179,4
