condition,task_family,substrate,matched_region_task,model,seed,runtime,N,init_nonzero_edges,recurrent_params,trainable_params,timesteps,best_val_loss,test_loss,test_query_accuracy,test_initial_probe_accuracy,test_reversal_probe_accuracy,task,split,T,noise_std,epochs_ran,final_train_loss,trainable_parameter_count,frozen_edge_count,recurrent_parameter_count,trainable_recurrent_parameter_count,recurrent_train_mode,K,latency_ms_per_sequence,mse,heading_angular_error,position_rmse,final_home_vector_cosine,final_displacement_error,bump_mse,heading_bump_angular_error,home_bearing_angular_error,home_distance_rmse,final_home_bearing_angular_error,final_home_distance_error,drift_slope_vs_T
assoc_cx_seeded,associative,hemibrain_cx,False,hemibrain_seeded,0,sparse,7349.0,511930.0,511930.0,1489348.0,42.0,0.1828956326842308,0.1816997452080249,0.92865234375,0.9431770833333334,0.9141276041666668,,,,,,,,,,,,,,,,,,,,,,,,,
assoc_cx_seeded,associative,hemibrain_cx,False,hemibrain_seeded,1,sparse,7349.0,511930.0,511930.0,1489348.0,42.0,0.219259126484394,0.2185748706758022,0.9123111979166668,0.930078125,0.8945442708333333,,,,,,,,,,,,,,,,,,,,,,,,,
assoc_cx_seeded,associative,hemibrain_cx,False,hemibrain_seeded,2,sparse,7349.0,511930.0,511930.0,1489348.0,42.0,0.2438384875655174,0.2434133020043373,0.8971419270833333,0.9154817708333334,0.8788020833333333,,,,,,,,,,,,,,,,,,,,,,,,,
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test,50.0,0.0,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.1218155552633106,0.6324801445007324,3.42887020111084,0.8413212895393372,5.134702205657959,0.0568187534809112,0.6324801445007324,0.1932974010705948,3.42887020111084,0.4036702811717987,5.134702205657959,0.1134328487941197
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test,100.0,0.0,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.2805733978748321,1.0181549787521362,8.854055404663086,0.6369572281837463,12.87735366821289,0.0728388950228691,1.0181549787521362,0.3859256207942962,8.854055404663086,0.7290374040603638,12.87735366821289,0.1134328487941197
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test,200.0,0.0,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.6200707256793976,1.2917184829711914,17.371416091918945,0.4028151929378509,22.563831329345703,0.0834020972251892,1.2917184829711914,0.6501035690307617,17.371416091918945,1.0494567155838013,22.563831329345703,0.1134328487941197
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test_noise,200.0,0.0,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.6078894063830376,1.2974810600280762,17.056407928466797,0.4443974196910858,22.651500701904297,0.083478108048439,1.2974810600280762,0.6430612206459045,17.056407928466797,0.9948559403419496,22.651500701904297,0.1134328487941197
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test_noise,200.0,0.05,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.6226388290524483,1.3037976026535034,17.080400466918945,0.4337860345840454,22.693523406982425,0.0837106257677078,1.3037976026535034,0.6727498173713684,17.080400466918945,1.0102680921554563,22.693523406982425,0.1134328487941197
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test_noise,200.0,0.1,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.6662552431225777,1.325721263885498,17.20367431640625,0.4012843668460846,22.638999938964844,0.0844563543796539,1.325721263885498,0.7428276538848877,17.20367431640625,1.0570619106292725,22.638999938964844,0.1134328487941197
path_mb_seeded,path,hemibrain_mushroom_body,False,connectome_bpu,0,,,,,,,0.1258312840946018,,,,,cx_polar_bump,test_noise,200.0,0.2,10.0,0.1282114405420762,1288969.0,0.0,1277773.0,1277773.0,observed,3.0,0.7226632999959293,0.7863249629735947,1.3659403324127195,17.5495662689209,0.305840402841568,22.858009338378903,0.0859197750687599,1.3659403324127195,0.9033935070037842,17.5495662689209,1.180395245552063,22.858009338378903,0.1134328487941197
