condition,task_family,substrate,matched_region_task,success_metric,higher_is_better,secondary_metric,success_mean,success_std,secondary_mean,secondary_std,seeds
assoc_cx_seeded,associative,hemibrain_cx,False,test_reversal_probe_accuracy,True,test_loss,0.8958246527777778,0.01769753200249442,0.2145626392960548,0.031051799844717412,3
path_mb_seeded,path,hemibrain_mushroom_body,False,home_bearing_angular_error,False,home_distance_rmse,0.5169279376665751,0.11879893286815224,16.35006300608317,1.3454665674420576,3
